Model,Best K,Feature,F-score
SVC (80/20),70,f44,215.55802810690741
SVC (80/20),70,f45,211.5482327101585
SVC (80/20),70,f46,206.14435930668364
SVC (80/20),70,f34,195.36413634271628
SVC (80/20),70,f35,192.4191743581882
SVC (80/20),70,f36,189.17683956782778
SVC (80/20),70,f64,134.82552287455366
SVC (80/20),70,f65,131.925068355665
SVC (80/20),70,f43,105.02978759149059
SVC (80/20),70,f33,91.57666729116481
SVC (80/20),70,f55,86.05051125038632
SVC (80/20),70,f56,84.09579961822763
SVC (80/20),70,f54,80.84643665135087
SVC (80/20),70,f71,65.51717854557806
SVC (80/20),70,f52,46.52593966729611
SVC (80/20),70,f62,37.33048248141353
SVC (80/20),70,f58,32.674060070987935
SVC (80/20),70,f67,31.829479781197577
SVC (80/20),70,f69,29.179948750669332
SVC (80/20),70,f66,29.130469317547636
SVC (80/20),70,f60,28.215272276964658
SVC (80/20),70,f63,22.937286936489
SVC (80/20),70,f39,19.269476436223567
SVC (80/20),70,f37,18.99831026337486
SVC (80/20),70,f57,17.404817116766296
SVC (80/20),70,f53,17.34102121553304
SVC (80/20),70,f49,16.373389036899987
SVC (80/20),70,f80,16.069478152476712
SVC (80/20),70,f42,15.050537001731664
SVC (80/20),70,f68,14.501212043766513
SVC (80/20),70,f32,14.419436605915633
SVC (80/20),70,f4,14.355109563464673
SVC (80/20),70,f76,13.643843875950466
SVC (80/20),70,f5,13.470756157093492
SVC (80/20),70,f0,13.370408591758027
SVC (80/20),70,f38,13.216187351918906
SVC (80/20),70,f41,12.519919320998554
SVC (80/20),70,f59,12.245563584025813
SVC (80/20),70,f47,11.96226127536203
SVC (80/20),70,f40,11.752267634872931
SVC (80/20),70,f3,11.707078554659326
SVC (80/20),70,f29,11.639594142509745
SVC (80/20),70,f27,11.44713944789391
SVC (80/20),70,f75,11.328401984935276
SVC (80/20),70,f81,10.919278744190764
SVC (80/20),70,f26,10.250840339187222
SVC (80/20),70,f72,9.738811356494876
SVC (80/20),70,f51,9.601842072308427
SVC (80/20),70,f74,9.282925982356828
SVC (80/20),70,f19,8.676440444575146
SVC (80/20),70,f73,8.611830498250189
SVC (80/20),70,f82,8.216101590662552
SVC (80/20),70,f6,8.194635484118388
SVC (80/20),70,f48,8.17982503159993
SVC (80/20),70,f2,8.057259494424649
SVC (80/20),70,f17,8.003321106270851
SVC (80/20),70,f50,7.241243886180468
SVC (80/20),70,f78,7.038376469652381
SVC (80/20),70,f10,6.4792465977874425
SVC (80/20),70,f7,6.473987071965249
SVC (80/20),70,f8,6.366866325442936
SVC (80/20),70,f12,6.220341793733791
SVC (80/20),70,f18,5.952048326873902
SVC (80/20),70,f1,5.929343328082623
SVC (80/20),70,f31,5.873867427167631
SVC (80/20),70,f9,5.865398801999747
SVC (80/20),70,f15,5.578540395701472
SVC (80/20),70,f77,4.997920897091446
SVC (80/20),70,f20,4.881287459246872
SVC (80/20),70,f22,4.858727745349962
