Feature,Cumulative F-score
f44,19373.1008
f45,18978.84
f46,18572.924
f34,17313.588
f35,17028.6352
f36,16574.984800000002
f43,12642.192
f64,11695.2088
f65,11469.3888
f33,11258.052
f55,7811.42
f56,7766.500800000001
f54,7331.778399999999
f71,5124.2352
f52,4128.588
f62,3890.3616
f58,3033.5968000000003
f60,2845.82
f67,2648.788
f69,2566.0832
f66,2466.9336000000003
f63,2361.4736
f39,1706.4056
f53,1623.3352
f57,1601.7584000000002
f49,1569.3736000000001
f37,1541.3112
f80,1465.056
f68,1365.4856
f32,1348.2432
f42,1337.5168
f4,1243.7703999999999
f0,1180.0984
f5,1166.8104
f47,1124.532
f59,1121.9456
f38,1098.6176
f41,1061.8728
f51,1032.7224
f3,996.4744000000001
f27,989.8136
f81,977.1368
f72,964.336
f29,952.6472
f40,948.9767999999999
f73,877.3784
f74,852.24
f2,786.8872
f76,765.2568
f6,735.3328
f82,729.4232
f26,705.6464
f75,603.9087999999999
f17,602.7568
f19,591.8672
f48,549.6024
f78,540.0688
f50,479.58320000000003
f8,476.73679999999996
f10,470.2384
f1,375.448
f7,314.2392
f31,257.9192
f15,248.3584
f18,238.244
f77,226.1176
f12,220.6768
f9,219.7688
f22,178.384
f13,132.1568
f20,75.57759999999999
f61,35.3264
f14,34.4864
