Feature,Cumulative F-score
f44,22031.82979999997
f45,21605.7855
f46,21213.676999999996
f34,19774.78169999999
f35,19458.94839999999
f36,18983.48310000005
f43,14691.468600000002
f64,13747.98000000002
f65,13502.27179999999
f33,13104.342999999999
f55,9259.86839999998
f56,9219.419100000006
f54,8718.400000000003
f71,6170.787300000001
f52,4899.184900000004
f62,4656.3732999999975
f58,3997.3414000000084
f67,3770.194500000001
f60,3739.2953000000048
f69,3639.5518000000043
f66,3156.9833999999955
f63,2904.185900000001
f39,2160.1939000000016
f80,2100.3906000000015
f57,2062.5795999999996
f49,1950.5569000000007
f53,1943.0877999999998
f0,1912.3327000000006
f4,1898.3964999999987
f37,1815.499300000001
f5,1738.7047999999995
f3,1639.627399999999
f68,1613.0606000000012
f82,1573.9089
f81,1526.7892999999997
f78,1494.214500000001
f42,1468.1263999999996
f32,1467.8625999999986
f47,1398.465700000001
f38,1388.1932000000002
f27,1308.1925000000015
f29,1307.1282999999994
f41,1227.7123000000001
f40,1213.7538000000006
f59,1200.329800000001
f51,1165.5905000000002
f77,1159.3056000000001
f72,1113.8407000000002
f17,1004.8770999999998
f73,984.2226000000015
f74,976.914199999999
f76,942.1859000000003
f19,929.1437999999996
f15,893.1650999999994
f6,846.1377000000005
f2,837.4458000000002
f26,785.4271000000007
f31,783.8843000000002
f48,782.2963999999998
f75,752.5790999999998
f14,741.1169999999998
f7,718.7378000000002
f50,687.6235999999999
f18,643.8372
f9,610.7159000000004
f8,485.2772000000004
f13,484.34230000000014
f79,477.84240000000017
f10,477.0424
f23,442.6572000000001
f24,440.1817
f25,424.9349999999999
f1,388.9014000000001
f20,344.93149999999986
f12,237.01300000000015
f22,196.91450000000006
f16,65.4331
f61,35.3264
f70,20.8355
f28,8.2027
f21,7.3003
f11,4.975
