Model,Animation,Best Parameters,Best K,Best CV Accuracy,Train Accuracy,Test Accuracy
Naive Bayes (80/20),VB_SL_LIT,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.6079
Naive Bayes (80/20),HS_SL_LIT,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.5095
Naive Bayes (80/20),VB_SL_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.6254
Naive Bayes (80/20),HS_SL_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.5746
Naive Bayes (80/20),VB_FA_LIT,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.6444
Naive Bayes (80/20),HS_FA_LIT,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.5698
Naive Bayes (80/20),VB_FA_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.6254
Naive Bayes (80/20),HS_FA_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",60,0.6079,0.6767,0.5698
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.4857
Naive Bayes (S1+S2 vs S3),HS_SL_LIT,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.4762
Naive Bayes (S1+S2 vs S3),VB_SL_BIG,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.5619
Naive Bayes (S1+S2 vs S3),HS_SL_BIG,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.5143
Naive Bayes (S1+S2 vs S3),VB_FA_LIT,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.6667
Naive Bayes (S1+S2 vs S3),HS_FA_LIT,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.5333
Naive Bayes (S1+S2 vs S3),VB_FA_BIG,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.5714
Naive Bayes (S1+S2 vs S3),HS_FA_BIG,"{'feature_selection__k': 70, 'scaler': MinMaxScaler()}",70,0.5714,0.6851,0.4857
