Model,Animation,Best K,Feature,F-score
Naive Bayes (80/20),VB_SL_LIT,40,f64,28.8051
Naive Bayes (80/20),VB_SL_LIT,40,f45,28.6221
Naive Bayes (80/20),VB_SL_LIT,40,f44,28.5992
Naive Bayes (80/20),VB_SL_LIT,40,f65,28.4257
Naive Bayes (80/20),VB_SL_LIT,40,f46,28.1271
Naive Bayes (80/20),VB_SL_LIT,40,f36,19.8663
Naive Bayes (80/20),VB_SL_LIT,40,f35,19.3881
Naive Bayes (80/20),VB_SL_LIT,40,f34,19.3207
Naive Bayes (80/20),VB_SL_LIT,40,f58,12.9177
Naive Bayes (80/20),VB_SL_LIT,40,f33,12.4788
Naive Bayes (80/20),VB_SL_LIT,40,f67,11.277
Naive Bayes (80/20),VB_SL_LIT,40,f69,11.2372
Naive Bayes (80/20),VB_SL_LIT,40,f71,11.216
Naive Bayes (80/20),VB_SL_LIT,40,f60,10.2859
Naive Bayes (80/20),VB_SL_LIT,40,f55,9.9204
Naive Bayes (80/20),VB_SL_LIT,40,f82,9.9204
Naive Bayes (80/20),VB_SL_LIT,40,f54,9.6854
Naive Bayes (80/20),VB_SL_LIT,40,f56,9.0529
Naive Bayes (80/20),VB_SL_LIT,40,f23,8.3612
Naive Bayes (80/20),VB_SL_LIT,40,f3,7.9064
Naive Bayes (80/20),VB_SL_LIT,40,f4,7.8521
Naive Bayes (80/20),VB_SL_LIT,40,f57,7.3816
Naive Bayes (80/20),VB_SL_LIT,40,f25,7.2232
Naive Bayes (80/20),VB_SL_LIT,40,f66,6.9011
Naive Bayes (80/20),VB_SL_LIT,40,f9,6.9001
Naive Bayes (80/20),VB_SL_LIT,40,f80,6.6965
Naive Bayes (80/20),VB_SL_LIT,40,f52,6.5977
Naive Bayes (80/20),VB_SL_LIT,40,f78,6.5753
Naive Bayes (80/20),VB_SL_LIT,40,f39,6.5629
Naive Bayes (80/20),VB_SL_LIT,40,f5,6.4846
Naive Bayes (80/20),VB_SL_LIT,40,f24,6.1674
Naive Bayes (80/20),VB_SL_LIT,40,f63,6.1226
Naive Bayes (80/20),VB_SL_LIT,40,f43,5.9953
Naive Bayes (80/20),VB_SL_LIT,40,f0,5.9901
Naive Bayes (80/20),VB_SL_LIT,40,f7,5.871
Naive Bayes (80/20),VB_SL_LIT,40,f14,5.8581
Naive Bayes (80/20),VB_SL_LIT,40,f77,5.6934
Naive Bayes (80/20),VB_SL_LIT,40,f15,5.2685
Naive Bayes (80/20),VB_SL_LIT,40,f48,4.9658
Naive Bayes (80/20),VB_SL_LIT,40,f47,4.9111
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f65,26.5347
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f64,25.3235
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f44,20.046
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f45,19.9219
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f46,19.8794
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f36,14.3447
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f34,13.8621
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f35,13.8427
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f58,10.9857
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f33,10.8849
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f60,9.1019
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f82,8.7784
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f55,8.4813
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f54,8.3948
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f56,8.3076
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f39,7.7602
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f67,7.6559
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f23,7.4839
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f71,7.2209
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f9,6.5367
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f4,6.3482
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f3,6.3262
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f69,6.2081
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f52,5.8839
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f14,5.7261
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f57,5.6984
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f63,5.684
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f80,5.6592
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f66,5.519
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f5,5.337
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f25,5.2777
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f78,5.2708
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f15,5.2032
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f24,5.1185
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f18,5.0921
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f77,4.9861
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f7,4.9726
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f0,4.9465
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f75,4.7877
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f43,4.6691
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f20,4.5617
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f47,4.3948
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f13,4.299
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f49,4.2464
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f31,3.9696
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f72,3.9686
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f76,3.8238
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f37,3.8051
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f41,3.7463
Naive Bayes (S1+S2 vs S3),VB_SL_LIT,50,f73,3.7347
Naive Bayes (80/20),HS_SL_LIT,40,f45,34.0294
Naive Bayes (80/20),HS_SL_LIT,40,f44,33.7153
Naive Bayes (80/20),HS_SL_LIT,40,f46,31.2958
