Model,Animation,Best Parameters,Best CV Accuracy,Train Accuracy,Test Accuracy
Naive Bayes (80/20),horizontalsing,{'scaler': MinMaxScaler()},0.5095,0.9073,0.6462
KNN (80/20),horizontalsing,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.5984,1.0,0.6923
Logistic Regression (80/20),horizontalsing,"{'logreg__C': 100, 'scaler': MinMaxScaler()}",0.5947,1.0,0.7077
Random Forest (80/20),horizontalsing,"{'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': StandardScaler()}",0.7181,1.0,0.6615
SVC (80/20),horizontalsing,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6179,1.0,0.7231
MLP (80/20),horizontalsing,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.5986,1.0,0.6923
Naive Bayes (S1+S2 vs S3),horizontalsing,{'scaler': MinMaxScaler()},0.5416,0.9537,0.3796
KNN (S1+S2 vs S3),horizontalsing,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.6208,1.0,0.5
Logistic Regression (S1+S2 vs S3),horizontalsing,"{'logreg__C': 10, 'scaler': MinMaxScaler()}",0.6437,0.9954,0.4907
Random Forest (S1+S2 vs S3),horizontalsing,"{'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.6902,1.0,0.537
SVC (S1+S2 vs S3),horizontalsing,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6669,1.0,0.5185
MLP (S1+S2 vs S3),horizontalsing,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",0.6391,1.0,0.4815
Naive Bayes (80/20),diagonal,{'scaler': RobustScaler()},0.5477,0.973,0.6923
KNN (80/20),diagonal,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.5674,1.0,0.5538
Logistic Regression (80/20),diagonal,"{'logreg__C': 100, 'scaler': MinMaxScaler()}",0.641,1.0,0.6615
Random Forest (80/20),diagonal,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.6676,1.0,0.7846
SVC (80/20),diagonal,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6252,1.0,0.6462
MLP (80/20),diagonal,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.6369,1.0,0.6462
Naive Bayes (S1+S2 vs S3),diagonal,{'scaler': RobustScaler()},0.4539,0.9861,0.5185
KNN (S1+S2 vs S3),diagonal,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.5328,1.0,0.5
Logistic Regression (S1+S2 vs S3),diagonal,"{'logreg__C': 10, 'scaler': MinMaxScaler()}",0.5742,0.9769,0.6389
Random Forest (S1+S2 vs S3),diagonal,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.6578,1.0,0.6296
SVC (S1+S2 vs S3),diagonal,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.5648,1.0,0.6389
MLP (S1+S2 vs S3),diagonal,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.6066,1.0,0.5556
Naive Bayes (80/20),radial,{'scaler': RobustScaler()},0.5362,0.9266,0.6615
KNN (80/20),radial,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.579,1.0,0.6923
Logistic Regression (80/20),radial,"{'logreg__C': 100, 'scaler': MinMaxScaler()}",0.5713,1.0,0.6308
Random Forest (80/20),radial,"{'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.66,1.0,0.7538
SVC (80/20),radial,"{'scaler': StandardScaler(), 'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.6021,1.0,0.7077
