Model,Animation,Best Parameters,Train Accuracy,Test Accuracy,Precision,Recall,Specificity,Roc Auc,EER
Naive Bayes,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': MinMaxScaler()}",1.0,0.7003,0.6142,0.4167,0.984,0.9418,0.0764
KNN,VB_SL_LIT,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8378,0.8029,0.9861,0.6896,0.9113,0.1326
Logistic Regression,VB_SL_LIT,"{'feature_selection__k': 40, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.8556,0.8229,0.9028,0.8083,0.9005,0.1222
NuSVC,VB_SL_LIT,"{'feature_selection__k': 50, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': RobustScaler()}",1.0,0.899,0.9583,0.8472,0.9507,0.969,0.0722
Random Forest,VB_SL_LIT,"{'feature_selection__k': 70, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.8344,0.8198,0.7917,0.8771,0.9304,0.1201
SVC,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': RobustScaler(), 'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.9021,0.9499,0.8611,0.9431,0.9664,0.0729
MLP,VB_SL_LIT,"{'feature_selection__k': 40, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.8451,0.8288,0.8611,0.8292,0.9183,0.1208
Naive Bayes,HS_SL_LIT,"{'feature_selection__k': 20, 'scaler': MinMaxScaler()}",1.0,0.6906,0.5773,0.5278,0.8535,0.8038,0.2236
KNN,HS_SL_LIT,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8823,0.8809,0.9167,0.8479,0.9229,0.1188
Logistic Regression,HS_SL_LIT,"{'feature_selection__k': 30, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.8774,0.8974,0.875,0.8799,0.9421,0.0833
NuSVC,HS_SL_LIT,"{'feature_selection__k': 30, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.5, 'scaler': MinMaxScaler()}",1.0,0.8535,0.8668,0.8194,0.8875,0.9257,0.1139
Random Forest,HS_SL_LIT,"{'feature_selection__k': 50, 'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.9017,0.8918,0.9444,0.859,0.9469,0.0833
SVC,HS_SL_LIT,"{'feature_selection__k': 30, 'scaler': StandardScaler(), 'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.859,0.8677,0.8333,0.8847,0.944,0.0875
MLP,HS_SL_LIT,"{'feature_selection__k': 30, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",1.0,0.8635,0.8859,0.8611,0.866,0.9361,0.0944
Naive Bayes,VB_SL_BIG,"{'feature_selection__k': 40, 'scaler': MinMaxScaler()}",1.0,0.6774,0.5291,0.375,0.9799,0.9348,0.0736
KNN,VB_SL_BIG,"{'feature_selection__k': 50, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8333,0.8174,0.9306,0.7361,0.9027,0.1472
Logistic Regression,VB_SL_BIG,"{'feature_selection__k': 30, 'logreg__C': 10, 'scaler': RobustScaler()}",1.0,0.8497,0.8151,0.9167,0.7826,0.8697,0.1417
NuSVC,VB_SL_BIG,"{'feature_selection__k': 60, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': MinMaxScaler()}",1.0,0.8635,0.9582,0.7778,0.9493,0.9525,0.0667
Random Forest,VB_SL_BIG,"{'feature_selection__k': 50, 'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.8201,0.8142,0.7778,0.8625,0.9164,0.1264
SVC,VB_SL_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",1.0,0.8587,0.9465,0.7778,0.9396,0.9544,0.0653
MLP,VB_SL_BIG,"{'feature_selection__k': 30, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",1.0,0.8219,0.8011,0.8611,0.7826,0.8852,0.1271
Naive Bayes,HS_SL_BIG,"{'feature_selection__k': 40, 'scaler': MinMaxScaler()}",1.0,0.8455,0.8155,0.8333,0.8576,0.928,0.1139
KNN,HS_SL_BIG,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8524,0.8585,0.875,0.8299,0.9098,0.1181
Logistic Regression,HS_SL_BIG,"{'feature_selection__k': 60, 'logreg__C': 1, 'scaler': RobustScaler()}",1.0,0.8399,0.8645,0.7917,0.8882,0.912,0.1125
NuSVC,HS_SL_BIG,"{'feature_selection__k': 40, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': StandardScaler()}",1.0,0.8326,0.8236,0.7917,0.8736,0.9322,0.1118
Random Forest,HS_SL_BIG,"{'feature_selection__k': 60, 'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': StandardScaler()}",1.0,0.8351,0.8875,0.7917,0.8785,0.933,0.1125
SVC,HS_SL_BIG,"{'feature_selection__k': 60, 'scaler': RobustScaler(), 'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",1.0,0.8378,0.8303,0.7917,0.884,0.9225,0.1146
MLP,HS_SL_BIG,"{'feature_selection__k': 60, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.8132,0.859,0.7361,0.8903,0.9134,0.1271
Naive Bayes,VB_FA_LIT,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",1.0,0.676,0.495,0.3611,0.991,0.9439,0.0819
KNN,VB_FA_LIT,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",1.0,0.7941,0.7688,0.9444,0.6438,0.94,0.0965
Logistic Regression,VB_FA_LIT,"{'feature_selection__k': 50, 'logreg__C': 1, 'scaler': RobustScaler()}",1.0,0.8229,0.8108,0.8333,0.8125,0.8884,0.1354
