Model,Animation,Best Parameters,Train Accuracy,Test Accuracy,Precision,Recall,Specificity,Roc Auc,EER
Naive Bayes,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': MinMaxScaler()}",1.0,0.5625,0.2917,0.125,1.0,0.8814,0.0958
KNN,VB_SL_LIT,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.7986,0.7513,1.0,0.5972,0.9351,0.1153
Logistic Regression,VB_SL_LIT,"{'feature_selection__k': 40, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.851,0.8881,0.8472,0.8549,0.9086,0.1285
NuSVC,VB_SL_LIT,"{'feature_selection__k': 50, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': RobustScaler()}",1.0,0.9115,0.9498,0.8889,0.934,0.9764,0.0507
Random Forest,VB_SL_LIT,"{'feature_selection__k': 70, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.7937,0.7925,0.75,0.8375,0.9024,0.1535
SVC,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': RobustScaler(), 'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.9187,0.9608,0.8889,0.9486,0.9727,0.0611
MLP,VB_SL_LIT,"{'feature_selection__k': 40, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.85,0.8903,0.8333,0.8667,0.9227,0.116
Naive Bayes,HS_SL_LIT,"{'feature_selection__k': 20, 'scaler': MinMaxScaler()}",1.0,0.6962,0.4948,0.4028,0.9896,0.8449,0.1778
KNN,HS_SL_LIT,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8073,0.7774,0.9306,0.684,0.8838,0.1632
Logistic Regression,HS_SL_LIT,"{'feature_selection__k': 30, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.8087,0.7879,0.8056,0.8118,0.8532,0.2042
