2025-05-22 10:37:18.063199
YEZ="0.62463" RPUPILD="0.00296" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.33547" FPOGY="0.31572" FPOGS="1042.94617" FPOGD="0.15417" FPOGID="2202" FPOGV="0" LPOGX="0.43744" LPOGY="0.34621" LPOGV="1" RPOGX="0.23752" RPOGY="0.30450" RPOGV="1" BPOGX="0.33748" BPOGY="0.32535" BPOGV="1" LPCX="0.28180" LPCY="0.48985" LPD="16.78424" LPS="0.94085" LPV="1" RPCX="0.58691" RPCY="0.52558" RPD="16.64259" RPS="0.94085" RPV="1" LEYEX="-0.05315" LEYEY="0.00053" LEYEZ="0.64215" LPUPILD="0.00297" LPUPILV="1" REYEX="0.02150" REYEY="-0.00628" REYEZ="0.62463" RPUPILD="0.00288" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.62086" FPOGY="0.25315" FPOGS="1045.63892" FPOGD="0.37830" FPOGID="2207" FPOGV="1" LPOGX="0.74337" LPOGY="0.28488" LPOGV="1" RPOGX="0.50372" RPOGY="0.15311" RPOGV="1" BPOGX="0.62355" BPOGY="0.21900" BPOGV="1" LPCX="0.29256" LPCY="0.48860" LPD="18.47666" LPS="0.98766" LPV="1" RPCX="0.59831" RPCY="0.52582" RPD="18.41689" RPS="0.98766" RPV="1" LEYEX="-0.05216" LEYEY="0.00083" LEYEZ="0.65317" LPUPILD="0.00325" LPUPILV="1" REYEX="0.02398" REYEY="-0.00662" REYEZ="0.63965" RPUPILD="0.00322" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62080" FPOGY="0.25256" FPOGS="1045.63892" FPOGD="0.38452" FPOGID="2207" FPOGV="1" LPOGX="0.74299" LPOGY="0.29000" LPOGV="1" RPOGX="0.50291" RPOGY="0.16514" RPOGV="1" BPOGX="0.62295" BPOGY="0.22757" BPOGV="1" LPCX="0.29254" LPCY="0.48865" LPD="18.58866" LPS="0.98137" LPV="1" RPCX="0.59830" RPCY="0.52584" RPD="18.45479" RPS="0.97494" RPV="1" LEYEX="-0.05042" LEYEY="0.00076" LEYEZ="0.63025" LPUPILD="0.00327" LPUPILV="1" REYEX="0.02325" REYEY="-0.00643" REYEZ="0.62143" RPUPILD="0.00322" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62087" FPOGY="0.25180" FPOGS="1045.63892" FPOGD="0.39038" FPOGID="2207" FPOGV="1" LPOGX="0.72761" LPOGY="0.24219" LPOGV="1" RPOGX="0.51848" RPOGY="0.19324" RPOGV="1" BPOGX="0.62305" BPOGY="0.21772" BPOGV="1" LPCX="0.29236" LPCY="0.48872" LPD="18.46712" LPS="0.96163" LPV="1" RPCX="0.59827" RPCY="0.52583" RPD="18.44613" RPS="0.95519" RPV="1" LEYEX="-0.05042" LEYEY="0.00076" LEYEZ="0.63025" LPUPILD="0.00324" LPUPILV="1" REYEX="0.02325" REYEY="-0.00643" REYEZ="0.62143" RPUPILD="0.00321" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62089" FPOGY="0.25152" FPOGS="1045.63892" FPOGD="0.39587" FPOGID="2207" FPOGV="1" LPOGX="0.72600" LPOGY="0.27562" LPOGV="1" RPOGX="0.51264" RPOGY="0.21588" RPOGV="1" BPOGX="0.61932" BPOGY="0.24575" BPOGV="1" LPCX="0.29233" LPCY="0.48882" LPD="18.70512" LPS="0.94188" LPV="1" RPCX="0.59826" RPCY="0.52584" RPD="18.48346" RPS="0.93545" RPV="1" LEYEX="-0.05042" LEYEY="0.00076" LEYEZ="0.63025" LPUPILD="0.00323" LPUPILV="1" REYEX="0.02325" REYEY="-0.00643" REYEZ="0.62143" RPUPILD="0.00317" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62089" FPOGY="0.25143" FPOGS="1045.63892" FPOGD="0.40234" FPOGID="2207" FPOGV="1" LPOGX="0.72540" LPOGY="0.28719" LPOGV="1" RPOGX="0.51210" RPOGY="0.22242" RPOGV="1" BPOGX="0.61875" BPOGY="0.25481" BPOGV="1" LPCX="0.29222" LPCY="0.48881" LPD="18.72916" LPS="0.92842" LPV="1" RPCX="0.59823" RPCY="0.52576" RPD="18.26498" RPS="0.92842" RPV="1" LEYEX="-0.05100" LEYEY="0.00072" LEYEZ="0.63693" LPUPILD="0.00322" LPUPILV="1" REYEX="0.02408" REYEY="-0.00667" REYEZ="0.64492" RPUPILD="0.00318" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62059" FPOGY="0.25100" FPOGS="1045.63892" FPOGD="0.40881" FPOGID="2207" FPOGV="1" LPOGX="0.70694" LPOGY="0.25465" LPOGV="1" RPOGX="0.49793" RPOGY="0.22581" RPOGV="1" BPOGX="0.60244" BPOGY="0.24023" BPOGV="1" LPCX="0.29220" LPCY="0.48879" LPD="18.62096" LPS="0.93471" LPV="1" RPCX="0.59796" RPCY="0.52579" RPD="18.22480" RPS="0.94114" RPV="1" LEYEX="-0.05100" LEYEY="0.00072" LEYEZ="0.63693" LPUPILD="0.00326" LPUPILV="1" REYEX="0.02408" REYEY="-0.00667" REYEZ="0.64492" RPUPILD="0.00325" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62086" FPOGY="0.25065" FPOGS="1045.63892" FPOGD="0.41553" FPOGID="2207" FPOGV="1" LPOGX="0.73722" LPOGY="0.27873" LPOGV="1" RPOGX="0.49381" RPOGY="0.19913" RPOGV="1" BPOGX="0.61551" BPOGY="0.23893" BPOGV="1" LPCX="0.29220" LPCY="0.48879" LPD="18.62096" LPS="0.94743" LPV="1" RPCX="0.59794" RPCY="0.52576" RPD="18.37535" RPS="0.95386" RPV="1" LEYEX="-0.05100" LEYEY="0.00072" LEYEZ="0.63693" LPUPILD="0.00326" LPUPILV="1" REYEX="0.02408" REYEY="-0.00667" REYEZ="0.64492" RPUPILD="0.00324" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.62114" FPOGY="0.25007" FPOGS="1045.63892" FPOGD="0.42163" FPOGID="2207" FPOGV="1" LPOGX="0.73793" LPOGY="0.26787" LPOGV="1" RPOGX="0.49416" RPOGY="0.19328" RPOGV="1" BPOGX="0.61605" BPOGY="0.23057" BPOGV="1" LPCX="0.29224" LPCY="0.48890" LPD="18.70660" LPS="0.96015" LPV="1" RPCX="0.59791" RPCY="0.52588" RPD="18.47291" RPS="0.96015" RPV="1" LEYEX="-0.05108" LEYEY="0.00067" LEYEZ="0.63785" LPUPILD="0.00328" LPUPILV="1" REYEX="0.02371" REYEY="-0.00658" REYEZ="0.63617" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
