2025-05-22 10:41:31.598550
EYEZ="0.60671" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.15430" FPOGY="0.41041" FPOGS="1296.60986" FPOGD="0.01965" FPOGID="3063" FPOGV="1" LPOGX="1.24489" LPOGY="0.54232" LPOGV="1" RPOGX="1.04713" RPOGY="0.29731" RPOGV="1" BPOGX="1.14601" BPOGY="0.41981" BPOGV="1" LPCX="0.51224" LPCY="0.57960" LPD="20.12750" LPS="0.89835" LPV="1" RPCX="0.80635" RPCY="0.63307" RPD="20.27714" RPS="0.89835" RPV="1" LEYEX="0.00116" LEYEY="-0.01627" LEYEZ="0.61979" LPUPILD="0.00382" LPUPILV="1" REYEX="0.07123" REYEY="-0.02657" REYEZ="0.62050" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60238" FPOGY="0.25676" FPOGS="1299.45703" FPOGD="0.10645" FPOGID="3067" FPOGV="1" LPOGX="0.69607" LPOGY="0.34705" LPOGV="1" RPOGX="0.48822" RPOGY="0.24739" RPOGV="1" BPOGX="0.59215" BPOGY="0.29722" BPOGV="1" LPCX="0.48734" LPCY="0.57766" LPD="18.63042" LPS="1.00190" LPV="1" RPCX="0.78301" RPCY="0.62690" RPD="18.06041" RPS="1.00190" RPV="1" LEYEX="-0.00326" LEYEY="-0.01693" LEYEZ="0.64849" LPUPILD="0.00346" LPUPILV="1" REYEX="0.07078" REYEY="-0.02696" REYEZ="0.65235" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.60175" FPOGY="0.25753" FPOGS="1299.45703" FPOGD="0.11304" FPOGID="3067" FPOGV="1" LPOGX="0.69008" LPOGY="0.31366" LPOGV="1" RPOGX="0.49221" RPOGY="0.22770" RPOGV="1" BPOGX="0.59115" BPOGY="0.27068" BPOGV="1" LPCX="0.48731" LPCY="0.57752" LPD="18.97684" LPS="1.00190" LPV="1" RPCX="0.78298" RPCY="0.62685" RPD="18.40195" RPS="1.00908" RPV="1" LEYEX="-0.00326" LEYEY="-0.01693" LEYEZ="0.64849" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07078" REYEY="-0.02696" REYEZ="0.65235" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.60134" FPOGY="0.25824" FPOGS="1299.45703" FPOGD="0.11987" FPOGID="3067" FPOGV="1" LPOGX="0.70175" LPOGY="0.31753" LPOGV="1" RPOGX="0.48612" RPOGY="0.22443" RPOGV="1" BPOGX="0.59393" BPOGY="0.27098" BPOGV="1" LPCX="0.48731" LPCY="0.57747" LPD="19.03165" LPS="1.00908" LPV="1" RPCX="0.78292" RPCY="0.62670" RPD="18.16036" RPS="1.01627" RPV="1" LEYEX="-0.00326" LEYEY="-0.01693" LEYEZ="0.64849" LPUPILD="0.00345" LPUPILV="1" REYEX="0.07078" REYEY="-0.02696" REYEZ="0.65235" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.60098" FPOGY="0.25859" FPOGS="1299.45703" FPOGD="0.12695" FPOGID="3067" FPOGV="1" LPOGX="0.70188" LPOGY="0.31209" LPOGV="1" RPOGX="0.48645" RPOGY="0.21831" RPOGV="1" BPOGX="0.59417" BPOGY="0.26520" BPOGV="1" LPCX="0.48731" LPCY="0.57750" LPD="19.12816" LPS="1.01627" LPV="1" RPCX="0.78289" RPCY="0.62669" RPD="18.24167" RPS="1.02346" RPV="1" LEYEX="-0.00326" LEYEY="-0.01688" LEYEZ="0.64849" LPUPILD="0.00343" LPUPILV="1" REYEX="0.07178" REYEY="-0.02729" REYEZ="0.66163" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.60059" FPOGY="0.25795" FPOGS="1299.45703" FPOGD="0.13403" FPOGID="3067" FPOGV="1" LPOGX="0.69887" LPOGY="0.30005" LPOGV="1" RPOGX="0.48648" RPOGY="0.19015" RPOGV="1" BPOGX="0.59267" BPOGY="0.24510" BPOGV="1" LPCX="0.48720" LPCY="0.57741" LPD="19.06177" LPS="1.02346" LPV="1" RPCX="0.78287" RPCY="0.62668" RPD="18.17369" RPS="1.02346" RPV="1" LEYEX="-0.00326" LEYEY="-0.01688" LEYEZ="0.64849" LPUPILD="0.00341" LPUPILV="1" REYEX="0.07178" REYEY="-0.02729" REYEZ="0.66163" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59964" FPOGY="0.25643" FPOGS="1299.45703" FPOGD="0.14026" FPOGID="3067" FPOGV="1" LPOGX="0.68836" LPOGY="0.27809" LPOGV="1" RPOGX="0.47139" RPOGY="0.17114" RPOGV="1" BPOGX="0.57988" BPOGY="0.22461" BPOGV="1" LPCX="0.48728" LPCY="0.57731" LPD="18.73510" LPS="1.02346" LPV="1" RPCX="0.78287" RPCY="0.62660" RPD="18.17693" RPS="1.02346" RPV="1" LEYEX="-0.00326" LEYEY="-0.01688" LEYEZ="0.64849" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07178" REYEY="-0.02729" REYEZ="0.66163" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59878" FPOGY="0.25519" FPOGS="1299.45703" FPOGD="0.14673" FPOGID="3067" FPOGV="1" LPOGX="0.68836" LPOGY="0.27809" LPOGV="1" RPOGX="0.47116" RPOGY="0.17760" RPOGV="1" BPOGX="0.57976" BPOGY="0.22784" BPOGV="1" LPCX="0.48735" LPCY="0.57774" LPD="19.63427" LPS="1.02346" LPV="1" RPCX="0.78284" RPCY="0.62651" RPD="17.92515" RPS="1.01627" RPV="1" LEYEX="-0.00326" LEYEY="-0.01678" LEYEZ="0.64849" LPUPILD="0.00339" LPUPILV="1" REYEX="0.06959" REYEY="-0.02648" REYEZ="0.64189" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59858" FPOGY="0.25455" FPOGS="1299.45703" FPOGD="0.15332" FPOGID="3067" FPOGV="1" LPOGX="0.71195" LPOGY="0.25577" LPOGV="1" RPOGX="0.47620" RPOGY="0.22375" RPOGV="1" BPOGX="0.59408" BPOGY="0.23976" BPOGV="1" LPCX="0.48732" LPCY="0.57743" LPD="19.76098" LPS="1.01627" LPV="1" RPCX="0.78274" RPCY="0.62645" RPD="18.42737" RPS="1.00908" RPV="1" LEYEX="-0.00326" LEYEY="-0.01678" LEYEZ="0.64849" LPUPILD="0.00346" LPUPILV="1" REYEX="0.06959" REYEY="-0.02648" REYEZ="0.64189" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
