2025-05-22 10:46:04.190290
 REYEZ="0.61900" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.39590" FPOGY="0.32660" FPOGS="1569.18213" FPOGD="0.05432" FPOGID="3854" FPOGV="1" LPOGX="0.52278" LPOGY="0.39269" LPOGV="1" RPOGX="0.27238" RPOGY="0.28350" RPOGV="1" BPOGX="0.39758" BPOGY="0.33810" BPOGV="1" LPCX="0.45370" LPCY="0.50500" LPD="19.48434" LPS="0.93469" LPV="1" RPCX="0.76250" RPCY="0.53641" RPD="19.96289" RPS="0.93469" RPV="1" LEYEX="-0.01075" LEYEY="-0.00226" LEYEZ="0.64030" LPUPILD="0.00328" LPUPILV="1" REYEX="0.06298" REYEY="-0.00826" REYEZ="0.61900" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.39616" FPOGY="0.32820" FPOGS="1569.18213" FPOGD="0.06104" FPOGID="3854" FPOGV="1" LPOGX="0.52370" LPOGY="0.39668" LPOGV="1" RPOGX="0.27332" RPOGY="0.28848" RPOGV="1" BPOGX="0.39851" BPOGY="0.34258" BPOGV="1" LPCX="0.45353" LPCY="0.50493" LPD="19.30881" LPS="0.92903" LPV="1" RPCX="0.76244" RPCY="0.53640" RPD="19.90275" RPS="0.92903" RPV="1" LEYEX="-0.01029" LEYEY="-0.00219" LEYEZ="0.60740" LPUPILD="0.00328" LPUPILV="1" REYEX="0.06228" REYEY="-0.00809" REYEZ="0.61305" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59974" FPOGY="0.29244" FPOGS="1572.03027" FPOGD="0.11938" FPOGID="3864" FPOGV="1" LPOGX="0.70335" LPOGY="0.35233" LPOGV="1" RPOGX="0.50206" RPOGY="0.19374" RPOGV="1" BPOGX="0.60270" BPOGY="0.27303" BPOGV="1" LPCX="0.46143" LPCY="0.50453" LPD="21.00667" LPS="0.95384" LPV="1" RPCX="0.77137" RPCY="0.53687" RPD="20.16349" RPS="0.96027" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00354" LPUPILV="1" REYEX="0.06715" REYEY="-0.00895" REYEZ="0.64519" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59990" FPOGY="0.29120" FPOGS="1572.03027" FPOGD="0.12634" FPOGID="3864" FPOGV="1" LPOGX="0.70349" LPOGY="0.34741" LPOGV="1" RPOGX="0.50247" RPOGY="0.18775" RPOGV="1" BPOGX="0.60298" BPOGY="0.26758" BPOGV="1" LPCX="0.46146" LPCY="0.50450" LPD="20.91201" LPS="0.96027" LPV="1" RPCX="0.77137" RPCY="0.53685" RPD="20.10882" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00354" LPUPILV="1" REYEX="0.06715" REYEY="-0.00895" REYEZ="0.64519" RPUPILD="0.00357" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59965" FPOGY="0.28847" FPOGS="1572.03027" FPOGD="0.13257" FPOGID="3864" FPOGV="1" LPOGX="0.68353" LPOGY="0.27451" LPOGV="1" RPOGX="0.50549" RPOGY="0.19320" RPOGV="1" BPOGX="0.59451" BPOGY="0.23385" BPOGV="1" LPCX="0.46149" LPCY="0.50457" LPD="20.90206" LPS="0.96670" LPV="1" RPCX="0.77149" RPCY="0.53694" RPD="20.05726" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00356" LPUPILV="1" REYEX="0.06715" REYEY="-0.00895" REYEZ="0.64519" RPUPILD="0.00357" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59907" FPOGY="0.28747" FPOGS="1572.03027" FPOGD="0.14001" FPOGID="3864" FPOGV="1" LPOGX="0.68961" LPOGY="0.33964" LPOGV="1" RPOGX="0.48417" RPOGY="0.19312" RPOGV="1" BPOGX="0.58689" BPOGY="0.26638" BPOGV="1" LPCX="0.46158" LPCY="0.50455" LPD="20.92223" LPS="0.96670" LPV="1" RPCX="0.77146" RPCY="0.53697" RPD="20.08356" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00358" LPUPILV="1" REYEX="0.06715" REYEY="-0.00895" REYEZ="0.64519" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59854" FPOGY="0.28655" FPOGS="1572.03027" FPOGD="0.14648" FPOGID="3864" FPOGV="1" LPOGX="0.68961" LPOGY="0.33964" LPOGV="1" RPOGX="0.48417" RPOGY="0.19312" RPOGV="1" BPOGX="0.58689" BPOGY="0.26638" BPOGV="1" LPCX="0.46156" LPCY="0.50451" LPD="20.92564" LPS="0.96670" LPV="1" RPCX="0.77149" RPCY="0.53693" RPD="20.06007" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00356" LPUPILV="1" REYEX="0.06669" REYEY="-0.00894" REYEZ="0.64079" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59814" FPOGY="0.28581" FPOGS="1572.03027" FPOGD="0.15320" FPOGID="3864" FPOGV="1" LPOGX="0.69258" LPOGY="0.34081" LPOGV="1" RPOGX="0.48562" RPOGY="0.19667" RPOGV="1" BPOGX="0.58910" BPOGY="0.26874" BPOGV="1" LPCX="0.46159" LPCY="0.50454" LPD="20.89755" LPS="0.96670" LPV="1" RPCX="0.77162" RPCY="0.53704" RPD="20.14801" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00356" LPUPILV="1" REYEX="0.06669" REYEY="-0.00894" REYEZ="0.64079" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.59775" FPOGY="0.28539" FPOGS="1572.03027" FPOGD="0.16016" FPOGID="3864" FPOGV="1" LPOGX="0.69207" LPOGY="0.34388" LPOGV="1" RPOGX="0.48450" RPOGY="0.20713" RPOGV="1" BPOGX="0.58828" BPOGY="0.27550" BPOGV="1" LPCX="0.46159" LPCY="0.50452" LPD="20.81303" LPS="0.96670" LPV="1" RPCX="0.77160" RPCY="0.53696" RPD="20.12862" RPS="0.96670" RPV="1" LEYEX="-0.00969" LEYEY="-0.00228" LEYEZ="0.64585" LPUPILD="0.00357" LPUPILV="1" REYEX="0.06669" REYEY="-0.00894" REYEZ="0.64079" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
