2025-06-04 15:31:12.167114
EYEZ="0.66246" RPUPILD="0.00290" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53739" FPOGY="0.21584" FPOGS="5093.11719" FPOGD="0.22070" FPOGID="11307" FPOGV="1" LPOGX="0.66485" LPOGY="0.20836" LPOGV="1" RPOGX="0.41790" RPOGY="0.17233" RPOGV="1" BPOGX="0.54138" BPOGY="0.19034" BPOGV="1" LPCX="0.29446" LPCY="0.38766" LPD="17.06544" LPS="1.00937" LPV="1" RPCX="0.59616" RPCY="0.43346" RPD="16.52214" RPS="1.01656" RPV="1" LEYEX="-0.05123" LEYEY="0.02098" LEYEZ="0.64891" LPUPILD="0.00287" LPUPILV="1" REYEX="0.02449" REYEY="0.01202" REYEZ="0.66246" RPUPILD="0.00290" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53288" FPOGY="0.22167" FPOGS="5094.14893" FPOGD="0.12012" FPOGID="11308" FPOGV="1" LPOGX="0.63240" LPOGY="0.27014" LPOGV="1" RPOGX="0.42579" RPOGY="0.21735" RPOGV="1" BPOGX="0.52909" BPOGY="0.24374" BPOGV="1" LPCX="0.29088" LPCY="0.38727" LPD="18.28108" LPS="0.99516" LPV="1" RPCX="0.59271" RPCY="0.43296" RPD="18.35273" RPS="0.98797" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00323" LPUPILV="1" REYEX="0.02274" REYEY="0.01161" REYEZ="0.63718" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53259" FPOGY="0.22316" FPOGS="5094.14893" FPOGD="0.12695" FPOGID="11308" FPOGV="1" LPOGX="0.64941" LPOGY="0.27681" LPOGV="1" RPOGX="0.40492" RPOGY="0.22641" RPOGV="1" BPOGX="0.52717" BPOGY="0.25161" BPOGV="1" LPCX="0.29108" LPCY="0.38727" LPD="18.22113" LPS="0.98094" LPV="1" RPCX="0.59286" RPCY="0.43315" RPD="18.29561" RPS="0.98094" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00330" LPUPILV="1" REYEX="0.02274" REYEY="0.01161" REYEZ="0.63718" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53274" FPOGY="0.22452" FPOGS="5094.14893" FPOGD="0.13330" FPOGID="11308" FPOGV="1" LPOGX="0.65849" LPOGY="0.27619" LPOGV="1" RPOGX="0.41302" RPOGY="0.22695" RPOGV="1" BPOGX="0.53576" BPOGY="0.25157" BPOGV="1" LPCX="0.29109" LPCY="0.38721" LPD="18.26854" LPS="0.97392" LPV="1" RPCX="0.59288" RPCY="0.43318" RPD="18.21384" RPS="0.97392" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00329" LPUPILV="1" REYEX="0.02274" REYEY="0.01161" REYEZ="0.63718" RPUPILD="0.00315" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53288" FPOGY="0.22587" FPOGS="5094.14893" FPOGD="0.14014" FPOGID="11308" FPOGV="1" LPOGX="0.65865" LPOGY="0.28193" LPOGV="1" RPOGX="0.41302" RPOGY="0.22680" RPOGV="1" BPOGX="0.53583" BPOGY="0.25437" BPOGV="1" LPCX="0.29113" LPCY="0.38721" LPD="18.28385" LPS="0.96689" LPV="1" RPCX="0.59293" RPCY="0.43304" RPD="17.89783" RPS="0.97408" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00329" LPUPILV="1" REYEX="0.02348" REYEY="0.01191" REYEZ="0.65371" RPUPILD="0.00316" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53333" FPOGY="0.22707" FPOGS="5094.14893" FPOGD="0.14697" FPOGID="11308" FPOGV="1" LPOGX="0.66413" LPOGY="0.29008" LPOGV="1" RPOGX="0.42225" RPOGY="0.21687" RPOGV="1" BPOGX="0.54319" BPOGY="0.25348" BPOGV="1" LPCX="0.29115" LPCY="0.38718" LPD="18.05432" LPS="0.97408" LPV="1" RPCX="0.59297" RPCY="0.43307" RPD="17.94850" RPS="0.98127" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00329" LPUPILV="1" REYEX="0.02348" REYEY="0.01191" REYEZ="0.65371" RPUPILD="0.00318" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53337" FPOGY="0.22862" FPOGS="5094.14893" FPOGD="0.15332" FPOGID="11308" FPOGV="1" LPOGX="0.63648" LPOGY="0.30105" LPOGV="1" RPOGX="0.43205" RPOGY="0.22721" RPOGV="1" BPOGX="0.53426" BPOGY="0.26413" BPOGV="1" LPCX="0.29120" LPCY="0.38717" LPD="18.16938" LPS="0.98127" LPV="1" RPCX="0.59318" RPCY="0.43312" RPD="18.18809" RPS="0.98846" RPV="1" LEYEX="-0.05127" LEYEY="0.02074" LEYEZ="0.64025" LPUPILD="0.00332" LPUPILV="1" REYEX="0.02348" REYEY="0.01191" REYEZ="0.65371" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53339" FPOGY="0.22957" FPOGS="5094.14893" FPOGD="0.16016" FPOGID="11308" FPOGV="1" LPOGX="0.63586" LPOGY="0.28993" LPOGV="1" RPOGX="0.43199" RPOGY="0.21476" RPOGV="1" BPOGX="0.53392" BPOGY="0.25234" BPOGV="1" LPCX="0.29155" LPCY="0.38705" LPD="17.84597" LPS="0.99549" LPV="1" RPCX="0.59320" RPCY="0.43312" RPD="18.18966" RPS="1.00268" RPV="1" LEYEX="-0.05255" LEYEY="0.02128" LEYEZ="0.65686" LPUPILD="0.00330" LPUPILV="1" REYEX="0.02348" REYEY="0.01191" REYEZ="0.65371" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.53295" FPOGY="0.22908" FPOGS="5094.14893" FPOGD="0.16748" FPOGID="11308" FPOGV="1" LPOGX="0.64207" LPOGY="0.23549" LPOGV="1" RPOGX="0.40146" RPOGY="0.19857" RPOGV="1" BPOGX="0.52177" BPOGY="0.21703" BPOGV="1" LPCX="0.29161" LPCY="0.38701" LPD="18.06296" LPS="1.00970" LPV="1" RPCX="0.59317" RPCY="0.43306" RPD="17.97075" RPS="1.00970" RPV="1" LEYEX="-0.05255" LEYEY="0.02128" LEYEZ="0.65686" LPUPILD="0.00329" LPUPILV="1" REYEX="0.02348" REYEY="0.01191" REYEZ="0.65371" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
