2025-05-26 11:37:13.895160
9" REYEZ="0.66917" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.03129" FPOGY="0.55634" FPOGS="4661.64746" FPOGD="0.06104" FPOGID="10195" FPOGV="1" LPOGX="1.00578" LPOGY="0.61932" LPOGV="1" RPOGX="1.04533" RPOGY="0.53622" RPOGV="1" BPOGX="1.02556" BPOGY="0.57777" BPOGV="1" LPCX="0.47586" LPCY="0.82014" LPD="27.87150" LPS="1.06532" LPV="1" RPCX="0.73444" RPCY="0.87021" RPD="25.15973" RPS="1.07341" RPV="1" LEYEX="-0.00732" LEYEY="-0.06762" LEYEZ="0.67793" LPUPILD="0.00548" LPUPILV="1" REYEX="0.05840" REYEY="-0.07689" REYEZ="0.66917" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.03108" FPOGY="0.55794" FPOGS="4661.64746" FPOGD="0.06787" FPOGID="10195" FPOGV="1" LPOGX="1.00817" LPOGY="0.61555" LPOGV="1" RPOGX="1.04975" RPOGY="0.53227" RPOGV="1" BPOGX="1.02896" BPOGY="0.57391" BPOGV="1" LPCX="0.47588" LPCY="0.82015" LPD="27.85871" LPS="1.07341" LPV="1" RPCX="0.73447" RPCY="0.87014" RPD="25.13660" RPS="1.08149" RPV="1" LEYEX="-0.00695" LEYEY="-0.06547" LEYEZ="0.65733" LPUPILD="0.00549" LPUPILV="1" REYEX="0.05887" REYEY="-0.07737" REYEZ="0.67335" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50510" FPOGY="0.79853" FPOGS="4664.48828" FPOGD="0.14111" FPOGID="10206" FPOGV="1" LPOGX="0.44604" LPOGY="0.79224" LPOGV="1" RPOGX="0.53472" RPOGY="0.82011" RPOGV="1" BPOGX="0.49038" BPOGY="0.80617" BPOGV="1" LPCX="0.38510" LPCY="0.83125" LPD="28.22137" LPS="1.12524" LPV="1" RPCX="0.65138" RPCY="0.85263" RPD="27.78783" RPS="1.13441" RPV="1" LEYEX="-0.03014" LEYEY="-0.07126" LEYEZ="0.69656" LPUPILD="0.00546" LPUPILV="1" REYEX="0.04052" REYEY="-0.07653" REYEZ="0.70272" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50525" FPOGY="0.79991" FPOGS="4664.48828" FPOGD="0.14746" FPOGID="10206" FPOGV="1" LPOGX="0.46883" LPOGY="0.81242" LPOGV="1" RPOGX="0.54714" RPOGY="0.83976" RPOGV="1" BPOGX="0.50799" BPOGY="0.82609" BPOGV="1" LPCX="0.38524" LPCY="0.83129" LPD="28.31843" LPS="1.13441" LPV="1" RPCX="0.65148" RPCY="0.85272" RPD="27.81165" RPS="1.14357" RPV="1" LEYEX="-0.03014" LEYEY="-0.07126" LEYEZ="0.69656" LPUPILD="0.00545" LPUPILV="1" REYEX="0.04052" REYEY="-0.07653" REYEZ="0.70272" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50582" FPOGY="0.80126" FPOGS="4664.48828" FPOGD="0.15381" FPOGID="10206" FPOGV="1" LPOGX="0.48002" LPOGY="0.80828" LPOGV="1" RPOGX="0.55465" RPOGY="0.84809" RPOGV="1" BPOGX="0.51734" BPOGY="0.82818" BPOGV="1" LPCX="0.38532" LPCY="0.83130" LPD="28.26984" LPS="1.14357" LPV="1" RPCX="0.65154" RPCY="0.85280" RPD="27.80464" RPS="1.15274" RPV="1" LEYEX="-0.03014" LEYEY="-0.07126" LEYEZ="0.69656" LPUPILD="0.00544" LPUPILV="1" REYEX="0.04052" REYEY="-0.07653" REYEZ="0.70272" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50634" FPOGY="0.80248" FPOGS="4664.48828" FPOGD="0.16113" FPOGID="10206" FPOGV="1" LPOGX="0.47999" LPOGY="0.80824" LPOGV="1" RPOGX="0.55467" RPOGY="0.84804" RPOGV="1" BPOGX="0.51733" BPOGY="0.82814" BPOGV="1" LPCX="0.38536" LPCY="0.83134" LPD="28.16577" LPS="1.14378" LPV="1" RPCX="0.65161" RPCY="0.85292" RPD="27.91056" RPS="1.15295" RPV="1" LEYEX="-0.02894" LEYEY="-0.06854" LEYEZ="0.67001" LPUPILD="0.00544" LPUPILV="1" REYEX="0.04065" REYEY="-0.07658" REYEZ="0.70319" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50675" FPOGY="0.80282" FPOGS="4664.48828" FPOGD="0.16748" FPOGID="10206" FPOGV="1" LPOGX="0.48862" LPOGY="0.81639" LPOGV="1" RPOGX="0.54253" RPOGY="0.80426" RPOGV="1" BPOGX="0.51557" BPOGY="0.81032" BPOGV="1" LPCX="0.38554" LPCY="0.83130" LPD="28.29938" LPS="1.14399" LPV="1" RPCX="0.65178" RPCY="0.85291" RPD="27.78309" RPS="1.14399" RPV="1" LEYEX="-0.02894" LEYEY="-0.06854" LEYEZ="0.67001" LPUPILD="0.00546" LPUPILV="1" REYEX="0.04065" REYEY="-0.07658" REYEZ="0.70319" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50758" FPOGY="0.80313" FPOGS="4664.48828" FPOGD="0.17432" FPOGID="10206" FPOGV="1" LPOGX="0.49959" LPOGY="0.80889" LPOGV="1" RPOGX="0.55375" RPOGY="0.81180" RPOGV="1" BPOGX="0.52667" BPOGY="0.81035" BPOGV="1" LPCX="0.38558" LPCY="0.83126" LPD="28.34026" LPS="1.13503" LPV="1" RPCX="0.65184" RPCY="0.85302" RPD="27.83148" RPS="1.13503" RPV="1" LEYEX="-0.02894" LEYEY="-0.06854" LEYEZ="0.67001" LPUPILD="0.00547" LPUPILV="1" REYEX="0.04065" REYEY="-0.07658" REYEZ="0.70319" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.50831" FPOGY="0.80337" FPOGS="4664.48828" FPOGD="0.18018" FPOGID="10206" FPOGV="1" LPOGX="0.49797" LPOGY="0.80657" LPOGV="1" RPOGX="0.55386" RPOGY="0.81154" RPOGV="1" BPOGX="0.52591" BPOGY="0.80905" BPOGV="1" LPCX="0.38564" LPCY="0.83125" LPD="28.28699" LPS="1.14527" LPV="1" RPCX="0.65195" RPCY="0.85305" RPD="28.04365" RPS="1.13610" RPV="1" LEYEX="-0.03047" LEYEY="-0.07242" LEYEZ="0.70797" LPUPILD="0.00550" LPUPILV="1" REYEX="0.03880" REYEY="-0.07320" REYEZ="0.67029" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
