2025-05-27 12:08:04.503215
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54271" FPOGY="0.44383" FPOGS="7004.50635" FPOGD="0.07373" FPOGID="19402" FPOGV="1" LPOGX="0.57748" LPOGY="0.49041" LPOGV="1" RPOGX="0.56402" RPOGY="0.45751" RPOGV="1" BPOGX="0.57075" BPOGY="0.47396" BPOGV="1" LPCX="0.32938" LPCY="0.83120" LPD="27.53611" LPS="1.13046" LPV="1" RPCX="0.59186" RPCY="0.81965" RPD="26.79619" RPS="1.12130" RPV="1" LEYEX="-0.04366" LEYEY="-0.06912" LEYEZ="0.67078" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02424" REYEY="-0.07005" REYEZ="0.70432" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54489" FPOGY="0.44675" FPOGS="7004.50635" FPOGD="0.08008" FPOGID="19402" FPOGV="1" LPOGX="0.57920" LPOGY="0.50023" LPOGV="1" RPOGX="0.56291" RPOGY="0.46323" RPOGV="1" BPOGX="0.57106" BPOGY="0.48173" BPOGV="1" LPCX="0.32944" LPCY="0.83124" LPD="27.53831" LPS="1.11106" LPV="1" RPCX="0.59189" RPCY="0.81970" RPD="26.77756" RPS="1.11106" RPV="1" LEYEX="-0.04579" LEYEY="-0.07258" LEYEZ="0.70428" LPUPILD="0.00544" LPUPILV="1" REYEX="0.02445" REYEY="-0.07020" REYEZ="0.70425" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54678" FPOGY="0.44685" FPOGS="7004.50635" FPOGD="0.08740" FPOGID="19402" FPOGV="1" LPOGX="0.54249" LPOGY="0.46505" LPOGV="1" RPOGX="0.60017" RPOGY="0.43118" RPOGV="1" BPOGX="0.57133" BPOGY="0.44812" BPOGV="1" LPCX="0.32982" LPCY="0.83139" LPD="27.42457" LPS="1.12002" LPV="1" RPCX="0.59223" RPCY="0.82000" RPD="26.59893" RPS="1.12918" RPV="1" LEYEX="-0.04579" LEYEY="-0.07258" LEYEZ="0.70428" LPUPILD="0.00547" LPUPILV="1" REYEX="0.02445" REYEY="-0.07020" REYEZ="0.70425" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54891" FPOGY="0.44733" FPOGS="7004.50635" FPOGD="0.09424" FPOGID="19402" FPOGV="1" LPOGX="0.57231" LPOGY="0.47301" LPOGV="1" RPOGX="0.58509" RPOGY="0.43507" RPOGV="1" BPOGX="0.57870" BPOGY="0.45404" BPOGV="1" LPCX="0.33002" LPCY="0.83146" LPD="27.53901" LPS="1.13814" LPV="1" RPCX="0.59242" RPCY="0.82022" RPD="26.67035" RPS="1.14731" RPV="1" LEYEX="-0.04579" LEYEY="-0.07258" LEYEZ="0.70428" LPUPILD="0.00548" LPUPILV="1" REYEX="0.02445" REYEY="-0.07020" REYEZ="0.70425" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55080" FPOGY="0.44679" FPOGS="7004.50635" FPOGD="0.10059" FPOGID="19402" FPOGV="1" LPOGX="0.56969" LPOGY="0.45835" LPOGV="1" RPOGX="0.58859" RPOGY="0.41905" RPOGV="1" BPOGX="0.57914" BPOGY="0.43870" BPOGV="1" LPCX="0.33010" LPCY="0.83152" LPD="27.56462" LPS="1.16650" LPV="1" RPCX="0.59251" RPCY="0.82023" RPD="26.62502" RPS="1.17567" RPV="1" LEYEX="-0.04673" LEYEY="-0.07460" LEYEZ="0.72291" LPUPILD="0.00546" LPUPILV="1" REYEX="0.02465" REYEY="-0.07020" REYEZ="0.70380" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55243" FPOGY="0.44610" FPOGS="7004.50635" FPOGD="0.10693" FPOGID="19402" FPOGV="1" LPOGX="0.55057" LPOGY="0.46625" LPOGV="1" RPOGX="0.60643" RPOGY="0.40384" RPOGV="1" BPOGX="0.57850" BPOGY="0.43505" BPOGV="1" LPCX="0.33060" LPCY="0.83165" LPD="27.54903" LPS="1.18591" LPV="1" RPCX="0.59301" RPCY="0.82047" RPD="26.58735" RPS="1.18591" RPV="1" LEYEX="-0.04673" LEYEY="-0.07460" LEYEZ="0.72291" LPUPILD="0.00546" LPUPILV="1" REYEX="0.02465" REYEY="-0.07020" REYEZ="0.70380" RPUPILD="0.00532" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55100" FPOGY="0.44421" FPOGS="7004.50635" FPOGD="0.11377" FPOGID="19402" FPOGV="1" LPOGX="0.49506" LPOGY="0.40627" LPOGV="1" RPOGX="0.55822" RPOGY="0.41799" RPOGV="1" BPOGX="0.52664" BPOGY="0.41213" BPOGV="1" LPCX="0.33089" LPCY="0.83178" LPD="27.59205" LPS="1.19615" LPV="1" RPCX="0.59320" RPCY="0.82071" RPD="26.40023" RPS="1.19615" RPV="1" LEYEX="-0.04673" LEYEY="-0.07460" LEYEZ="0.72291" LPUPILD="0.00546" LPUPILV="1" REYEX="0.02465" REYEY="-0.07020" REYEZ="0.70380" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54971" FPOGY="0.44252" FPOGS="7004.50635" FPOGD="0.12061" FPOGID="19402" FPOGV="1" LPOGX="0.49506" LPOGY="0.40627" LPOGV="1" RPOGX="0.55822" RPOGY="0.41799" RPOGV="1" BPOGX="0.52664" BPOGY="0.41213" BPOGV="1" LPCX="0.33097" LPCY="0.83186" LPD="27.52102" LPS="1.19615" LPV="1" RPCX="0.59337" RPCY="0.82078" RPD="26.61267" RPS="1.19615" RPV="1" LEYEX="-0.04464" LEYEY="-0.07179" LEYEZ="0.69465" LPUPILD="0.00550" LPUPILV="1" REYEX="0.02472" REYEY="-0.06997" REYEZ="0.69989" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55171" FPOGY="0.44149" FPOGS="7004.50635" FPOGD="0.12744" FPOGID="19402" FPOGV="1" LPOGX="0.55572" LPOGY="0.44052" LPOGV="1" RPOGX="0.62369" RPOGY="0.40324" RPOGV="1" BPOGX="0.58970" BPOGY="0.42188" BPOGV="1" LPCX="0.33146" LPCY="0.83194" LPD="27.56538" LPS="1.18591" LPV="1" RPCX="0.59389" RPCY="0.82105" RPD="26.61935" RPS="1.18591" RPV="1" LEYEX="-0.04464" LEYEY="-0.07179" LEYEZ="0.69465" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02472" REYEY="-0.06997" REYEZ="0.69989" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55106" FPOGY="0.44144" FPOGS="7004.50635" FPOGD="0.13379" FPOGID="19402" FPOGV="1" LPOGX="0.50647" LPOGY="0.44393" LPOGV="1" RPOGX="0.56957" RPOGY="0.43703" RPOGV="1" BPOGX="0.53802" BPOGY="0.44048" BPOGV="1" LPCX="0.33175" LPCY="0.83198" LPD="27.59629" LPS="1.17567" LPV="1" RPCX="0.59407" RPCY="0.82120" RPD="26.62398" RPS="1.17567" RPV="1" LEYEX="-0.04464" LEYEY="-0.07179" LEYEZ="0.69465" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02472" REYEY="-0.06997" REYEZ="0.69989" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55050" FPOGY="0.44152" FPOGS="7004.50635" FPOGD="0.14062" FPOGID="19402" FPOGV="1" LPOGX="0.50794" LPOGY="0.44922" LPOGV="1" RPOGX="0.56959" RPOGY="0.43690" RPOGV="1" BPOGX="0.53877" BPOGY="0.44306" BPOGV="1" LPCX="0.33192" LPCY="0.83217" LPD="27.62562" LPS="1.16543" LPV="1" RPCX="0.59431" RPCY="0.82125" RPD="26.49393" RPS="1.17591" RPV="1" LEYEX="-0.04470" LEYEY="-0.07222" LEYEZ="0.69880" LPUPILD="0.00547" LPUPILV="1" REYEX="0.02585" REYEY="-0.07256" REYEZ="0.72419" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55194" FPOGY="0.44124" FPOGS="7004.50635" FPOGD="0.14746" FPOGID="19402" FPOGV="1" LPOGX="0.57532" LPOGY="0.47152" LPOGV="1" RPOGX="0.59168" RPOGY="0.39907" RPOGV="1" BPOGX="0.58350" BPOGY="0.43529" BPOGV="1" LPCX="0.33246" LPCY="0.83219" LPD="27.58420" LPS="1.17591" LPV="1" RPCX="0.59481" RPCY="0.82150" RPD="26.50965" RPS="1.18638" RPV="1" LEYEX="-0.04470" LEYEY="-0.07222" LEYEZ="0.69880" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02585" REYEY="-0.07256" REYEZ="0.72419" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55210" FPOGY="0.44142" FPOGS="7004.50635" FPOGD="0.15430" FPOGID="19402" FPOGV="1" LPOGX="0.52797" LPOGY="0.47134" LPOGV="1" RPOGX="0.58384" RPOGY="0.41947" RPOGV="1" BPOGX="0.55591" BPOGY="0.44540" BPOGV="1" LPCX="0.33274" LPCY="0.83221" LPD="27.60175" LPS="1.18638" LPV="1" RPCX="0.59502" RPCY="0.82162" RPD="26.74451" RPS="1.19686" RPV="1" LEYEX="-0.04470" LEYEY="-0.07222" LEYEZ="0.69880" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02585" REYEY="-0.07256" REYEZ="0.72419" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55223" FPOGY="0.44147" FPOGS="7004.50635" FPOGD="0.16064" FPOGID="19402" FPOGV="1" LPOGX="0.52667" LPOGY="0.46618" LPOGV="1" RPOGX="0.58384" RPOGY="0.41947" RPOGV="1" BPOGX="0.55526" BPOGY="0.44283" BPOGV="1" LPCX="0.33291" LPCY="0.83217" LPD="27.49633" LPS="1.19686" LPV="1" RPCX="0.59523" RPCY="0.82173" RPD="26.44456" RPS="1.19686" RPV="1" LEYEX="-0.04475" LEYEY="-0.07282" LEYEZ="0.70462" LPUPILD="0.00547" LPUPILV="1" REYEX="0.02525" REYEY="-0.07026" REYEZ="0.70010" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55258" FPOGY="0.44088" FPOGS="7004.50635" FPOGD="0.16748" FPOGID="19402" FPOGV="1" LPOGX="0.54921" LPOGY="0.46585" LPOGV="1" RPOGX="0.57328" RPOGY="0.38634" RPOGV="1" BPOGX="0.56124" BPOGY="0.42610" BPOGV="1" LPCX="0.33341" LPCY="0.83225" LPD="27.59949" LPS="1.19686" LPV="1" RPCX="0.59575" RPCY="0.82190" RPD="26.54214" RPS="1.18638" RPV="1" LEYEX="-0.04475" LEYEY="-0.07282" LEYEZ="0.70462" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02525" REYEY="-0.07026" REYEZ="0.70010" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55347" FPOGY="0.43996" FPOGS="7004.50635" FPOGD="0.17383" FPOGID="19402" FPOGV="1" LPOGX="0.54868" LPOGY="0.41934" LPOGV="1" RPOGX="0.60487" RPOGY="0.41278" RPOGV="1" BPOGX="0.57677" BPOGY="0.41606" BPOGV="1" LPCX="0.33365" LPCY="0.83236" LPD="27.52021" LPS="1.18638" LPV="1" RPCX="0.59597" RPCY="0.82208" RPD="26.67932" RPS="1.17591" RPV="1" LEYEX="-0.04475" LEYEY="-0.07282" LEYEZ="0.70462" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02525" REYEY="-0.07026" REYEZ="0.70010" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55432" FPOGY="0.43921" FPOGS="7004.50635" FPOGD="0.18115" FPOGID="19402" FPOGV="1" LPOGX="0.54980" LPOGY="0.42497" LPOGV="1" RPOGX="0.60487" RPOGY="0.41278" RPOGV="1" BPOGX="0.57734" BPOGY="0.41887" BPOGV="1" LPCX="0.33392" LPCY="0.83240" LPD="27.53673" LPS="1.17591" LPV="1" RPCX="0.59621" RPCY="0.82220" RPD="26.39536" RPS="1.17591" RPV="1" LEYEX="-0.04417" LEYEY="-0.07233" LEYEZ="0.69884" LPUPILD="0.00547" LPUPILV="1" REYEX="0.02637" REYEY="-0.07261" REYEZ="0.72360" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55450" FPOGY="0.43803" FPOGS="7004.50635" FPOGD="0.18750" FPOGID="19402" FPOGV="1" LPOGX="0.53522" LPOGY="0.43605" LPOGV="1" RPOGX="0.58351" RPOGY="0.37366" RPOGV="1" BPOGX="0.55936" BPOGY="0.40485" BPOGV="1" LPCX="0.33438" LPCY="0.83246" LPD="27.45943" LPS="1.17591" LPV="1" RPCX="0.59667" RPCY="0.82240" RPD="26.44419" RPS="1.18638" RPV="1" LEYEX="-0.04417" LEYEY="-0.07233" LEYEZ="0.69884" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02637" REYEY="-0.07261" REYEZ="0.72360" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55569" FPOGY="0.43763" FPOGS="7004.50635" FPOGD="0.19434" FPOGID="19402" FPOGV="1" LPOGX="0.57069" LPOGY="0.45565" LPOGV="1" RPOGX="0.61007" RPOGY="0.39651" RPOGV="1" BPOGX="0.59038" BPOGY="0.42608" BPOGV="1" LPCX="0.33466" LPCY="0.83249" LPD="27.52731" LPS="1.18638" LPV="1" RPCX="0.59693" RPCY="0.82256" RPD="26.57942" RPS="1.19686" RPV="1" LEYEX="-0.04417" LEYEY="-0.07233" LEYEZ="0.69884" LPUPILD="0.00544" LPUPILV="1" REYEX="0.02637" REYEY="-0.07261" REYEZ="0.72360" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55683" FPOGY="0.43689" FPOGS="7004.50635" FPOGD="0.20068" FPOGID="19402" FPOGV="1" LPOGX="0.56882" LPOGY="0.44509" LPOGV="1" RPOGX="0.61292" RPOGY="0.38467" RPOGV="1" BPOGX="0.59087" BPOGY="0.41488" BPOGV="1" LPCX="0.33481" LPCY="0.83254" LPD="27.45406" LPS="1.20710" LPV="1" RPCX="0.59715" RPCY="0.82255" RPD="26.46615" RPS="1.21758" RPV="1" LEYEX="-0.04648" LEYEY="-0.07655" LEYEZ="0.73963" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02672" REYEY="-0.07308" REYEZ="0.72715" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55744" FPOGY="0.43696" FPOGS="7004.50635" FPOGD="0.20752" FPOGID="19402" FPOGV="1" LPOGX="0.54583" LPOGY="0.44444" LPOGV="1" RPOGX="0.60680" RPOGY="0.43336" RPOGV="1" BPOGX="0.57631" BPOGY="0.43890" BPOGV="1" LPCX="0.33532" LPCY="0.83270" LPD="27.62107" LPS="1.22781" LPV="1" RPCX="0.59759" RPCY="0.82284" RPD="26.44302" RPS="1.22781" RPV="1" LEYEX="-0.04648" LEYEY="-0.07655" LEYEZ="0.73963" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02672" REYEY="-0.07308" REYEZ="0.72715" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55761" FPOGY="0.43505" FPOGS="7004.50635" FPOGD="0.21436" FPOGID="19402" FPOGV="1" LPOGX="0.49141" LPOGY="0.38415" LPOGV="1" RPOGX="0.63510" RPOGY="0.36387" RPOGV="1" BPOGX="0.56325" BPOGY="0.37401" BPOGV="1" LPCX="0.33558" LPCY="0.83278" LPD="27.66683" LPS="1.23805" LPV="1" RPCX="0.59785" RPCY="0.82299" RPD="26.57390" RPS="1.23805" RPV="1" LEYEX="-0.04648" LEYEY="-0.07655" LEYEZ="0.73963" LPUPILD="0.00546" LPUPILV="1" REYEX="0.02672" REYEY="-0.07308" REYEZ="0.72715" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55776" FPOGY="0.43334" FPOGS="7004.50635" FPOGD="0.22119" FPOGID="19402" FPOGV="1" LPOGX="0.49141" LPOGY="0.38415" LPOGV="1" RPOGX="0.63351" RPOGY="0.36992" RPOGV="1" BPOGX="0.56246" BPOGY="0.37703" BPOGV="1" LPCX="0.33573" LPCY="0.83275" LPD="27.54505" LPS="1.23805" LPV="1" RPCX="0.59799" RPCY="0.82305" RPD="26.64795" RPS="1.22758" RPV="1" LEYEX="-0.04387" LEYEY="-0.07280" LEYEZ="0.70237" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02632" REYEY="-0.07137" REYEZ="0.70905" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
