2025-05-27 12:14:07.977252
" REYEZ="0.72271" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54871" FPOGY="0.45825" FPOGS="7366.17432" FPOGD="0.96436" FPOGID="20616" FPOGV="1" LPOGX="0.53105" LPOGY="0.50021" LPOGV="1" RPOGX="0.60650" RPOGY="0.39165" RPOGV="1" BPOGX="0.56878" BPOGY="0.44593" BPOGV="1" LPCX="0.32110" LPCY="0.89436" LPD="28.04241" LPS="1.17192" LPV="1" RPCX="0.58482" RPCY="0.89811" RPD="27.42387" RPS="1.17192" RPV="1" LEYEX="-0.04643" LEYEY="-0.08346" LEYEZ="0.68189" LPUPILD="0.00556" LPUPILV="1" REYEX="0.02309" REYEY="-0.08933" REYEZ="0.72271" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55927" FPOGY="0.44453" FPOGS="7367.77539" FPOGD="0.28125" FPOGID="20619" FPOGV="1" LPOGX="0.50995" LPOGY="0.49028" LPOGV="1" RPOGX="0.60073" RPOGY="0.44095" RPOGV="1" BPOGX="0.55534" BPOGY="0.46561" BPOGV="1" LPCX="0.31470" LPCY="0.89378" LPD="28.75175" LPS="1.16585" LPV="1" RPCX="0.57814" RPCY="0.89544" RPD="27.72620" RPS="1.16585" RPV="1" LEYEX="-0.04911" LEYEY="-0.08508" LEYEZ="0.69596" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00562" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.55994" FPOGY="0.44549" FPOGS="7367.77539" FPOGD="0.28809" FPOGID="20619" FPOGV="1" LPOGX="0.58417" LPOGY="0.51538" LPOGV="1" RPOGX="0.59380" RPOGY="0.45826" RPOGV="1" BPOGX="0.58899" BPOGY="0.48682" BPOGV="1" LPCX="0.31465" LPCY="0.89393" LPD="28.74161" LPS="1.16585" LPV="1" RPCX="0.57805" RPCY="0.89555" RPD="27.78575" RPS="1.16585" RPV="1" LEYEX="-0.04911" LEYEY="-0.08508" LEYEZ="0.69596" LPUPILD="0.00565" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56061" FPOGY="0.44623" FPOGS="7367.77539" FPOGD="0.29492" FPOGID="20619" FPOGV="1" LPOGX="0.58335" LPOGY="0.51056" LPOGV="1" RPOGX="0.59647" RPOGY="0.44717" RPOGV="1" BPOGX="0.58991" BPOGY="0.47886" BPOGV="1" LPCX="0.31461" LPCY="0.89402" LPD="28.77122" LPS="1.17609" LPV="1" RPCX="0.57801" RPCY="0.89562" RPD="27.93783" RPS="1.18657" RPV="1" LEYEX="-0.05134" LEYEY="-0.08897" LEYEZ="0.72688" LPUPILD="0.00565" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56068" FPOGY="0.44562" FPOGS="7367.77539" FPOGD="0.30127" FPOGID="20619" FPOGV="1" LPOGX="0.55711" LPOGY="0.46737" LPOGV="1" RPOGX="0.57036" RPOGY="0.36882" RPOGV="1" BPOGX="0.56373" BPOGY="0.41810" BPOGV="1" LPCX="0.31439" LPCY="0.89427" LPD="28.41681" LPS="1.19681" LPV="1" RPCX="0.57790" RPCY="0.89565" RPD="27.97376" RPS="1.20728" RPV="1" LEYEX="-0.05134" LEYEY="-0.08897" LEYEZ="0.72688" LPUPILD="0.00564" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56049" FPOGY="0.44497" FPOGS="7367.77539" FPOGD="0.30811" FPOGID="20619" FPOGV="1" LPOGX="0.53859" LPOGY="0.41772" LPOGV="1" RPOGX="0.56562" RPOGY="0.41228" RPOGV="1" BPOGX="0.55211" BPOGY="0.41500" BPOGV="1" LPCX="0.31434" LPCY="0.89401" LPD="28.55779" LPS="1.21752" LPV="1" RPCX="0.57775" RPCY="0.89550" RPD="28.13614" RPS="1.22800" RPV="1" LEYEX="-0.05134" LEYEY="-0.08897" LEYEZ="0.72688" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00557" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56031" FPOGY="0.44429" FPOGS="7367.77539" FPOGD="0.31494" FPOGID="20619" FPOGV="1" LPOGX="0.53741" LPOGY="0.41223" LPOGV="1" RPOGX="0.56562" RPOGY="0.41228" RPOGV="1" BPOGX="0.55152" BPOGY="0.41226" BPOGV="1" LPCX="0.31423" LPCY="0.89399" LPD="28.68804" LPS="1.22800" LPV="1" RPCX="0.57765" RPCY="0.89542" RPD="27.66053" RPS="1.22800" RPV="1" LEYEX="-0.04954" LEYEY="-0.08547" LEYEZ="0.69912" LPUPILD="0.00565" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00562" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56025" FPOGY="0.44467" FPOGS="7367.77539" FPOGD="0.32178" FPOGID="20619" FPOGV="1" LPOGX="0.52880" LPOGY="0.47548" LPOGV="1" RPOGX="0.62100" RPOGY="0.38602" RPOGV="1" BPOGX="0.57490" BPOGY="0.43075" BPOGV="1" LPCX="0.31411" LPCY="0.89389" LPD="28.65321" LPS="1.21776" LPV="1" RPCX="0.57751" RPCY="0.89531" RPD="27.99350" RPS="1.20728" RPV="1" LEYEX="-0.04954" LEYEY="-0.08547" LEYEZ="0.69912" LPUPILD="0.00563" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56027" FPOGY="0.44576" FPOGS="7367.77539" FPOGD="0.32812" FPOGID="20619" FPOGV="1" LPOGX="0.52230" LPOGY="0.45240" LPOGV="1" RPOGX="0.61465" RPOGY="0.41164" RPOGV="1" BPOGX="0.56848" BPOGY="0.43202" BPOGV="1" LPCX="0.31403" LPCY="0.89413" LPD="28.46926" LPS="1.19704" LPV="1" RPCX="0.57752" RPCY="0.89537" RPD="27.94442" RPS="1.18657" RPV="1" LEYEX="-0.04954" LEYEY="-0.08547" LEYEZ="0.69912" LPUPILD="0.00568" LPUPILV="1" REYEX="0.02172" REYEY="-0.08616" REYEZ="0.69793" RPUPILD="0.00558" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
