2025-05-28 16:22:13.099809
REYEZ="0.70013" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.55295" FPOGY="1.33641" FPOGS="1077.04150" FPOGD="0.36206" FPOGID="3361" FPOGV="0" LPOGX="0.61113" LPOGY="1.14195" LPOGV="1" RPOGX="0.46244" RPOGY="1.17289" RPOGV="0" BPOGX="0.61113" BPOGY="1.14195" BPOGV="1" LPCX="0.32988" LPCY="0.70727" LPD="14.92555" LPS="1.16023" LPV="1" RPCX="0.59538" RPCY="0.70242" RPD="18.52896" RPS="1.16023" RPV="0" LEYEX="-0.04445" LEYEY="-0.04303" LEYEZ="0.67980" LPUPILD="0.00397" LPUPILV="1" REYEX="0.02525" REYEY="-0.04348" REYEZ="0.70013" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57299" FPOGY="0.42379" FPOGS="1078.35400" FPOGD="0.02710" FPOGID="3366" FPOGV="1" LPOGX="0.54716" LPOGY="0.44322" LPOGV="1" RPOGX="0.59568" RPOGY="0.43541" RPOGV="1" BPOGX="0.57142" BPOGY="0.43931" BPOGV="1" LPCX="0.33220" LPCY="0.69956" LPD="26.12292" LPS="1.16452" LPV="1" RPCX="0.60002" RPCY="0.69765" RPD="27.14940" RPS="1.16452" RPV="1" LEYEX="-0.04670" LEYEY="-0.04573" LEYEZ="0.72928" LPUPILD="0.00513" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.57201" FPOGY="0.42519" FPOGS="1078.35400" FPOGD="0.03381" FPOGID="3366" FPOGV="1" LPOGX="0.54449" LPOGY="0.43869" LPOGV="1" RPOGX="0.58968" RPOGY="0.42568" RPOGV="1" BPOGX="0.56709" BPOGY="0.43219" BPOGV="1" LPCX="0.33219" LPCY="0.69956" LPD="26.14992" LPS="1.16452" LPV="1" RPCX="0.59999" RPCY="0.69763" RPD="27.09515" RPS="1.16452" RPV="1" LEYEX="-0.04670" LEYEY="-0.04573" LEYEZ="0.72928" LPUPILD="0.00513" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.57129" FPOGY="0.42699" FPOGS="1078.35400" FPOGD="0.04102" FPOGID="3366" FPOGV="1" LPOGX="0.54565" LPOGY="0.44413" LPOGV="1" RPOGX="0.58840" RPOGY="0.43146" RPOGV="1" BPOGX="0.56702" BPOGY="0.43779" BPOGV="1" LPCX="0.33219" LPCY="0.69957" LPD="26.15809" LPS="1.15428" LPV="1" RPCX="0.59999" RPCY="0.69768" RPD="27.10100" RPS="1.15428" RPV="1" LEYEX="-0.04484" LEYEY="-0.04385" LEYEZ="0.69943" LPUPILD="0.00512" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.57475" FPOGY="0.42923" FPOGS="1078.35400" FPOGD="0.04688" FPOGID="3366" FPOGV="1" LPOGX="0.61244" LPOGY="0.44878" LPOGV="1" RPOGX="0.58541" RPOGY="0.44108" RPOGV="1" BPOGX="0.59892" BPOGY="0.44493" BPOGV="1" LPCX="0.33216" LPCY="0.69954" LPD="26.16714" LPS="1.14404" LPV="1" RPCX="0.59993" RPCY="0.69767" RPD="27.08722" RPS="1.14404" RPV="1" LEYEX="-0.04484" LEYEY="-0.04385" LEYEZ="0.69943" LPUPILD="0.00513" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.57729" FPOGY="0.43106" FPOGS="1078.35400" FPOGD="0.05334" FPOGID="3366" FPOGV="1" LPOGX="0.61522" LPOGY="0.45728" LPOGV="1" RPOGX="0.58000" RPOGY="0.43409" RPOGV="1" BPOGX="0.59761" BPOGY="0.44568" BPOGV="1" LPCX="0.33217" LPCY="0.69955" LPD="26.10696" LPS="1.13380" LPV="1" RPCX="0.59985" RPCY="0.69759" RPD="27.03261" RPS="1.13380" RPV="1" LEYEX="-0.04484" LEYEY="-0.04385" LEYEZ="0.69943" LPUPILD="0.00513" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.57926" FPOGY="0.43359" FPOGS="1078.35400" FPOGD="0.06067" FPOGID="3366" FPOGV="1" LPOGX="0.61630" LPOGY="0.46761" LPOGV="1" RPOGX="0.57768" RPOGY="0.44508" RPOGV="1" BPOGX="0.59699" BPOGY="0.45635" BPOGV="1" LPCX="0.33213" LPCY="0.69956" LPD="26.12387" LPS="1.11461" LPV="1" RPCX="0.59984" RPCY="0.69755" RPD="27.01847" RPS="1.11461" RPV="1" LEYEX="-0.04346" LEYEY="-0.04245" LEYEZ="0.67706" LPUPILD="0.00513" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.58002" FPOGY="0.43699" FPOGS="1078.35400" FPOGD="0.06702" FPOGID="3366" FPOGV="1" LPOGX="0.60633" LPOGY="0.48488" LPOGV="1" RPOGX="0.56902" RPOGY="0.45703" RPOGV="1" BPOGX="0.58768" BPOGY="0.47096" BPOGV="1" LPCX="0.33206" LPCY="0.69957" LPD="26.15361" LPS="1.10565" LPV="1" RPCX="0.59978" RPCY="0.69751" RPD="27.03716" RPS="1.10565" RPV="1" LEYEX="-0.04346" LEYEY="-0.04245" LEYEZ="0.67706" LPUPILD="0.00512" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.58012" FPOGY="0.43871" FPOGS="1078.35400" FPOGD="0.07458" FPOGID="3366" FPOGV="1" LPOGX="0.60038" LPOGY="0.46519" LPOGV="1" RPOGX="0.56193" RPOGY="0.45027" RPOGV="1" BPOGX="0.58115" BPOGY="0.45773" BPOGV="1" LPCX="0.33202" LPCY="0.69956" LPD="26.02071" LPS="1.09669" LPV="1" RPCX="0.59978" RPCY="0.69751" RPD="27.10553" RPS="1.09669" RPV="1" LEYEX="-0.04346" LEYEY="-0.04245" LEYEZ="0.67706" LPUPILD="0.00512" LPUPILV="1" REYEX="0.02572" REYEY="-0.04227" REYEZ="0.68072" RPUPILD="0.00529" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
