2025-05-28 16:22:50.744116
REYEZ="0.67915" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06699" FPOGY="0.55294" FPOGS="1114.90088" FPOGD="0.20117" FPOGID="3483" FPOGV="1" LPOGX="1.03098" LPOGY="0.51889" LPOGV="1" RPOGX="0.97945" RPOGY="0.51864" RPOGV="1" BPOGX="1.00522" BPOGY="0.51877" BPOGV="1" LPCX="0.41750" LPCY="0.68750" LPD="26.71084" LPS="1.05618" LPV="1" RPCX="0.67976" RPCY="0.70968" RPD="24.85461" RPS="1.05618" RPV="1" LEYEX="-0.02182" LEYEY="-0.03936" LEYEZ="0.66604" LPUPILD="0.00511" LPUPILV="1" REYEX="0.04542" REYEY="-0.04462" REYEZ="0.67915" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06510" FPOGY="0.55180" FPOGS="1114.90088" FPOGD="0.20776" FPOGID="3483" FPOGV="1" LPOGX="1.03350" LPOGY="0.51434" LPOGV="1" RPOGX="0.97936" RPOGY="0.51874" RPOGV="1" BPOGX="1.00643" BPOGY="0.51654" BPOGV="1" LPCX="0.41712" LPCY="0.68736" LPD="25.92397" LPS="1.06408" LPV="1" RPCX="0.67920" RPCY="0.70973" RPD="24.97761" RPS="1.05599" RPV="1" LEYEX="-0.02269" LEYEY="-0.03981" LEYEZ="0.67537" LPUPILD="0.00515" LPUPILV="1" REYEX="0.04360" REYEY="-0.04326" REYEZ="0.65850" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59326" FPOGY="0.87372" FPOGS="1115.87366" FPOGD="0.15271" FPOGID="3487" FPOGV="1" LPOGX="0.61006" LPOGY="0.87822" LPOGV="1" RPOGX="0.62291" RPOGY="0.87636" RPOGV="1" BPOGX="0.61649" BPOGY="0.87729" BPOGV="1" LPCX="0.38064" LPCY="0.69592" LPD="25.73528" LPS="1.16292" LPV="1" RPCX="0.64406" RPCY="0.70954" RPD="26.77140" RPS="1.18256" RPV="1" LEYEX="-0.03193" LEYEY="-0.04266" LEYEZ="0.70395" LPUPILD="0.00513" LPUPILV="1" REYEX="0.03996" REYEY="-0.04730" REYEZ="0.72996" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59414" FPOGY="0.87386" FPOGS="1115.87366" FPOGD="0.15942" FPOGID="3487" FPOGV="1" LPOGX="0.60942" LPOGY="0.87643" LPOGV="1" RPOGX="0.62152" RPOGY="0.87797" RPOGV="1" BPOGX="0.61547" BPOGY="0.87720" BPOGV="1" LPCX="0.38049" LPCY="0.69590" LPD="25.83181" LPS="1.17360" LPV="1" RPCX="0.64394" RPCY="0.70957" RPD="27.06868" RPS="1.17360" RPV="1" LEYEX="-0.03202" LEYEY="-0.04262" LEYEZ="0.70238" LPUPILD="0.00510" LPUPILV="1" REYEX="0.03684" REYEY="-0.04373" REYEZ="0.67487" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59345" FPOGY="0.87394" FPOGS="1115.87366" FPOGD="0.16626" FPOGID="3487" FPOGV="1" LPOGX="0.57408" LPOGY="0.87081" LPOGV="1" RPOGX="0.57817" RPOGY="0.88127" RPOGV="1" BPOGX="0.57612" BPOGY="0.87604" BPOGV="1" LPCX="0.38027" LPCY="0.69601" LPD="25.60954" LPS="1.16464" LPV="1" RPCX="0.64368" RPCY="0.70954" RPD="27.01938" RPS="1.14500" RPV="1" LEYEX="-0.03202" LEYEY="-0.04262" LEYEZ="0.70238" LPUPILD="0.00512" LPUPILV="1" REYEX="0.03684" REYEY="-0.04373" REYEZ="0.67487" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59310" FPOGY="0.87418" FPOGS="1115.87366" FPOGD="0.17285" FPOGID="3487" FPOGV="1" LPOGX="0.56691" LPOGY="0.86928" LPOGV="1" RPOGX="0.60095" RPOGY="0.89153" RPOGV="1" BPOGX="0.58393" BPOGY="0.88040" BPOGV="1" LPCX="0.38015" LPCY="0.69600" LPD="25.97502" LPS="1.13604" LPV="1" RPCX="0.64360" RPCY="0.70958" RPD="27.05141" RPS="1.11640" RPV="1" LEYEX="-0.03202" LEYEY="-0.04262" LEYEZ="0.70238" LPUPILD="0.00511" LPUPILV="1" REYEX="0.03684" REYEY="-0.04373" REYEZ="0.67487" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59278" FPOGY="0.87450" FPOGS="1115.87366" FPOGD="0.17957" FPOGID="3487" FPOGV="1" LPOGX="0.56887" LPOGY="0.87278" LPOGV="1" RPOGX="0.59943" RPOGY="0.89339" RPOGV="1" BPOGX="0.58415" BPOGY="0.88308" BPOGV="1" LPCX="0.37992" LPCY="0.69607" LPD="25.72058" LPS="1.11640" LPV="1" RPCX="0.64348" RPCY="0.70963" RPD="26.95565" RPS="1.10592" RPV="1" LEYEX="-0.03244" LEYEY="-0.04302" LEYEZ="0.70811" LPUPILD="0.00512" LPUPILV="1" REYEX="0.03802" REYEY="-0.04533" REYEZ="0.69946" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59343" FPOGY="0.87437" FPOGS="1115.87366" FPOGD="0.18628" FPOGID="3487" FPOGV="1" LPOGX="0.60564" LPOGY="0.85055" LPOGV="1" RPOGX="0.61765" RPOGY="0.89102" RPOGV="1" BPOGX="0.61164" BPOGY="0.87079" BPOGV="1" LPCX="0.37980" LPCY="0.69607" LPD="25.76221" LPS="1.11488" LPV="1" RPCX="0.64318" RPCY="0.70955" RPD="27.08313" RPS="1.12405" RPV="1" LEYEX="-0.03244" LEYEY="-0.04302" LEYEZ="0.70811" LPUPILD="0.00513" LPUPILV="1" REYEX="0.03802" REYEY="-0.04533" REYEZ="0.69946" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59366" FPOGY="0.87409" FPOGS="1115.87366" FPOGD="0.19287" FPOGID="3487" FPOGV="1" LPOGX="0.59238" LPOGY="0.83625" LPOGV="1" RPOGX="0.60852" RPOGY="0.89579" RPOGV="1" BPOGX="0.60045" BPOGY="0.86602" BPOGV="1" LPCX="0.37961" LPCY="0.69600" LPD="25.65754" LPS="1.13301" LPV="1" RPCX="0.64313" RPCY="0.70961" RPD="27.08391" RPS="1.14217" RPV="1" LEYEX="-0.03244" LEYEY="-0.04302" LEYEZ="0.70811" LPUPILD="0.00515" LPUPILV="1" REYEX="0.03802" REYEY="-0.04533" REYEZ="0.69946" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59389" FPOGY="0.87377" FPOGS="1115.87366" FPOGD="0.19885" FPOGID="3487" FPOGV="1" LPOGX="0.59167" LPOGY="0.83434" LPOGV="1" RPOGX="0.60988" RPOGY="0.89424" RPOGV="1" BPOGX="0.60078" BPOGY="0.86429" BPOGV="1" LPCX="0.37948" LPCY="0.69609" LPD="25.71815" LPS="1.14217" LPV="1" RPCX="0.64306" RPCY="0.70960" RPD="27.03844" RPS="1.15134" RPV="1" LEYEX="-0.03119" LEYEY="-0.04129" LEYEZ="0.67964" LPUPILD="0.00510" LPUPILV="1" REYEX="0.03786" REYEY="-0.04525" REYEZ="0.69828" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59357" FPOGY="0.87290" FPOGS="1115.87366" FPOGD="0.20593" FPOGID="3487" FPOGV="1" LPOGX="0.56678" LPOGY="0.82276" LPOGV="1" RPOGX="0.60018" RPOGY="0.86909" RPOGV="1" BPOGX="0.58348" BPOGY="0.84592" BPOGV="1" LPCX="0.37932" LPCY="0.69614" LPD="25.75995" LPS="1.14238" LPV="1" RPCX="0.64278" RPCY="0.70959" RPD="27.13964" RPS="1.14238" RPV="1" LEYEX="-0.03119" LEYEY="-0.04129" LEYEZ="0.67964" LPUPILD="0.00515" LPUPILV="1" REYEX="0.03786" REYEY="-0.04525" REYEZ="0.69828" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59261" FPOGY="0.87264" FPOGS="1115.87366" FPOGD="0.21350" FPOGID="3487" FPOGV="1" LPOGX="0.53817" LPOGY="0.84619" LPOGV="1" RPOGX="0.58611" RPOGY="0.88190" RPOGV="1" BPOGX="0.56214" BPOGY="0.86404" BPOGV="1" LPCX="0.37919" LPCY="0.69611" LPD="25.72233" LPS="1.13342" LPV="1" RPCX="0.64263" RPCY="0.70954" RPD="27.01449" RPS="1.13342" RPV="1" LEYEX="-0.03119" LEYEY="-0.04129" LEYEZ="0.67964" LPUPILD="0.00509" LPUPILV="1" REYEX="0.03786" REYEY="-0.04525" REYEZ="0.69828" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59170" FPOGY="0.87246" FPOGS="1115.87366" FPOGD="0.22058" FPOGID="3487" FPOGV="1" LPOGX="0.53928" LPOGY="0.84795" LPOGV="1" RPOGX="0.58375" RPOGY="0.88522" RPOGV="1" BPOGX="0.56152" BPOGY="0.86659" BPOGV="1" LPCX="0.37900" LPCY="0.69622" LPD="25.75518" LPS="1.12446" LPV="1" RPCX="0.64254" RPCY="0.70953" RPD="26.90572" RPS="1.11530" RPV="1" LEYEX="-0.03127" LEYEY="-0.04113" LEYEZ="0.67702" LPUPILD="0.00510" LPUPILV="1" REYEX="0.03640" REYEY="-0.04370" REYEZ="0.67433" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59179" FPOGY="0.87240" FPOGS="1115.87366" FPOGD="0.22644" FPOGID="3487" FPOGV="1" LPOGX="0.59314" LPOGY="0.86711" LPOGV="1" RPOGX="0.59631" RPOGY="0.87363" RPOGV="1" BPOGX="0.59473" BPOGY="0.87037" BPOGV="1" LPCX="0.37874" LPCY="0.69625" LPD="25.61814" LPS="1.11530" LPV="1" RPCX="0.64230" RPCY="0.70958" RPD="27.11471" RPS="1.10613" RPV="1" LEYEX="-0.03127" LEYEY="-0.04113" LEYEZ="0.67702" LPUPILD="0.00512" LPUPILV="1" REYEX="0.03640" REYEY="-0.04370" REYEZ="0.67433" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.59168" FPOGY="0.87267" FPOGS="1115.87366" FPOGD="0.23315" FPOGID="3487" FPOGV="1" LPOGX="0.56956" LPOGY="0.87170" LPOGV="1" RPOGX="0.60664" RPOGY="0.89239" RPOGV="1" BPOGX="0.58810" BPOGY="0.88204" BPOGV="1" LPCX="0.37858" LPCY="0.69632" LPD="25.69413" LPS="1.10613" LPV="1" RPCX="0.64207" RPCY="0.70955" RPD="26.95758" RPS="1.09696" RPV="1" LEYEX="-0.03127" LEYEY="-0.04113" LEYEZ="0.67702" LPUPILD="0.00513" LPUPILV="1" REYEX="0.03640" REYEY="-0.04370" REYEZ="0.67433" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
