2025-05-26 12:14:05.740831
8" REYEZ="0.64044" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.30442" FPOGY="0.47622" FPOGS="6873.18555" FPOGD="0.37402" FPOGID="14819" FPOGV="1" LPOGX="0.38486" LPOGY="0.47180" LPOGV="1" RPOGX="0.22631" RPOGY="0.48607" RPOGV="1" BPOGX="0.30558" BPOGY="0.47894" BPOGV="1" LPCX="0.27373" LPCY="0.60555" LPD="32.31998" LPS="0.97684" LPV="1" RPCX="0.55009" RPCY="0.63457" RPD="29.85524" RPS="0.96965" RPV="1" LEYEX="-0.05370" LEYEY="-0.02133" LEYEZ="0.62933" LPUPILD="0.00615" LPUPILV="1" REYEX="0.01302" REYEY="-0.02754" REYEZ="0.64298" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54951" FPOGY="0.39024" FPOGS="6876.38623" FPOGD="0.09424" FPOGID="14826" FPOGV="1" LPOGX="0.59781" LPOGY="0.38481" LPOGV="1" RPOGX="0.49014" RPOGY="0.40076" RPOGV="1" BPOGX="0.54398" BPOGY="0.39279" BPOGV="1" LPCX="0.27048" LPCY="0.60056" LPD="33.49654" LPS="0.96965" LPV="1" RPCX="0.54711" RPCY="0.62775" RPD="30.25035" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00638" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00570" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54930" FPOGY="0.39036" FPOGS="6876.38623" FPOGD="0.10107" FPOGID="14826" FPOGV="1" LPOGX="0.60098" LPOGY="0.38646" LPOGV="1" RPOGX="0.49137" RPOGY="0.39793" RPOGV="1" BPOGX="0.54617" BPOGY="0.39220" BPOGV="1" LPCX="0.27048" LPCY="0.60057" LPD="33.45980" LPS="0.96965" LPV="1" RPCX="0.54707" RPCY="0.62776" RPD="30.29340" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00639" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54912" FPOGY="0.39047" FPOGS="6876.38623" FPOGD="0.10742" FPOGID="14826" FPOGV="1" LPOGX="0.60098" LPOGY="0.38646" LPOGV="1" RPOGX="0.49137" RPOGY="0.39793" RPOGV="1" BPOGX="0.54617" BPOGY="0.39220" BPOGV="1" LPCX="0.27050" LPCY="0.60060" LPD="33.43724" LPS="0.96965" LPV="1" RPCX="0.54705" RPCY="0.62773" RPD="30.25083" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00640" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54897" FPOGY="0.39051" FPOGS="6876.38623" FPOGD="0.11426" FPOGID="14826" FPOGV="1" LPOGX="0.59842" LPOGY="0.39286" LPOGV="1" RPOGX="0.49457" RPOGY="0.38947" RPOGV="1" BPOGX="0.54649" BPOGY="0.39116" BPOGV="1" LPCX="0.27052" LPCY="0.60064" LPD="33.45041" LPS="0.96965" LPV="1" RPCX="0.54715" RPCY="0.62769" RPD="30.24672" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00641" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54891" FPOGY="0.39079" FPOGS="6876.38623" FPOGD="0.12109" FPOGID="14826" FPOGV="1" LPOGX="0.59702" LPOGY="0.39775" LPOGV="1" RPOGX="0.49880" RPOGY="0.39393" RPOGV="1" BPOGX="0.54791" BPOGY="0.39584" BPOGV="1" LPCX="0.27052" LPCY="0.60065" LPD="33.48684" LPS="0.96965" LPV="1" RPCX="0.54718" RPCY="0.62768" RPD="30.15011" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00641" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54886" FPOGY="0.39104" FPOGS="6876.38623" FPOGD="0.12891" FPOGID="14826" FPOGV="1" LPOGX="0.59702" LPOGY="0.39775" LPOGV="1" RPOGX="0.49880" RPOGY="0.39393" RPOGV="1" BPOGX="0.54791" BPOGY="0.39584" BPOGV="1" LPCX="0.27052" LPCY="0.60065" LPD="33.48684" LPS="0.96965" LPV="1" RPCX="0.54720" RPCY="0.62769" RPD="30.23835" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00641" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54840" FPOGY="0.39127" FPOGS="6876.38623" FPOGD="0.13428" FPOGID="14826" FPOGV="1" LPOGX="0.57693" LPOGY="0.40096" LPOGV="1" RPOGX="0.50129" RPOGY="0.39077" RPOGV="1" BPOGX="0.53911" BPOGY="0.39586" BPOGV="1" LPCX="0.27057" LPCY="0.60068" LPD="33.57437" LPS="0.96965" LPV="1" RPCX="0.54724" RPCY="0.62768" RPD="30.29374" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00644" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00574" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54821" FPOGY="0.39150" FPOGS="6876.38623" FPOGD="0.14062" FPOGID="14826" FPOGV="1" LPOGX="0.58369" LPOGY="0.39331" LPOGV="1" RPOGX="0.50458" RPOGY="0.39919" RPOGV="1" BPOGX="0.54413" BPOGY="0.39625" BPOGV="1" LPCX="0.27067" LPCY="0.60071" LPD="33.57100" LPS="0.96965" LPV="1" RPCX="0.54726" RPCY="0.62769" RPD="30.29299" RPS="0.96965" RPV="1" LEYEX="-0.05663" LEYEY="-0.02111" LEYEZ="0.64559" LPUPILD="0.00643" LPUPILV="1" REYEX="0.01145" REYEY="-0.02618" REYEZ="0.64167" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
