2025-05-27 16:09:33.243031
EYEZ="0.64724" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54621" FPOGY="0.44005" FPOGS="9082.76855" FPOGD="0.89062" FPOGID="19734" FPOGV="1" LPOGX="0.64929" LPOGY="0.44410" LPOGV="1" RPOGX="0.46228" RPOGY="0.44313" RPOGV="1" BPOGX="0.55578" BPOGY="0.44361" BPOGV="1" LPCX="0.37074" LPCY="0.28169" LPD="24.11520" LPS="1.05055" LPV="1" RPCX="0.64072" RPCY="0.28266" RPD="23.50111" RPS="1.05055" RPV="1" LEYEX="-0.03401" LEYEY="0.04505" LEYEZ="0.68730" LPUPILD="0.00470" LPUPILV="1" REYEX="0.03489" REYEY="0.04228" REYEZ="0.64724" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54654" FPOGY="0.44019" FPOGS="9082.76855" FPOGD="0.89746" FPOGID="19734" FPOGV="1" LPOGX="0.64929" LPOGY="0.44410" LPOGV="1" RPOGX="0.46247" RPOGY="0.43814" RPOGV="1" BPOGX="0.55588" BPOGY="0.44112" BPOGV="1" LPCX="0.37080" LPCY="0.28162" LPD="24.19709" LPS="1.05055" LPV="1" RPCX="0.64078" RPCY="0.28265" RPD="23.31076" RPS="1.05864" RPV="1" LEYEX="-0.03260" LEYEY="0.04325" LEYEZ="0.65975" LPUPILD="0.00473" LPUPILV="1" REYEX="0.03706" REYEY="0.04484" REYEZ="0.68642" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56113" FPOGY="0.41824" FPOGS="9084.53027" FPOGD="0.04590" FPOGID="19735" FPOGV="1" LPOGX="0.62623" LPOGY="0.41374" LPOGV="1" RPOGX="0.50298" RPOGY="0.39977" RPOGV="1" BPOGX="0.56460" BPOGY="0.40675" BPOGV="1" LPCX="0.37870" LPCY="0.28014" LPD="25.03501" LPS="1.09080" LPV="1" RPCX="0.64829" RPCY="0.28210" RPD="23.96294" RPS="1.09080" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00491" LPUPILV="1" REYEX="0.03838" REYEY="0.04417" REYEZ="0.67534" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55933" FPOGY="0.41740" FPOGS="9084.53027" FPOGD="0.05273" FPOGID="19735" FPOGV="1" LPOGX="0.62448" LPOGY="0.41545" LPOGV="1" RPOGX="0.46542" RPOGY="0.40586" RPOGV="1" BPOGX="0.54495" BPOGY="0.41065" BPOGV="1" LPCX="0.37875" LPCY="0.28012" LPD="25.20054" LPS="1.09080" LPV="1" RPCX="0.64827" RPCY="0.28216" RPD="24.00163" RPS="1.09080" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00487" LPUPILV="1" REYEX="0.03838" REYEY="0.04417" REYEZ="0.67534" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55788" FPOGY="0.41698" FPOGS="9084.53027" FPOGD="0.05957" FPOGID="19735" FPOGV="1" LPOGX="0.62448" LPOGY="0.41545" LPOGV="1" RPOGX="0.46521" RPOGY="0.41094" RPOGV="1" BPOGX="0.54485" BPOGY="0.41319" BPOGV="1" LPCX="0.37879" LPCY="0.28011" LPD="25.14412" LPS="1.09080" LPV="1" RPCX="0.64828" RPCY="0.28216" RPD="23.83006" RPS="1.08272" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00488" LPUPILV="1" REYEX="0.03741" REYEY="0.04300" REYEZ="0.65742" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55632" FPOGY="0.41609" FPOGS="9084.53027" FPOGD="0.06641" FPOGID="19735" FPOGV="1" LPOGX="0.63843" LPOGY="0.40097" LPOGV="1" RPOGX="0.44312" RPOGY="0.41333" RPOGV="1" BPOGX="0.54077" BPOGY="0.40715" BPOGV="1" LPCX="0.37879" LPCY="0.28010" LPD="25.20506" LPS="1.08272" LPV="1" RPCX="0.64837" RPCY="0.28218" RPD="23.97775" RPS="1.07463" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00490" LPUPILV="1" REYEX="0.03741" REYEY="0.04300" REYEZ="0.65742" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55362" FPOGY="0.41543" FPOGS="9084.53027" FPOGD="0.07324" FPOGID="19735" FPOGV="1" LPOGX="0.60794" LPOGY="0.39615" LPOGV="1" RPOGX="0.43972" RPOGY="0.42021" RPOGV="1" BPOGX="0.52383" BPOGY="0.40818" BPOGV="1" LPCX="0.37887" LPCY="0.27998" LPD="25.20509" LPS="1.07463" LPV="1" RPCX="0.64838" RPCY="0.28215" RPD="23.99889" RPS="1.06654" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00493" LPUPILV="1" REYEX="0.03741" REYEY="0.04300" REYEZ="0.65742" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55135" FPOGY="0.41506" FPOGS="9084.53027" FPOGD="0.08008" FPOGID="19735" FPOGV="1" LPOGX="0.60847" LPOGY="0.40118" LPOGV="1" RPOGX="0.43972" RPOGY="0.42021" RPOGV="1" BPOGX="0.52409" BPOGY="0.41070" BPOGV="1" LPCX="0.37893" LPCY="0.27991" LPD="25.09578" LPS="1.06654" LPV="1" RPCX="0.64839" RPCY="0.28218" RPD="23.95333" RPS="1.06654" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00494" LPUPILV="1" REYEX="0.03869" REYEY="0.04440" REYEZ="0.67894" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55017" FPOGY="0.41501" FPOGS="9084.53027" FPOGD="0.08691" FPOGID="19735" FPOGV="1" LPOGX="0.61846" LPOGY="0.40972" LPOGV="1" RPOGX="0.45131" RPOGY="0.41888" RPOGV="1" BPOGX="0.53489" BPOGY="0.41430" BPOGV="1" LPCX="0.37891" LPCY="0.27986" LPD="25.29452" LPS="1.06654" LPV="1" RPCX="0.64852" RPCY="0.28216" RPD="24.17464" RPS="1.07463" RPV="1" LEYEX="-0.03135" LEYEY="0.04465" LEYEZ="0.67654" LPUPILD="0.00492" LPUPILV="1" REYEX="0.03869" REYEY="0.04440" REYEZ="0.67894" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
