2025-05-29 13:02:39.608721
EYEZ="0.65368" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.55014" FPOGY="0.44537" FPOGS="496.49695" FPOGD="0.09204" FPOGID="1510" FPOGV="1" LPOGX="0.64902" LPOGY="0.42267" LPOGV="1" RPOGX="0.48667" RPOGY="0.49685" RPOGV="1" BPOGX="0.56784" BPOGY="0.45976" BPOGV="1" LPCX="0.47076" LPCY="0.55008" LPD="29.48797" LPS="1.07154" LPV="1" RPCX="0.73952" RPCY="0.55467" RPD="29.58165" RPS="1.06345" RPV="1" LEYEX="-0.00745" LEYEY="-0.01137" LEYEZ="0.67107" LPUPILD="0.00572" LPUPILV="1" REYEX="0.05994" REYEY="-0.01191" REYEZ="0.65368" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54951" FPOGY="0.45968" FPOGS="497.26559" FPOGD="0.24118" FPOGID="1512" FPOGV="1" LPOGX="0.58901" LPOGY="0.45309" LPOGV="1" RPOGX="0.49601" RPOGY="0.46101" RPOGV="1" BPOGX="0.54251" BPOGY="0.45705" BPOGV="1" LPCX="0.46697" LPCY="0.54919" LPD="31.17372" LPS="1.03183" LPV="1" RPCX="0.73576" RPCY="0.55232" RPD="31.05041" RPS="1.03992" RPV="1" LEYEX="-0.00815" LEYEY="-0.01097" LEYEZ="0.65911" LPUPILD="0.00606" LPUPILV="1" REYEX="0.06005" REYEY="-0.01165" REYEZ="0.66408" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54902" FPOGY="0.45937" FPOGS="497.26559" FPOGD="0.24780" FPOGID="1512" FPOGV="1" LPOGX="0.57472" LPOGY="0.44431" LPOGV="1" RPOGX="0.48698" RPOGY="0.45196" RPOGV="1" BPOGX="0.53085" BPOGY="0.44813" BPOGV="1" LPCX="0.46675" LPCY="0.54917" LPD="30.95587" LPS="1.03992" LPV="1" RPCX="0.73570" RPCY="0.55236" RPD="30.99531" RPS="1.04801" RPV="1" LEYEX="-0.00815" LEYEY="-0.01097" LEYEZ="0.65911" LPUPILD="0.00608" LPUPILV="1" REYEX="0.06005" REYEY="-0.01165" REYEZ="0.66408" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54853" FPOGY="0.45890" FPOGS="497.26559" FPOGD="0.25433" FPOGID="1512" FPOGV="1" LPOGX="0.57314" LPOGY="0.43483" LPOGV="1" RPOGX="0.48734" RPOGY="0.44715" RPOGV="1" BPOGX="0.53024" BPOGY="0.44099" BPOGV="1" LPCX="0.46673" LPCY="0.54917" LPD="30.96551" LPS="1.05591" LPV="1" RPCX="0.73562" RPCY="0.55234" RPD="30.97524" RPS="1.05591" RPV="1" LEYEX="-0.00858" LEYEY="-0.01148" LEYEZ="0.68925" LPUPILD="0.00608" LPUPILV="1" REYEX="0.05936" REYEY="-0.01155" REYEZ="0.65809" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54897" FPOGY="0.45855" FPOGS="497.26559" FPOGD="0.26135" FPOGID="1512" FPOGV="1" LPOGX="0.62989" LPOGY="0.43881" LPOGV="1" RPOGX="0.50160" RPOGY="0.45106" RPOGV="1" BPOGX="0.56575" BPOGY="0.44494" BPOGV="1" LPCX="0.46662" LPCY="0.54921" LPD="30.96121" LPS="1.06382" LPV="1" RPCX="0.73544" RPCY="0.55237" RPD="30.79083" RPS="1.05573" RPV="1" LEYEX="-0.00858" LEYEY="-0.01148" LEYEZ="0.68925" LPUPILD="0.00609" LPUPILV="1" REYEX="0.05936" REYEY="-0.01155" REYEZ="0.65809" RPUPILD="0.00619" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54925" FPOGY="0.45814" FPOGS="497.26559" FPOGD="0.26788" FPOGID="1512" FPOGV="1" LPOGX="0.62374" LPOGY="0.43558" LPOGV="1" RPOGX="0.49758" RPOGY="0.44796" RPOGV="1" BPOGX="0.56066" BPOGY="0.44177" BPOGV="1" LPCX="0.46655" LPCY="0.54924" LPD="31.00856" LPS="1.06363" LPV="1" RPCX="0.73536" RPCY="0.55227" RPD="30.83111" RPS="1.05555" RPV="1" LEYEX="-0.00858" LEYEY="-0.01148" LEYEZ="0.68925" LPUPILD="0.00604" LPUPILV="1" REYEX="0.05936" REYEY="-0.01155" REYEZ="0.65809" RPUPILD="0.00622" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54953" FPOGY="0.45770" FPOGS="497.26559" FPOGD="0.27451" FPOGID="1512" FPOGV="1" LPOGX="0.62375" LPOGY="0.43569" LPOGV="1" RPOGX="0.49801" RPOGY="0.44316" RPOGV="1" BPOGX="0.56088" BPOGY="0.43943" BPOGV="1" LPCX="0.46651" LPCY="0.54926" LPD="31.01505" LPS="1.06345" LPV="1" RPCX="0.73534" RPCY="0.55225" RPD="30.81768" RPS="1.06345" RPV="1" LEYEX="-0.00856" LEYEY="-0.01131" LEYEZ="0.67919" LPUPILD="0.00602" LPUPILV="1" REYEX="0.06132" REYEY="-0.01194" REYEZ="0.68039" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54947" FPOGY="0.45715" FPOGS="497.26559" FPOGD="0.28107" FPOGID="1512" FPOGV="1" LPOGX="0.60722" LPOGY="0.44145" LPOGV="1" RPOGX="0.48659" RPOGY="0.42673" RPOGV="1" BPOGX="0.54690" BPOGY="0.43409" BPOGV="1" LPCX="0.46638" LPCY="0.54924" LPD="30.88314" LPS="1.06345" LPV="1" RPCX="0.73523" RPCY="0.55221" RPD="30.85104" RPS="1.07154" RPV="1" LEYEX="-0.00856" LEYEY="-0.01131" LEYEZ="0.67919" LPUPILD="0.00606" LPUPILV="1" REYEX="0.06132" REYEY="-0.01194" REYEZ="0.68039" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.54928" FPOGY="0.45643" FPOGS="497.26559" FPOGD="0.28812" FPOGID="1512" FPOGV="1" LPOGX="0.60082" LPOGY="0.43187" LPOGV="1" RPOGX="0.48175" RPOGY="0.41951" RPOGV="1" BPOGX="0.54129" BPOGY="0.42569" BPOGV="1" LPCX="0.46632" LPCY="0.54924" LPD="30.80335" LPS="1.07154" LPV="1" RPCX="0.73520" RPCY="0.55220" RPD="30.85035" RPS="1.07963" RPV="1" LEYEX="-0.00856" LEYEY="-0.01131" LEYEZ="0.67919" LPUPILD="0.00610" LPUPILV="1" REYEX="0.06132" REYEY="-0.01194" REYEZ="0.68039" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
