2025-05-27 11:22:27.369138
EYEZ="0.49697" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60724" FPOGY="0.32455" FPOGS="4266.41016" FPOGD="0.12695" FPOGID="11839" FPOGV="1" LPOGX="0.60760" LPOGY="0.32859" LPOGV="1" RPOGX="0.60515" RPOGY="0.29160" RPOGV="1" BPOGX="0.60638" BPOGY="0.31010" BPOGV="1" LPCX="0.20057" LPCY="0.39176" LPD="28.48181" LPS="0.55808" LPV="1" RPCX="0.51700" RPCY="0.43487" RPD="28.41627" RPS="0.55586" RPV="1" LEYEX="-0.19594" LEYEY="0.05146" LEYEZ="1.74573" LPUPILD="0.00499" LPUPILV="0" REYEX="0.00082" REYEY="0.01103" REYEZ="0.49697" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.62038" FPOGY="0.29602" FPOGS="4267.01953" FPOGD="0.43506" FPOGID="11840" FPOGV="1" LPOGX="0.66008" LPOGY="0.32419" LPOGV="1" RPOGX="0.61951" RPOGY="0.31807" RPOGV="1" BPOGX="0.63979" BPOGY="0.32113" BPOGV="1" LPCX="0.18539" LPCY="0.36831" LPD="28.95625" LPS="0.56401" LPV="1" RPCX="0.50683" RPCY="0.38943" RPD="29.89114" RPS="0.55912" RPV="1" LEYEX="-0.05867" LEYEY="0.01795" LEYEZ="0.48651" LPUPILD="0.00506" LPUPILV="1" REYEX="0.00047" REYEY="0.01472" REYEZ="0.48218" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62086" FPOGY="0.29632" FPOGS="4267.01953" FPOGD="0.44141" FPOGID="11840" FPOGV="1" LPOGX="0.65705" LPOGY="0.33031" LPOGV="1" RPOGX="0.62540" RPOGY="0.29372" RPOGV="1" BPOGX="0.64122" BPOGY="0.31202" BPOGV="1" LPCX="0.18491" LPCY="0.36816" LPD="28.65363" LPS="0.56332" LPV="1" RPCX="0.50614" RPCY="0.38899" RPD="28.77138" RPS="0.56096" RPV="1" LEYEX="-0.05867" LEYEY="0.01795" LEYEZ="0.48651" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00047" REYEY="0.01472" REYEZ="0.48218" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62123" FPOGY="0.29667" FPOGS="4267.01953" FPOGD="0.44873" FPOGID="11840" FPOGV="1" LPOGX="0.63487" LPOGY="0.32063" LPOGV="1" RPOGX="0.62751" RPOGY="0.29450" RPOGV="1" BPOGX="0.63119" BPOGY="0.30757" BPOGV="1" LPCX="0.18462" LPCY="0.36816" LPD="29.29772" LPS="0.56516" LPV="1" RPCX="0.50593" RPCY="0.38884" RPD="28.63686" RPS="0.56279" RPV="1" LEYEX="-0.05867" LEYEY="0.01795" LEYEZ="0.48651" LPUPILD="0.00502" LPUPILV="1" REYEX="0.00047" REYEY="0.01472" REYEZ="0.48218" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62161" FPOGY="0.29694" FPOGS="4267.01953" FPOGD="0.45508" FPOGID="11840" FPOGV="1" LPOGX="0.63490" LPOGY="0.32107" LPOGV="1" RPOGX="0.62816" RPOGY="0.29166" RPOGV="1" BPOGX="0.63153" BPOGY="0.30637" BPOGV="1" LPCX="0.18400" LPCY="0.36827" LPD="29.27922" LPS="0.56483" LPV="1" RPCX="0.50566" RPCY="0.38923" RPD="30.08236" RPS="0.56483" RPV="1" LEYEX="-0.05774" LEYEY="0.01759" LEYEZ="0.47672" LPUPILD="0.00503" LPUPILV="1" REYEX="0.00030" REYEY="0.01519" REYEZ="0.49651" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62212" FPOGY="0.29703" FPOGS="4267.01953" FPOGD="0.46191" FPOGID="11840" FPOGV="1" LPOGX="0.64626" LPOGY="0.32735" LPOGV="1" RPOGX="0.63118" RPOGY="0.27247" RPOGV="1" BPOGX="0.63872" BPOGY="0.29991" BPOGV="1" LPCX="0.18342" LPCY="0.36827" LPD="29.05852" LPS="0.56266" LPV="1" RPCX="0.50506" RPCY="0.38861" RPD="28.93139" RPS="0.56503" RPV="1" LEYEX="-0.05774" LEYEY="0.01759" LEYEZ="0.47672" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00030" REYEY="0.01519" REYEZ="0.49651" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62261" FPOGY="0.29702" FPOGS="4267.01953" FPOGD="0.46826" FPOGID="11840" FPOGV="1" LPOGX="0.63889" LPOGY="0.32231" LPOGV="1" RPOGX="0.62521" RPOGY="0.26310" RPOGV="1" BPOGX="0.63205" BPOGY="0.29270" BPOGV="1" LPCX="0.18317" LPCY="0.36824" LPD="29.26349" LPS="0.56286" LPV="1" RPCX="0.50484" RPCY="0.38863" RPD="29.36160" RPS="0.56523" RPV="1" LEYEX="-0.05774" LEYEY="0.01759" LEYEZ="0.47672" LPUPILD="0.00504" LPUPILV="1" REYEX="0.00030" REYEY="0.01519" REYEZ="0.49651" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62310" FPOGY="0.29704" FPOGS="4267.01953" FPOGD="0.47510" FPOGID="11840" FPOGV="1" LPOGX="0.63887" LPOGY="0.32205" LPOGV="1" RPOGX="0.62453" RPOGY="0.26622" RPOGV="1" BPOGX="0.63170" BPOGY="0.29413" BPOGV="1" LPCX="0.18259" LPCY="0.36825" LPD="29.10230" LPS="0.56306" LPV="1" RPCX="0.50444" RPCY="0.38902" RPD="30.12230" RPS="0.56306" RPV="1" LEYEX="-0.05819" LEYEY="0.01764" LEYEZ="0.47809" LPUPILD="0.00505" LPUPILV="1" REYEX="0.00004" REYEY="0.01499" REYEZ="0.48876" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62356" FPOGY="0.29789" FPOGS="4267.01953" FPOGD="0.48145" FPOGID="11840" FPOGV="1" LPOGX="0.64992" LPOGY="0.32541" LPOGV="1" RPOGX="0.62444" RPOGY="0.32902" RPOGV="1" BPOGX="0.63718" BPOGY="0.32722" BPOGV="1" LPCX="0.18199" LPCY="0.36815" LPD="29.22063" LPS="0.56306" LPV="1" RPCX="0.50391" RPCY="0.38831" RPD="29.11975" RPS="0.56069" RPV="1" LEYEX="-0.05819" LEYEY="0.01764" LEYEZ="0.47809" LPUPILD="0.00503" LPUPILV="1" REYEX="0.00004" REYEY="0.01499" REYEZ="0.48876" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
