2025-05-27 11:21:30.904490
EYEZ="0.49656" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.82767" FPOGY="0.28687" FPOGS="4209.84863" FPOGD="0.22754" FPOGID="11605" FPOGV="1" LPOGX="0.86970" LPOGY="0.33741" LPOGV="1" RPOGX="0.82806" RPOGY="0.24243" RPOGV="1" BPOGX="0.84888" BPOGY="0.28992" BPOGV="1" LPCX="0.23952" LPCY="0.37798" LPD="28.07364" LPS="0.56459" LPV="1" RPCX="0.55219" RPCY="0.41798" RPD="28.85777" RPS="0.56459" RPV="1" LEYEX="-0.04943" LEYEY="0.01651" LEYEZ="0.48600" LPUPILD="0.00506" LPUPILV="1" REYEX="0.00830" REYEY="0.01080" REYEZ="0.49656" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60053" FPOGY="0.27348" FPOGS="4210.87988" FPOGD="0.10693" FPOGID="11606" FPOGV="1" LPOGX="0.62080" LPOGY="0.31605" LPOGV="1" RPOGX="0.59814" RPOGY="0.23587" RPOGV="1" BPOGX="0.60947" BPOGY="0.27596" BPOGV="1" LPCX="0.17207" LPCY="0.37739" LPD="28.51594" LPS="0.58687" LPV="1" RPCX="0.48498" RPCY="0.39950" RPD="29.56759" RPS="0.58687" RPV="1" LEYEX="-0.06121" LEYEY="0.01662" LEYEZ="0.48698" LPUPILD="0.00501" LPUPILV="1" REYEX="-0.00370" REYEY="0.01408" REYEZ="0.51431" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60072" FPOGY="0.27413" FPOGS="4210.87988" FPOGD="0.11377" FPOGID="11606" FPOGV="1" LPOGX="0.61126" LPOGY="0.31632" LPOGV="1" RPOGX="0.59669" RPOGY="0.25406" RPOGV="1" BPOGX="0.60398" BPOGY="0.28519" BPOGV="1" LPCX="0.17077" LPCY="0.37757" LPD="27.66352" LPS="0.58687" LPV="1" RPCX="0.48370" RPCY="0.39859" RPD="28.64728" RPS="0.58958" RPV="1" LEYEX="-0.06121" LEYEY="0.01662" LEYEZ="0.48698" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00370" REYEY="0.01408" REYEZ="0.51431" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60112" FPOGY="0.27434" FPOGS="4210.87988" FPOGD="0.12061" FPOGID="11606" FPOGV="1" LPOGX="0.61439" LPOGY="0.34067" LPOGV="1" RPOGX="0.60226" RPOGY="0.21582" RPOGV="1" BPOGX="0.60832" BPOGY="0.27825" BPOGV="1" LPCX="0.16992" LPCY="0.37832" LPD="28.36137" LPS="0.58958" LPV="1" RPCX="0.48312" RPCY="0.39854" RPD="29.02766" RPS="0.59229" RPV="1" LEYEX="-0.06121" LEYEY="0.01662" LEYEZ="0.48698" LPUPILD="0.00519" LPUPILV="1" REYEX="-0.00370" REYEY="0.01408" REYEZ="0.51431" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60149" FPOGY="0.27436" FPOGS="4210.87988" FPOGD="0.12695" FPOGID="11606" FPOGV="1" LPOGX="0.61409" LPOGY="0.33734" LPOGV="1" RPOGX="0.60297" RPOGY="0.21187" RPOGV="1" BPOGX="0.60853" BPOGY="0.27461" BPOGV="1" LPCX="0.16951" LPCY="0.37819" LPD="28.55630" LPS="0.59229" LPV="1" RPCX="0.48266" RPCY="0.39849" RPD="29.55167" RPS="0.59500" RPV="1" LEYEX="-0.06158" LEYEY="0.01645" LEYEZ="0.48641" LPUPILD="0.00500" LPUPILV="1" REYEX="-0.00412" REYEY="0.01417" REYEZ="0.50920" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60137" FPOGY="0.27373" FPOGS="4210.87988" FPOGD="0.13379" FPOGID="11606" FPOGV="1" LPOGX="0.60631" LPOGY="0.29202" LPOGV="1" RPOGX="0.59148" RPOGY="0.23019" RPOGV="1" BPOGX="0.59889" BPOGY="0.26111" BPOGV="1" LPCX="0.16832" LPCY="0.37847" LPD="28.11027" LPS="0.59500" LPV="1" RPCX="0.48162" RPCY="0.39762" RPD="28.74869" RPS="0.59500" RPV="1" LEYEX="-0.06158" LEYEY="0.01645" LEYEZ="0.48641" LPUPILD="0.00508" LPUPILV="1" REYEX="-0.00412" REYEY="0.01417" REYEZ="0.50920" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60152" FPOGY="0.27408" FPOGS="4210.87988" FPOGD="0.14062" FPOGID="11606" FPOGV="1" LPOGX="0.61506" LPOGY="0.31472" LPOGV="1" RPOGX="0.59446" RPOGY="0.24848" RPOGV="1" BPOGX="0.60476" BPOGY="0.28160" BPOGV="1" LPCX="0.16795" LPCY="0.37875" LPD="28.48087" LPS="0.59500" LPV="1" RPCX="0.48125" RPCY="0.39712" RPD="28.28127" RPS="0.59500" RPV="1" LEYEX="-0.06158" LEYEY="0.01645" LEYEZ="0.48641" LPUPILD="0.00510" LPUPILV="1" REYEX="-0.00412" REYEY="0.01417" REYEZ="0.50920" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60166" FPOGY="0.27441" FPOGS="4210.87988" FPOGD="0.14697" FPOGID="11606" FPOGV="1" LPOGX="0.61506" LPOGY="0.31472" LPOGV="1" RPOGX="0.59446" RPOGY="0.24848" RPOGV="1" BPOGX="0.60476" BPOGY="0.28160" BPOGV="1" LPCX="0.16731" LPCY="0.37882" LPD="28.03568" LPS="0.59500" LPV="1" RPCX="0.48072" RPCY="0.39737" RPD="29.59822" RPS="0.59500" RPV="1" LEYEX="-0.06141" LEYEY="0.01622" LEYEZ="0.48169" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00454" REYEY="0.01471" REYEZ="0.52172" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60190" FPOGY="0.27380" FPOGS="4210.87988" FPOGD="0.15381" FPOGID="11606" FPOGV="1" LPOGX="0.61340" LPOGY="0.29901" LPOGV="1" RPOGX="0.60143" RPOGY="0.22074" RPOGV="1" BPOGX="0.60742" BPOGY="0.25987" BPOGV="1" LPCX="0.16649" LPCY="0.37912" LPD="28.51799" LPS="0.59500" LPV="1" RPCX="0.47981" RPCY="0.39645" RPD="28.91169" RPS="0.59500" RPV="1" LEYEX="-0.06141" LEYEY="0.01622" LEYEZ="0.48169" LPUPILD="0.00505" LPUPILV="1" REYEX="-0.00454" REYEY="0.01471" REYEZ="0.52172" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
