2025-05-27 11:34:28.489574
 REYEZ="0.53430" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.48175" FPOGY="0.33225" FPOGS="4987.42090" FPOGD="0.23438" FPOGID="14372" FPOGV="1" LPOGX="0.41535" LPOGY="0.31804" LPOGV="1" RPOGX="0.46014" RPOGY="0.26337" RPOGV="1" BPOGX="0.43775" BPOGY="0.29070" BPOGV="1" LPCX="0.32672" LPCY="0.51681" LPD="23.19537" LPS="0.64957" LPV="1" RPCX="0.62339" RPCY="0.48148" RPD="24.96078" RPS="0.64957" RPV="1" LEYEX="-0.03286" LEYEY="-0.00404" LEYEZ="0.50861" LPUPILD="0.00428" LPUPILV="1" REYEX="0.02539" REYEY="0.00128" REYEZ="0.53430" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60500" FPOGY="0.29229" FPOGS="4987.90283" FPOGD="0.66309" FPOGID="14374" FPOGV="1" LPOGX="0.61193" LPOGY="0.35131" LPOGV="1" RPOGX="0.63633" RPOGY="0.23453" RPOGV="1" BPOGX="0.62413" BPOGY="0.29292" BPOGV="1" LPCX="0.32951" LPCY="0.50695" LPD="25.05546" LPS="0.64614" LPV="1" RPCX="0.62980" RPCY="0.47395" RPD="25.45798" RPS="0.64301" RPV="1" LEYEX="-0.03341" LEYEY="-0.00270" LEYEZ="0.51348" LPUPILD="0.00458" LPUPILV="1" REYEX="0.02538" REYEY="0.00240" REYEZ="0.52492" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60574" FPOGY="0.29286" FPOGS="4987.90283" FPOGD="0.66992" FPOGID="14374" FPOGV="1" LPOGX="0.61254" LPOGY="0.35792" LPOGV="1" RPOGX="0.63373" RPOGY="0.24616" RPOGV="1" BPOGX="0.62314" BPOGY="0.30204" BPOGV="1" LPCX="0.32988" LPCY="0.50684" LPD="25.32467" LPS="0.64016" LPV="1" RPCX="0.63013" RPCY="0.47404" RPD="25.85864" RPS="0.63412" RPV="1" LEYEX="-0.03320" LEYEY="-0.00261" LEYEZ="0.51267" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02514" REYEY="0.00231" REYEZ="0.51429" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60623" FPOGY="0.29315" FPOGS="4987.90283" FPOGD="0.67676" FPOGID="14374" FPOGV="1" LPOGX="0.61730" LPOGY="0.36695" LPOGV="1" RPOGX="0.61895" RPOGY="0.22125" RPOGV="1" BPOGX="0.61813" BPOGY="0.29410" BPOGV="1" LPCX="0.33044" LPCY="0.50627" LPD="24.48578" LPS="0.63412" LPV="1" RPCX="0.63078" RPCY="0.47411" RPD="25.70243" RPS="0.63121" RPV="1" LEYEX="-0.03320" LEYEY="-0.00261" LEYEZ="0.51267" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02514" REYEY="0.00231" REYEZ="0.51429" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60636" FPOGY="0.29293" FPOGS="4987.90283" FPOGD="0.68311" FPOGID="14374" FPOGV="1" LPOGX="0.58777" LPOGY="0.34981" LPOGV="1" RPOGX="0.62002" RPOGY="0.23083" RPOGV="1" BPOGX="0.60389" BPOGY="0.29032" BPOGV="1" LPCX="0.33065" LPCY="0.50617" LPD="24.56600" LPS="0.63121" LPV="1" RPCX="0.63107" RPCY="0.47426" RPD="25.77133" RPS="0.62830" RPV="1" LEYEX="-0.03320" LEYEY="-0.00261" LEYEZ="0.51267" LPUPILD="0.00465" LPUPILV="1" REYEX="0.02514" REYEY="0.00231" REYEZ="0.51429" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60650" FPOGY="0.29271" FPOGS="4987.90283" FPOGD="0.68994" FPOGID="14374" FPOGV="1" LPOGX="0.58818" LPOGY="0.35309" LPOGV="1" RPOGX="0.62002" RPOGY="0.23083" RPOGV="1" BPOGX="0.60410" BPOGY="0.29196" BPOGV="1" LPCX="0.33106" LPCY="0.50607" LPD="25.06487" LPS="0.62830" LPV="1" RPCX="0.63135" RPCY="0.47432" RPD="25.93986" RPS="0.62830" RPV="1" LEYEX="-0.03285" LEYEY="-0.00253" LEYEZ="0.51200" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02565" REYEY="0.00230" REYEZ="0.51924" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60709" FPOGY="0.29242" FPOGS="4987.90283" FPOGD="0.69678" FPOGID="14374" FPOGV="1" LPOGX="0.60705" LPOGY="0.36217" LPOGV="1" RPOGX="0.62303" RPOGY="0.18890" RPOGV="1" BPOGX="0.61504" BPOGY="0.27553" BPOGV="1" LPCX="0.33152" LPCY="0.50580" LPD="25.35896" LPS="0.62830" LPV="1" RPCX="0.63196" RPCY="0.47440" RPD="26.18495" RPS="0.63121" RPV="1" LEYEX="-0.03285" LEYEY="-0.00253" LEYEZ="0.51200" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02565" REYEY="0.00230" REYEZ="0.51924" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60728" FPOGY="0.29196" FPOGS="4987.90283" FPOGD="0.70312" FPOGID="14374" FPOGV="1" LPOGX="0.60562" LPOGY="0.35357" LPOGV="1" RPOGX="0.60357" RPOGY="0.19887" RPOGV="1" BPOGX="0.60460" BPOGY="0.27622" BPOGV="1" LPCX="0.33170" LPCY="0.50547" LPD="24.41208" LPS="0.63121" LPV="1" RPCX="0.63237" RPCY="0.47446" RPD="25.74383" RPS="0.63412" RPV="1" LEYEX="-0.03285" LEYEY="-0.00253" LEYEZ="0.51200" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02565" REYEY="0.00230" REYEZ="0.51924" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60747" FPOGY="0.29144" FPOGS="4987.90283" FPOGD="0.70996" FPOGID="14374" FPOGV="1" LPOGX="0.60529" LPOGY="0.35030" LPOGV="1" RPOGX="0.60357" RPOGY="0.19887" RPOGV="1" BPOGX="0.60443" BPOGY="0.27458" BPOGV="1" LPCX="0.33206" LPCY="0.50524" LPD="24.30497" LPS="0.63412" LPV="1" RPCX="0.63262" RPCY="0.47467" RPD="25.96035" RPS="0.63412" RPV="1" LEYEX="-0.03277" LEYEY="-0.00246" LEYEZ="0.51309" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02535" REYEY="0.00222" REYEZ="0.50935" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
