2025-05-27 11:35:24.946199
EZ="0.50469" RPUPILD="0.00718" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.45643" FPOGY="0.97799" FPOGS="5043.82080" FPOGD="0.08105" FPOGID="14589" FPOGV="0" LPOGX="0.39902" LPOGY="0.97154" LPOGV="1" RPOGX="0.12378" RPOGY="-0.48112" RPOGV="0" BPOGX="0.39902" BPOGY="0.97154" BPOGV="1" LPCX="0.16281" LPCY="0.97986" LPD="7.82460" LPS="0.60397" LPV="1" RPCX="0.16595" RPCY="0.94647" RPD="5.86968" RPS="0.60397" RPV="0" LEYEX="-0.02951" LEYEY="0.00267" LEYEZ="0.48781" LPUPILD="0.00899" LPUPILV="1" REYEX="0.02879" REYEY="0.00488" REYEZ="0.50469" RPUPILD="0.00718" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59186" FPOGY="0.30133" FPOGS="5044.99365" FPOGD="0.03320" FPOGID="14595" FPOGV="1" LPOGX="0.59826" LPOGY="0.35160" LPOGV="1" RPOGX="0.59763" RPOGY="0.23266" RPOGV="1" BPOGX="0.59794" BPOGY="0.29213" BPOGV="1" LPCX="0.34747" LPCY="0.48187" LPD="26.50363" LPS="0.57935" LPV="1" RPCX="0.66112" RPCY="0.46753" RPD="27.98769" RPS="0.57935" RPV="1" LEYEX="-0.02849" LEYEY="0.00118" LEYEZ="0.49242" LPUPILD="0.00454" LPUPILV="1" REYEX="0.03016" REYEY="0.00312" REYEZ="0.49547" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59464" FPOGY="0.30080" FPOGS="5044.99365" FPOGD="0.04004" FPOGID="14595" FPOGV="1" LPOGX="0.61238" LPOGY="0.36555" LPOGV="1" RPOGX="0.61035" RPOGY="0.22965" RPOGV="1" BPOGX="0.61136" BPOGY="0.29760" BPOGV="1" LPCX="0.34689" LPCY="0.48192" LPD="26.09424" LPS="0.58166" LPV="1" RPCX="0.66044" RPCY="0.46750" RPD="28.03379" RPS="0.58166" RPV="1" LEYEX="-0.02849" LEYEY="0.00118" LEYEZ="0.49242" LPUPILD="0.00457" LPUPILV="1" REYEX="0.03016" REYEY="0.00312" REYEZ="0.49547" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59680" FPOGY="0.29978" FPOGS="5044.99365" FPOGD="0.04688" FPOGID="14595" FPOGV="1" LPOGX="0.61211" LPOGY="0.36277" LPOGV="1" RPOGX="0.61171" RPOGY="0.22259" RPOGV="1" BPOGX="0.61191" BPOGY="0.29268" BPOGV="1" LPCX="0.34613" LPCY="0.48195" LPD="25.88843" LPS="0.58397" LPV="1" RPCX="0.65960" RPCY="0.46758" RPD="27.97333" RPS="0.58650" RPV="1" LEYEX="-0.02898" LEYEY="0.00104" LEYEZ="0.49313" LPUPILD="0.00452" LPUPILV="1" REYEX="0.03022" REYEY="0.00318" REYEZ="0.50459" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59800" FPOGY="0.29875" FPOGS="5044.99365" FPOGD="0.05371" FPOGID="14595" FPOGV="1" LPOGX="0.61739" LPOGY="0.35944" LPOGV="1" RPOGX="0.59783" RPOGY="0.22147" RPOGV="1" BPOGX="0.60761" BPOGY="0.29046" BPOGV="1" LPCX="0.34484" LPCY="0.48255" LPD="26.54592" LPS="0.58650" LPV="1" RPCX="0.65844" RPCY="0.46763" RPD="27.63213" RPS="0.58903" RPV="1" LEYEX="-0.02898" LEYEY="0.00104" LEYEZ="0.49313" LPUPILD="0.00451" LPUPILV="1" REYEX="0.03022" REYEY="0.00318" REYEZ="0.50459" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59828" FPOGY="0.29770" FPOGS="5044.99365" FPOGD="0.06006" FPOGID="14595" FPOGV="1" LPOGX="0.60774" LPOGY="0.34051" LPOGV="1" RPOGX="0.59373" RPOGY="0.23599" RPOGV="1" BPOGX="0.60074" BPOGY="0.28825" BPOGV="1" LPCX="0.34415" LPCY="0.48277" LPD="26.27880" LPS="0.58903" LPV="1" RPCX="0.65770" RPCY="0.46764" RPD="27.63551" RPS="0.59156" RPV="1" LEYEX="-0.02898" LEYEY="0.00104" LEYEZ="0.49313" LPUPILD="0.00452" LPUPILV="1" REYEX="0.03022" REYEY="0.00318" REYEZ="0.50459" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59851" FPOGY="0.29653" FPOGS="5044.99365" FPOGD="0.06689" FPOGID="14595" FPOGV="1" LPOGX="0.60744" LPOGY="0.33740" LPOGV="1" RPOGX="0.59436" RPOGY="0.23238" RPOGV="1" BPOGX="0.60090" BPOGY="0.28489" BPOGV="1" LPCX="0.34335" LPCY="0.48286" LPD="26.27540" LPS="0.59156" LPV="1" RPCX="0.65680" RPCY="0.46762" RPD="27.45490" RPS="0.59409" RPV="1" LEYEX="-0.02956" LEYEY="0.00089" LEYEZ="0.49299" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02962" REYEY="0.00318" REYEZ="0.50470" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59919" FPOGY="0.29493" FPOGS="5044.99365" FPOGD="0.07324" FPOGID="14595" FPOGV="1" LPOGX="0.60628" LPOGY="0.33478" LPOGV="1" RPOGX="0.60695" RPOGY="0.21980" RPOGV="1" BPOGX="0.60661" BPOGY="0.27729" BPOGV="1" LPCX="0.34214" LPCY="0.48310" LPD="25.97584" LPS="0.59409" LPV="1" RPCX="0.65549" RPCY="0.46769" RPD="27.87536" RPS="0.59409" RPV="1" LEYEX="-0.02956" LEYEY="0.00089" LEYEZ="0.49299" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02962" REYEY="0.00318" REYEZ="0.50470" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59965" FPOGY="0.29442" FPOGS="5044.99365" FPOGD="0.08008" FPOGID="14595" FPOGV="1" LPOGX="0.61083" LPOGY="0.35612" LPOGV="1" RPOGX="0.59963" RPOGY="0.22057" RPOGV="1" BPOGX="0.60523" BPOGY="0.28834" BPOGV="1" LPCX="0.34119" LPCY="0.48375" LPD="26.54638" LPS="0.59409" LPV="1" RPCX="0.65472" RPCY="0.46766" RPD="27.81860" RPS="0.59409" RPV="1" LEYEX="-0.02956" LEYEY="0.00089" LEYEZ="0.49299" LPUPILD="0.00458" LPUPILV="1" REYEX="0.02962" REYEY="0.00318" REYEZ="0.50470" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
