2025-05-26 12:35:18.472583
YEZ="2.28257" RPUPILD="0.00496" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.23877" FPOGY="0.38110" FPOGS="8145.99121" FPOGD="0.29492" FPOGID="18989" FPOGV="1" LPOGX="0.28920" LPOGY="0.31072" LPOGV="1" RPOGX="0.16402" RPOGY="0.38960" RPOGV="1" BPOGX="0.22661" BPOGY="0.35016" BPOGV="1" LPCX="0.43434" LPCY="0.41343" LPD="24.43525" LPS="0.73597" LPV="1" RPCX="0.71832" RPCY="0.42125" RPD="27.08731" RPS="0.73199" RPV="1" LEYEX="-0.01277" LEYEY="0.01349" LEYEZ="0.55668" LPUPILD="0.00468" LPUPILV="1" REYEX="0.19162" REYEY="0.04982" REYEZ="2.28257" RPUPILD="0.00496" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57632" FPOGY="0.40154" FPOGS="8149.13330" FPOGD="0.06592" FPOGID="18999" FPOGV="1" LPOGX="0.64165" LPOGY="0.41863" LPOGV="1" RPOGX="0.54765" RPOGY="0.40210" RPOGV="1" BPOGX="0.59465" BPOGY="0.41036" BPOGV="1" LPCX="0.42679" LPCY="0.42371" LPD="29.06584" LPS="0.75156" LPV="1" RPCX="0.71029" RPCY="0.42669" RPD="30.61739" RPS="0.74757" RPV="1" LEYEX="-0.01586" LEYEY="0.01206" LEYEZ="0.57021" LPUPILD="0.00522" LPUPILV="1" REYEX="0.17980" REYEY="0.04652" REYEZ="2.28891" RPUPILD="0.00561" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57787" FPOGY="0.40210" FPOGS="8149.13330" FPOGD="0.07275" FPOGID="18999" FPOGV="1" LPOGX="0.64163" LPOGY="0.41840" LPOGV="1" RPOGX="0.54825" RPOGY="0.39822" RPOGV="1" BPOGX="0.59494" BPOGY="0.40831" BPOGV="1" LPCX="0.42673" LPCY="0.42377" LPD="29.06056" LPS="0.75182" LPV="1" RPCX="0.71020" RPCY="0.42679" RPD="30.71844" RPS="0.75182" RPV="1" LEYEX="-0.01615" LEYEY="0.01225" LEYEZ="0.57919" LPUPILD="0.00522" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00563" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57855" FPOGY="0.40250" FPOGS="8149.13330" FPOGD="0.07910" FPOGID="18999" FPOGV="1" LPOGX="0.63276" LPOGY="0.41773" LPOGV="1" RPOGX="0.54079" RPOGY="0.39683" RPOGV="1" BPOGX="0.58677" BPOGY="0.40728" BPOGV="1" LPCX="0.42658" LPCY="0.42382" LPD="29.15999" LPS="0.75607" LPV="1" RPCX="0.71003" RPCY="0.42690" RPD="30.79803" RPS="0.76005" RPV="1" LEYEX="-0.01615" LEYEY="0.01225" LEYEZ="0.57919" LPUPILD="0.00526" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00563" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57896" FPOGY="0.40280" FPOGS="8149.13330" FPOGD="0.08594" FPOGID="18999" FPOGV="1" LPOGX="0.62750" LPOGY="0.41702" LPOGV="1" RPOGX="0.54087" RPOGY="0.39650" RPOGV="1" BPOGX="0.58419" BPOGY="0.40676" BPOGV="1" LPCX="0.42657" LPCY="0.42385" LPD="29.19230" LPS="0.76430" LPV="1" RPCX="0.70997" RPCY="0.42688" RPD="30.66826" RPS="0.76829" RPV="1" LEYEX="-0.01615" LEYEY="0.01225" LEYEZ="0.57919" LPUPILD="0.00525" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00561" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57931" FPOGY="0.40283" FPOGS="8149.13330" FPOGD="0.09326" FPOGID="18999" FPOGV="1" LPOGX="0.62723" LPOGY="0.41362" LPOGV="1" RPOGX="0.54138" RPOGY="0.39292" RPOGV="1" BPOGX="0.58431" BPOGY="0.40327" BPOGV="1" LPCX="0.42652" LPCY="0.42387" LPD="29.10790" LPS="0.76829" LPV="1" RPCX="0.70995" RPCY="0.42688" RPD="30.64203" RPS="0.77227" RPV="1" LEYEX="-0.01585" LEYEY="0.01199" LEYEZ="0.56684" LPUPILD="0.00523" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00563" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57878" FPOGY="0.40242" FPOGS="8149.13330" FPOGD="0.10107" FPOGID="18999" FPOGV="1" LPOGX="0.61589" LPOGY="0.40365" LPOGV="1" RPOGX="0.52571" RPOGY="0.38867" RPOGV="1" BPOGX="0.57080" BPOGY="0.39616" BPOGV="1" LPCX="0.42638" LPCY="0.42391" LPD="29.08263" LPS="0.76802" LPV="1" RPCX="0.70985" RPCY="0.42690" RPD="30.67573" RPS="0.76802" RPV="1" LEYEX="-0.01585" LEYEY="0.01199" LEYEZ="0.56684" LPUPILD="0.00522" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00564" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57796" FPOGY="0.40197" FPOGS="8149.13330" FPOGD="0.10742" FPOGID="18999" FPOGV="1" LPOGX="0.61310" LPOGY="0.40714" LPOGV="1" RPOGX="0.51667" RPOGY="0.38254" RPOGV="1" BPOGX="0.56489" BPOGY="0.39484" BPOGV="1" LPCX="0.42631" LPCY="0.42387" LPD="28.89939" LPS="0.76378" LPV="1" RPCX="0.70975" RPCY="0.42684" RPD="30.67485" RPS="0.76378" RPV="1" LEYEX="-0.01585" LEYEY="0.01199" LEYEZ="0.56684" LPUPILD="0.00523" LPUPILV="1" REYEX="0.18773" REYEY="0.04840" REYEZ="2.38999" RPUPILD="0.00566" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57724" FPOGY="0.40179" FPOGS="8149.13330" FPOGD="0.11328" FPOGID="18999" FPOGV="1" LPOGX="0.61347" LPOGY="0.41080" LPOGV="1" RPOGX="0.51625" RPOGY="0.38646" RPOGV="1" BPOGX="0.56486" BPOGY="0.39863" BPOGV="1" LPCX="0.42621" LPCY="0.42386" LPD="28.98261" LPS="0.75953" LPV="1" RPCX="0.70965" RPCY="0.42683" RPD="30.69173" RPS="0.75953" RPV="1" LEYEX="-0.01592" LEYEY="0.01197" LEYEZ="0.56618" LPUPILD="0.00523" LPUPILV="1" REYEX="0.18799" REYEY="0.04855" REYEZ="2.39771" RPUPILD="0.00563" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57708" FPOGY="0.40208" FPOGS="8149.13330" FPOGD="0.12012" FPOGID="18999" FPOGV="1" LPOGX="0.64633" LPOGY="0.42113" LPOGV="1" RPOGX="0.50217" RPOGY="0.39378" RPOGV="1" BPOGX="0.57425" BPOGY="0.40746" BPOGV="1" LPCX="0.42607" LPCY="0.42385" LPD="29.06009" LPS="0.75953" LPV="1" RPCX="0.70956" RPCY="0.42675" RPD="30.75331" RPS="0.75953" RPV="1" LEYEX="-0.01592" LEYEY="0.01197" LEYEZ="0.56618" LPUPILD="0.00524" LPUPILV="1" REYEX="0.18799" REYEY="0.04855" REYEZ="2.39771" RPUPILD="0.00563" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
