2025-05-28 12:41:23.865528
2" REYEZ="0.59271" RPUPILD="0.00449" RPUPILV="1" BKID="785" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3069.83618" FPOGD="0.24072" FPOGID="7943" FPOGV="0" LPOGX="0.67196" LPOGY="0.74699" LPOGV="0" RPOGX="0.50177" RPOGY="0.83922" RPOGV="0" BPOGX="0.58686" BPOGY="0.79310" BPOGV="0" LPCX="0.28501" LPCY="0.79714" LPD="12.97087" LPS="0.82940" LPV="0" RPCX="0.55910" RPCY="0.80290" RPD="14.46402" RPS="0.82940" RPV="0" LEYEX="-0.04846" LEYEY="-0.05456" LEYEZ="0.58813" LPUPILD="0.00411" LPUPILV="1" REYEX="0.01320" REYEY="-0.05592" REYEZ="0.59271" RPUPILD="0.00449" RPUPILV="1" BKID="785" BKDUR="0.00000" BKPMIN="22" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50724" FPOGY="0.65444" FPOGS="3071.00806" FPOGD="0.15479" FPOGID="7946" FPOGV="1" LPOGX="0.59208" LPOGY="0.64045" LPOGV="1" RPOGX="0.45667" RPOGY="0.68110" RPOGV="1" BPOGX="0.52438" BPOGY="0.66078" BPOGV="1" LPCX="0.27885" LPCY="0.80254" LPD="26.77340" LPS="0.85035" LPV="1" RPCX="0.55293" RPCY="0.80716" RPD="28.71442" RPS="0.84511" RPV="1" LEYEX="-0.04979" LEYEY="-0.05556" LEYEZ="0.59031" LPUPILD="0.00519" LPUPILV="1" REYEX="0.01199" REYEY="-0.05638" REYEZ="0.59007" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50707" FPOGY="0.65549" FPOGS="3071.00806" FPOGD="0.16162" FPOGID="7946" FPOGV="1" LPOGX="0.56479" LPOGY="0.67757" LPOGV="1" RPOGX="0.44114" RPOGY="0.68390" RPOGV="1" BPOGX="0.50297" BPOGY="0.68073" BPOGV="1" LPCX="0.27896" LPCY="0.80249" LPD="26.67341" LPS="0.84511" LPV="1" RPCX="0.55307" RPCY="0.80721" RPD="28.64404" RPS="0.83987" RPV="1" LEYEX="-0.04979" LEYEY="-0.05556" LEYEZ="0.59031" LPUPILD="0.00522" LPUPILV="1" REYEX="0.01199" REYEY="-0.05638" REYEZ="0.59007" RPUPILD="0.00532" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50602" FPOGY="0.65658" FPOGS="3071.00806" FPOGD="0.16797" FPOGID="7946" FPOGV="1" LPOGX="0.54395" LPOGY="0.67823" LPOGV="1" RPOGX="0.41557" RPOGY="0.68925" RPOGV="1" BPOGX="0.47976" BPOGY="0.68374" BPOGV="1" LPCX="0.27899" LPCY="0.80247" LPD="26.66460" LPS="0.83987" LPV="1" RPCX="0.55311" RPCY="0.80721" RPD="28.62912" RPS="0.83464" RPV="1" LEYEX="-0.04979" LEYEY="-0.05556" LEYEZ="0.59031" LPUPILD="0.00523" LPUPILV="1" REYEX="0.01199" REYEY="-0.05638" REYEZ="0.59007" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50508" FPOGY="0.65776" FPOGS="3071.00806" FPOGD="0.17456" FPOGID="7946" FPOGV="1" LPOGX="0.54553" LPOGY="0.68278" LPOGV="1" RPOGX="0.41582" RPOGY="0.69404" RPOGV="1" BPOGX="0.48068" BPOGY="0.68841" BPOGV="1" LPCX="0.27899" LPCY="0.80245" LPD="26.64123" LPS="0.82998" LPV="1" RPCX="0.55315" RPCY="0.80710" RPD="28.68729" RPS="0.82474" RPV="1" LEYEX="-0.04795" LEYEY="-0.05351" LEYEZ="0.56897" LPUPILD="0.00524" LPUPILV="1" REYEX="0.01214" REYEY="-0.05666" REYEZ="0.59295" RPUPILD="0.00532" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50466" FPOGY="0.65879" FPOGS="3071.00806" FPOGD="0.18140" FPOGID="7946" FPOGV="1" LPOGX="0.56093" LPOGY="0.67756" LPOGV="1" RPOGX="0.42547" RPOGY="0.69595" RPOGV="1" BPOGX="0.49320" BPOGY="0.68676" BPOGV="1" LPCX="0.27903" LPCY="0.80238" LPD="26.59896" LPS="0.82009" LPV="1" RPCX="0.55325" RPCY="0.80707" RPD="28.78929" RPS="0.82009" RPV="1" LEYEX="-0.04795" LEYEY="-0.05351" LEYEZ="0.56897" LPUPILD="0.00526" LPUPILV="1" REYEX="0.01214" REYEY="-0.05666" REYEZ="0.59295" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50445" FPOGY="0.65972" FPOGS="3071.00806" FPOGD="0.18799" FPOGID="7946" FPOGV="1" LPOGX="0.56448" LPOGY="0.67560" LPOGV="1" RPOGX="0.43302" RPOGY="0.69583" RPOGV="1" BPOGX="0.49875" BPOGY="0.68572" BPOGV="1" LPCX="0.27910" LPCY="0.80228" LPD="26.66677" LPS="0.81544" LPV="1" RPCX="0.55331" RPCY="0.80710" RPD="28.75463" RPS="0.81544" RPV="1" LEYEX="-0.04795" LEYEY="-0.05351" LEYEZ="0.56897" LPUPILD="0.00523" LPUPILV="1" REYEX="0.01214" REYEY="-0.05666" REYEZ="0.59295" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50425" FPOGY="0.66046" FPOGS="3071.00806" FPOGD="0.19458" FPOGID="7946" FPOGV="1" LPOGX="0.56376" LPOGY="0.67314" LPOGV="1" RPOGX="0.43297" RPOGY="0.69079" RPOGV="1" BPOGX="0.49837" BPOGY="0.68197" BPOGV="1" LPCX="0.27920" LPCY="0.80219" LPD="26.80700" LPS="0.82056" LPV="1" RPCX="0.55334" RPCY="0.80708" RPD="28.77518" RPS="0.82579" RPV="1" LEYEX="-0.05291" LEYEY="-0.05916" LEYEZ="0.62898" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01254" REYEY="-0.05833" REYEZ="0.61047" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.50433" FPOGY="0.66079" FPOGS="3071.00806" FPOGD="0.20166" FPOGID="7946" FPOGV="1" LPOGX="0.56617" LPOGY="0.66571" LPOGV="1" RPOGX="0.44736" RPOGY="0.67564" RPOGV="1" BPOGX="0.50676" BPOGY="0.67068" BPOGV="1" LPCX="0.27928" LPCY="0.80217" LPD="26.92648" LPS="0.83557" LPV="1" RPCX="0.55356" RPCY="0.80712" RPD="28.90430" RPS="0.84080" RPV="1" LEYEX="-0.05291" LEYEY="-0.05916" LEYEZ="0.62898" LPUPILD="0.00525" LPUPILV="1" REYEX="0.01254" REYEY="-0.05833" REYEZ="0.61047" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
