2025-05-29 12:38:43.593229
1" REYEZ="0.61322" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55756" FPOGY="0.23620" FPOGS="9274.19629" FPOGD="0.32129" FPOGID="25831" FPOGV="1" LPOGX="0.57828" LPOGY="0.23788" LPOGV="1" RPOGX="0.51279" RPOGY="0.20559" RPOGV="1" BPOGX="0.54553" BPOGY="0.22174" BPOGV="1" LPCX="0.33656" LPCY="0.67250" LPD="26.05114" LPS="0.90365" LPV="1" RPCX="0.59894" RPCY="0.68647" RPD="27.27692" RPS="0.89786" RPV="1" LEYEX="-0.03864" LEYEY="-0.03425" LEYEZ="0.61874" LPUPILD="0.00531" LPUPILV="1" REYEX="0.02299" REYEY="-0.03661" REYEZ="0.61322" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55724" FPOGY="0.23591" FPOGS="9274.19629" FPOGD="0.32812" FPOGID="25831" FPOGV="1" LPOGX="0.57829" LPOGY="0.23800" LPOGV="1" RPOGX="0.51375" RPOGY="0.19374" RPOGV="1" BPOGX="0.54602" BPOGY="0.21587" BPOGV="1" LPCX="0.33662" LPCY="0.67248" LPD="25.96881" LPS="0.90352" LPV="1" RPCX="0.59897" RPCY="0.68651" RPD="27.28932" RPS="0.90995" RPV="1" LEYEX="-0.03915" LEYEY="-0.03478" LEYEZ="0.62830" LPUPILD="0.00529" LPUPILV="1" REYEX="0.02396" REYEY="-0.03800" REYEZ="0.63659" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52557" FPOGY="0.23646" FPOGS="9274.19629" FPOGD="1.22656" FPOGID="25831" FPOGV="0" LPOGX="0.53616" LPOGY="0.25766" LPOGV="1" RPOGX="0.50031" RPOGY="0.21414" RPOGV="1" BPOGX="0.51824" BPOGY="0.23590" BPOGV="1" LPCX="0.33885" LPCY="0.67444" LPD="26.41295" LPS="0.92767" LPV="1" RPCX="0.60151" RPCY="0.68769" RPD="28.69753" RPS="0.92188" RPV="1" LEYEX="-0.03850" LEYEY="-0.03507" LEYEZ="0.62855" LPUPILD="0.00538" LPUPILV="1" REYEX="0.02328" REYEY="-0.03610" REYEZ="0.60170" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52475" FPOGY="0.24203" FPOGS="9274.19629" FPOGD="1.22656" FPOGID="25831" FPOGV="0" LPOGX="0.54303" LPOGY="0.27669" LPOGV="1" RPOGX="0.50318" RPOGY="0.22964" RPOGV="1" BPOGX="0.52311" BPOGY="0.25317" BPOGV="1" LPCX="0.33888" LPCY="0.67434" LPD="26.30554" LPS="0.91559" LPV="1" RPCX="0.60154" RPCY="0.68773" RPD="28.69114" RPS="0.90980" RPV="1" LEYEX="-0.03850" LEYEY="-0.03507" LEYEZ="0.62855" LPUPILD="0.00537" LPUPILV="1" REYEX="0.02328" REYEY="-0.03610" REYEZ="0.60170" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52455" FPOGY="0.24809" FPOGS="9275.42871" FPOGD="0.02051" FPOGID="25832" FPOGV="1" LPOGX="0.54558" LPOGY="0.29169" LPOGV="1" RPOGX="0.50236" RPOGY="0.24091" RPOGV="1" BPOGX="0.52397" BPOGY="0.26630" BPOGV="1" LPCX="0.33886" LPCY="0.67434" LPD="26.18992" LPS="0.89786" LPV="1" RPCX="0.60158" RPCY="0.68786" RPD="28.64900" RPS="0.89786" RPV="1" LEYEX="-0.03703" LEYEY="-0.03382" LEYEZ="0.60532" LPUPILD="0.00537" LPUPILV="1" REYEX="0.02401" REYEY="-0.03716" REYEZ="0.61931" RPUPILD="0.00569" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52359" FPOGY="0.25338" FPOGS="9275.42871" FPOGD="0.02734" FPOGID="25832" FPOGV="1" LPOGX="0.55476" LPOGY="0.29738" LPOGV="1" RPOGX="0.48468" RPOGY="0.25167" RPOGV="1" BPOGX="0.51972" BPOGY="0.27453" BPOGV="1" LPCX="0.33895" LPCY="0.67442" LPD="26.23540" LPS="0.89220" LPV="1" RPCX="0.60171" RPCY="0.68788" RPD="28.61138" RPS="0.89799" RPV="1" LEYEX="-0.03703" LEYEY="-0.03382" LEYEZ="0.60532" LPUPILD="0.00540" LPUPILV="1" REYEX="0.02401" REYEY="-0.03716" REYEZ="0.61931" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52369" FPOGY="0.25792" FPOGS="9275.42871" FPOGD="0.03320" FPOGID="25832" FPOGV="1" LPOGX="0.55953" LPOGY="0.30728" LPOGV="1" RPOGX="0.48887" RPOGY="0.25400" RPOGV="1" BPOGX="0.52420" BPOGY="0.28064" BPOGV="1" LPCX="0.33904" LPCY="0.67446" LPD="26.26002" LPS="0.89233" LPV="1" RPCX="0.60173" RPCY="0.68790" RPD="28.57619" RPS="0.89812" RPV="1" LEYEX="-0.03703" LEYEY="-0.03382" LEYEZ="0.60532" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02401" REYEY="-0.03716" REYEZ="0.61931" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52375" FPOGY="0.26001" FPOGS="9275.42871" FPOGD="0.04004" FPOGID="25832" FPOGV="1" LPOGX="0.55877" LPOGY="0.30243" LPOGV="1" RPOGX="0.48954" RPOGY="0.24264" RPOGV="1" BPOGX="0.52415" BPOGY="0.27253" BPOGV="1" LPCX="0.33908" LPCY="0.67449" LPD="26.17433" LPS="0.89812" LPV="1" RPCX="0.60173" RPCY="0.68792" RPD="28.61392" RPS="0.91034" RPV="1" LEYEX="-0.03839" LEYEY="-0.03511" LEYEZ="0.62828" LPUPILD="0.00538" LPUPILV="1" REYEX="0.02502" REYEY="-0.03865" REYEZ="0.64421" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52425" FPOGY="0.25804" FPOGS="9275.42871" FPOGD="0.04688" FPOGID="25832" FPOGV="1" LPOGX="0.56160" LPOGY="0.24428" LPOGV="1" RPOGX="0.49388" RPOGY="0.24420" RPOGV="1" BPOGX="0.52774" BPOGY="0.24424" BPOGV="1" LPCX="0.33912" LPCY="0.67451" LPD="26.26465" LPS="0.91600" LPV="1" RPCX="0.60178" RPCY="0.68796" RPD="28.58613" RPS="0.92244" RPV="1" LEYEX="-0.03839" LEYEY="-0.03511" LEYEZ="0.62828" LPUPILD="0.00535" LPUPILV="1" REYEX="0.02502" REYEY="-0.03865" REYEZ="0.64421" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
