2025-05-28 15:15:05.518814
EYEZ="0.59439" RPUPILD="0.00639" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.53651" FPOGY="0.13648" FPOGS="4565.17090" FPOGD="0.09375" FPOGID="8906" FPOGV="1" LPOGX="0.55818" LPOGY="0.11151" LPOGV="1" RPOGX="0.51169" RPOGY="0.19103" RPOGV="1" BPOGX="0.53493" BPOGY="0.15127" BPOGV="1" LPCX="0.23039" LPCY="0.36238" LPD="21.35593" LPS="0.84945" LPV="1" RPCX="0.47398" RPCY="0.32405" RPD="30.38553" RPS="0.84945" RPV="1" LEYEX="-0.06037" LEYEY="0.02300" LEYEZ="0.58644" LPUPILD="0.00446" LPUPILV="1" REYEX="-0.00633" REYEY="0.03146" REYEZ="0.61155" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.47134" FPOGY="0.92613" FPOGS="4565.94189" FPOGD="0.24121" FPOGID="8908" FPOGV="1" LPOGX="0.53666" LPOGY="0.87624" LPOGV="1" RPOGX="0.46704" RPOGY="1.15531" RPOGV="1" BPOGX="0.50185" BPOGY="1.01578" BPOGV="1" LPCX="0.22456" LPCY="0.43087" LPD="17.94147" LPS="0.85492" LPV="1" RPCX="0.46315" RPCY="0.37139" RPD="27.08956" RPS="0.85492" RPV="1" LEYEX="-0.06207" LEYEY="0.01193" LEYEZ="0.58676" LPUPILD="0.00396" LPUPILV="1" REYEX="-0.00925" REYEY="0.02395" REYEZ="0.61061" RPUPILD="0.00633" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.47216" FPOGY="0.92851" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="1" LPOGX="0.53830" LPOGY="0.87847" LPOGV="1" RPOGX="0.46651" RPOGY="1.15421" RPOGV="1" BPOGX="0.50240" BPOGY="1.01634" BPOGV="1" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.84515" LPV="1" RPCX="0.46405" RPCY="0.37185" RPD="23.54138" RPS="0.83991" RPV="1" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00672" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.47373" FPOGY="0.97186" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43560" RPOGY="1.32093" RPOGV="1" BPOGX="0.43560" BPOGY="1.32093" BPOGV="1" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.83526" LPV="0" RPCX="0.46718" RPCY="0.37189" RPD="16.00560" RPS="0.83002" RPV="1" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.45218" FPOGY="1.22398" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43063" RPOGY="1.47610" RPOGV="1" BPOGX="0.43063" BPOGY="1.47610" BPOGV="1" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.82537" LPV="0" RPCX="0.46951" RPCY="0.37169" RPD="12.98696" RPS="0.82013" RPV="1" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00288" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.44503" FPOGY="1.30573" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43074" RPOGY="1.46924" RPOGV="1" BPOGX="0.43074" BPOGY="1.46924" BPOGV="1" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.81548" LPV="0" RPCX="0.46942" RPCY="0.37073" RPD="9.74105" RPS="0.80548" RPV="1" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00247" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.43069" FPOGY="1.47267" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43074" RPOGY="1.46924" RPOGV="0" BPOGX="0.43074" BPOGY="1.46924" BPOGV="0" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.80548" LPV="0" RPCX="0.46942" RPCY="0.37073" RPD="9.74105" RPS="0.80071" RPV="0" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00247" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.43069" FPOGY="1.47267" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43074" RPOGY="1.46924" RPOGV="0" BPOGX="0.43074" BPOGY="1.46924" BPOGV="0" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.80071" LPV="0" RPCX="0.46942" RPCY="0.37073" RPD="9.74105" RPS="0.79595" RPV="0" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00247" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.43069" FPOGY="1.47267" FPOGS="4565.94189" FPOGD="0.24805" FPOGID="8908" FPOGV="0" LPOGX="0.53830" LPOGY="0.87847" LPOGV="0" RPOGX="0.43074" RPOGY="1.46924" RPOGV="0" BPOGX="0.43074" BPOGY="1.46924" BPOGV="0" LPCX="0.22549" LPCY="0.42993" LPD="17.80582" LPS="0.79595" LPV="0" RPCX="0.46942" RPCY="0.37073" RPD="9.74105" RPS="0.79119" RPV="0" LEYEX="-0.05989" LEYEY="0.01213" LEYEZ="0.57555" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00786" REYEY="0.02354" REYEZ="0.59208" RPUPILD="0.00247" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
