2025-05-28 15:17:10.183573
EYEZ="0.63837" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.53492" FPOGY="0.17906" FPOGS="4689.83545" FPOGD="0.08057" FPOGID="9338" FPOGV="1" LPOGX="0.56129" LPOGY="0.12470" LPOGV="1" RPOGX="0.51026" RPOGY="0.24676" RPOGV="1" BPOGX="0.53578" BPOGY="0.18573" BPOGV="1" LPCX="0.18054" LPCY="0.48196" LPD="21.69515" LPS="0.89344" LPV="1" RPCX="0.42275" RPCY="0.47130" RPD="32.65574" RPS="0.89344" RPV="1" LEYEX="-0.07336" LEYEY="0.00139" LEYEZ="0.59956" LPUPILD="0.00508" LPUPILV="1" REYEX="-0.01875" REYEY="0.00375" REYEZ="0.61741" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54106" FPOGY="0.19090" FPOGS="4690.19775" FPOGD="0.64990" FPOGID="9339" FPOGV="1" LPOGX="0.58032" LPOGY="0.12955" LPOGV="1" RPOGX="0.49892" RPOGY="0.22545" RPOGV="1" BPOGX="0.53962" BPOGY="0.17750" BPOGV="1" LPCX="0.23853" LPCY="0.47808" LPD="21.99697" LPS="0.91607" LPV="1" RPCX="0.47953" RPCY="0.48089" RPD="32.73940" RPS="0.91607" RPV="1" LEYEX="-0.06200" LEYEY="0.00242" LEYEZ="0.61946" LPUPILD="0.00527" LPUPILV="1" REYEX="-0.00560" REYEY="0.00208" REYEZ="0.61733" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54061" FPOGY="0.19077" FPOGS="4690.19775" FPOGD="0.65625" FPOGID="9339" FPOGV="1" LPOGX="0.59361" LPOGY="0.13997" LPOGV="1" RPOGX="0.47523" RPOGY="0.21352" RPOGV="1" BPOGX="0.53442" BPOGY="0.17675" BPOGV="1" LPCX="0.23888" LPCY="0.47784" LPD="21.95954" LPS="0.91607" LPV="1" RPCX="0.48002" RPCY="0.48081" RPD="32.56359" RPS="0.91607" RPV="1" LEYEX="-0.06200" LEYEY="0.00242" LEYEZ="0.61946" LPUPILD="0.00523" LPUPILV="1" REYEX="-0.00560" REYEY="0.00208" REYEZ="0.61733" RPUPILD="0.00707" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54017" FPOGY="0.19064" FPOGS="4690.19775" FPOGD="0.66357" FPOGID="9339" FPOGV="1" LPOGX="0.59361" LPOGY="0.13997" LPOGV="1" RPOGX="0.47548" RPOGY="0.20737" RPOGV="1" BPOGX="0.53455" BPOGY="0.17367" BPOGV="1" LPCX="0.23919" LPCY="0.47781" LPD="22.76758" LPS="0.91607" LPV="1" RPCX="0.48019" RPCY="0.48082" RPD="32.55398" RPS="0.92250" RPV="1" LEYEX="-0.06224" LEYEY="0.00253" LEYEZ="0.62553" LPUPILD="0.00514" LPUPILV="1" REYEX="-0.00492" REYEY="0.00232" REYEZ="0.63076" RPUPILD="0.00705" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.53995" FPOGY="0.18965" FPOGS="4690.19775" FPOGD="0.66992" FPOGID="9339" FPOGV="1" LPOGX="0.58604" LPOGY="0.15483" LPOGV="1" RPOGX="0.48820" RPOGY="0.16751" RPOGV="1" BPOGX="0.53712" BPOGY="0.16117" BPOGV="1" LPCX="0.24013" LPCY="0.47751" LPD="23.01074" LPS="0.92250" LPV="1" RPCX="0.48096" RPCY="0.48047" RPD="32.31422" RPS="0.92893" RPV="1" LEYEX="-0.06224" LEYEY="0.00253" LEYEZ="0.62553" LPUPILD="0.00512" LPUPILV="1" REYEX="-0.00492" REYEY="0.00232" REYEZ="0.63076" RPUPILD="0.00708" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54045" FPOGY="0.18880" FPOGS="4690.19775" FPOGD="0.67627" FPOGID="9339" FPOGV="1" LPOGX="0.59381" LPOGY="0.12731" LPOGV="1" RPOGX="0.52177" RPOGY="0.14948" RPOGV="1" BPOGX="0.55779" BPOGY="0.13840" BPOGV="1" LPCX="0.24037" LPCY="0.47706" LPD="22.16670" LPS="0.92893" LPV="1" RPCX="0.48140" RPCY="0.48042" RPD="32.50055" RPS="0.93536" RPV="1" LEYEX="-0.06224" LEYEY="0.00253" LEYEZ="0.62553" LPUPILD="0.00518" LPUPILV="1" REYEX="-0.00492" REYEY="0.00232" REYEZ="0.63076" RPUPILD="0.00702" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54093" FPOGY="0.18793" FPOGS="4690.19775" FPOGD="0.68311" FPOGID="9339" FPOGV="1" LPOGX="0.59324" LPOGY="0.12087" LPOGV="1" RPOGX="0.52177" RPOGY="0.14948" RPOGV="1" BPOGX="0.55751" BPOGY="0.13518" BPOGV="1" LPCX="0.24073" LPCY="0.47695" LPD="22.74770" LPS="0.93536" LPV="1" RPCX="0.48155" RPCY="0.48042" RPD="32.42586" RPS="0.93536" RPV="1" LEYEX="-0.06261" LEYEY="0.00271" LEYEZ="0.63307" LPUPILD="0.00512" LPUPILV="1" REYEX="-0.00451" REYEY="0.00232" REYEZ="0.61981" RPUPILD="0.00703" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54068" FPOGY="0.18691" FPOGS="4690.19775" FPOGD="0.68994" FPOGID="9339" FPOGV="1" LPOGX="0.56353" LPOGY="0.11867" LPOGV="1" RPOGX="0.51766" RPOGY="0.22477" RPOGV="1" BPOGX="0.54059" BPOGY="0.17172" BPOGV="1" LPCX="0.24148" LPCY="0.47673" LPD="22.50014" LPS="0.93536" LPV="1" RPCX="0.48219" RPCY="0.48003" RPD="32.67603" RPS="0.92893" RPV="1" LEYEX="-0.06261" LEYEY="0.00271" LEYEZ="0.63307" LPUPILD="0.00521" LPUPILV="1" REYEX="-0.00451" REYEY="0.00232" REYEZ="0.61981" RPUPILD="0.00705" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54037" FPOGY="0.18718" FPOGS="4690.19775" FPOGD="0.69629" FPOGID="9339" FPOGV="1" LPOGX="0.57556" LPOGY="0.14851" LPOGV="1" RPOGX="0.48818" RPOGY="0.21046" RPOGV="1" BPOGX="0.53187" BPOGY="0.17948" BPOGV="1" LPCX="0.24174" LPCY="0.47671" LPD="22.67588" LPS="0.92893" LPV="1" RPCX="0.48247" RPCY="0.47994" RPD="32.48527" RPS="0.92250" RPV="1" LEYEX="-0.06261" LEYEY="0.00271" LEYEZ="0.63307" LPUPILD="0.00515" LPUPILV="1" REYEX="-0.00451" REYEY="0.00232" REYEZ="0.61981" RPUPILD="0.00705" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
