2025-05-29 11:51:28.843884
016" REYEZ="0.63294" RPUPILD="0.00642" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.53919" FPOGY="0.14241" FPOGS="6439.67480" FPOGD="0.13379" FPOGID="16628" FPOGV="1" LPOGX="0.57785" LPOGY="0.17517" LPOGV="1" RPOGX="0.47645" RPOGY="0.17202" RPOGV="1" BPOGX="0.52715" BPOGY="0.17359" BPOGV="1" LPCX="0.23344" LPCY="0.56950" LPD="18.95627" LPS="0.97040" LPV="1" RPCX="0.45739" RPCY="0.54613" RPD="27.64255" RPS="0.97040" RPV="1" LEYEX="-0.07632" LEYEY="-0.01790" LEYEZ="0.74833" LPUPILD="0.00437" LPUPILV="1" REYEX="-0.01120" REYEY="-0.01016" REYEZ="0.63294" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55044" FPOGY="0.13831" FPOGS="6440.56592" FPOGD="0.16064" FPOGID="16633" FPOGV="1" LPOGX="0.61555" LPOGY="0.13603" LPOGV="1" RPOGX="0.52227" RPOGY="0.12241" RPOGV="1" BPOGX="0.56891" BPOGY="0.12922" BPOGV="1" LPCX="0.23547" LPCY="0.56946" LPD="18.76557" LPS="1.02726" LPV="1" RPCX="0.45952" RPCY="0.54718" RPD="28.01018" RPS="1.02726" RPV="1" LEYEX="-0.06772" LEYEY="-0.01602" LEYEZ="0.66953" LPUPILD="0.00450" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55115" FPOGY="0.13796" FPOGS="6440.56592" FPOGD="0.16748" FPOGID="16633" FPOGV="1" LPOGX="0.61555" LPOGY="0.13603" LPOGV="1" RPOGX="0.52227" RPOGY="0.12241" RPOGV="1" BPOGX="0.56891" BPOGY="0.12922" BPOGV="1" LPCX="0.23551" LPCY="0.56954" LPD="18.85555" LPS="1.02726" LPV="1" RPCX="0.45953" RPCY="0.54713" RPD="28.07986" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00446" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00641" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55211" FPOGY="0.13765" FPOGS="6440.56592" FPOGD="0.17432" FPOGID="16633" FPOGV="1" LPOGX="0.62170" LPOGY="0.12138" LPOGV="1" RPOGX="0.53264" RPOGY="0.13748" RPOGV="1" BPOGX="0.57717" BPOGY="0.12943" BPOGV="1" LPCX="0.23550" LPCY="0.56952" LPD="18.74374" LPS="1.02726" LPV="1" RPCX="0.45950" RPCY="0.54715" RPD="27.90321" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00443" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00641" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55934" FPOGY="0.11336" FPOGS="6440.56592" FPOGD="0.17432" FPOGID="16633" FPOGV="0" LPOGX="0.62456" LPOGY="0.16196" LPOGV="1" RPOGX="0.49302" RPOGY="0.13435" RPOGV="1" BPOGX="0.55879" BPOGY="0.14816" BPOGV="1" LPCX="0.23544" LPCY="0.56950" LPD="18.88383" LPS="1.02726" LPV="1" RPCX="0.45952" RPCY="0.54717" RPD="27.88277" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00445" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00643" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55907" FPOGY="0.13076" FPOGS="6440.56592" FPOGD="0.17432" FPOGID="16633" FPOGV="0" LPOGX="0.62456" LPOGY="0.16196" LPOGV="1" RPOGX="0.49302" RPOGY="0.13435" RPOGV="1" BPOGX="0.55879" BPOGY="0.14816" BPOGV="1" LPCX="0.23550" LPCY="0.56948" LPD="18.75364" LPS="1.02726" LPV="1" RPCX="0.45956" RPCY="0.54723" RPD="27.88735" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00444" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00642" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56299" FPOGY="0.14153" FPOGS="6440.56592" FPOGD="0.17432" FPOGID="16633" FPOGV="0" LPOGX="0.62134" LPOGY="0.17537" LPOGV="1" RPOGX="0.52036" RPOGY="0.15075" RPOGV="1" BPOGX="0.57085" BPOGY="0.16306" BPOGV="1" LPCX="0.23562" LPCY="0.56965" LPD="19.16368" LPS="1.02726" LPV="1" RPCX="0.45952" RPCY="0.54742" RPD="28.25498" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00446" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56609" FPOGY="0.14932" FPOGS="6440.74658" FPOGD="0.01953" FPOGID="16634" FPOGV="1" LPOGX="0.62610" LPOGY="0.14076" LPOGV="1" RPOGX="0.52464" RPOGY="0.20466" RPOGV="1" BPOGX="0.57537" BPOGY="0.17271" BPOGV="1" LPCX="0.23556" LPCY="0.56998" LPD="19.06056" LPS="1.02726" LPV="1" RPCX="0.45945" RPCY="0.54771" RPD="27.88689" RPS="1.02726" RPV="1" LEYEX="-0.06699" LEYEY="-0.01589" LEYEZ="0.66228" LPUPILD="0.00447" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00647" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56787" FPOGY="0.15585" FPOGS="6440.74658" FPOGD="0.02637" FPOGID="16634" FPOGV="1" LPOGX="0.62646" LPOGY="0.14708" LPOGV="1" RPOGX="0.52349" RPOGY="0.21684" RPOGV="1" BPOGX="0.57498" BPOGY="0.18196" BPOGV="1" LPCX="0.23561" LPCY="0.57035" LPD="18.69772" LPS="1.02024" LPV="1" RPCX="0.45946" RPCY="0.54802" RPD="28.01270" RPS="1.01305" RPV="1" LEYEX="-0.06529" LEYEY="-0.01555" LEYEZ="0.64595" LPUPILD="0.00441" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01108" REYEZ="0.66566" RPUPILD="0.00641" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
