2025-05-28 16:59:52.809808
 REYEZ="0.64505" RPUPILD="0.00417" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.52465" FPOGY="1.05268" FPOGS="3337.01416" FPOGD="0.16089" FPOGID="7003" FPOGV="1" LPOGX="0.49045" LPOGY="1.06777" LPOGV="1" RPOGX="0.54124" RPOGY="1.03452" RPOGV="1" BPOGX="0.51584" BPOGY="1.05115" BPOGV="1" LPCX="0.34112" LPCY="0.55858" LPD="24.33400" LPS="0.93188" LPV="1" RPCX="0.61268" RPCY="0.56125" RPD="22.88348" RPS="0.93188" RPV="1" LEYEX="-0.03669" LEYEY="-0.01108" LEYEZ="0.61024" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02766" REYEY="-0.01229" REYEZ="0.64505" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.12070" FPOGY="1.04447" FPOGS="3337.92432" FPOGD="0.16821" FPOGID="7007" FPOGV="1" LPOGX="1.10278" LPOGY="1.12957" LPOGV="1" RPOGX="1.13124" RPOGY="0.99053" RPOGV="1" BPOGX="1.11701" BPOGY="1.06005" BPOGV="1" LPCX="0.37395" LPCY="0.54989" LPD="24.70290" LPS="0.88236" LPV="1" RPCX="0.64665" RPCY="0.56106" RPD="23.82366" RPS="0.88236" RPV="1" LEYEX="-0.03163" LEYEY="-0.00975" LEYEZ="0.62504" LPUPILD="0.00466" LPUPILV="1" REYEX="0.03202" REYEY="-0.01152" REYEZ="0.60487" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.12129" FPOGY="1.04465" FPOGS="3337.92432" FPOGD="0.17505" FPOGID="7007" FPOGV="1" LPOGX="1.12141" LPOGY="1.12941" LPOGV="1" RPOGX="1.15228" RPOGY="0.96932" RPOGV="1" BPOGX="1.13685" BPOGY="1.04937" BPOGV="1" LPCX="0.37407" LPCY="0.54957" LPD="24.63023" LPS="0.88802" LPV="1" RPCX="0.64673" RPCY="0.56040" RPD="23.72470" RPS="0.88802" RPV="1" LEYEX="-0.03163" LEYEY="-0.00975" LEYEZ="0.62504" LPUPILD="0.00471" LPUPILV="1" REYEX="0.03202" REYEY="-0.01152" REYEZ="0.60487" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.12185" FPOGY="1.04482" FPOGS="3337.92432" FPOGD="0.18188" FPOGID="7007" FPOGV="1" LPOGX="1.12141" LPOGY="1.12941" LPOGV="1" RPOGX="1.15228" RPOGY="0.96932" RPOGV="1" BPOGX="1.13685" BPOGY="1.04937" BPOGV="1" LPCX="0.37429" LPCY="0.54896" LPD="24.80788" LPS="0.88802" LPV="1" RPCX="0.64695" RPCY="0.55978" RPD="23.66376" RPS="0.88802" RPV="1" LEYEX="-0.03070" LEYEY="-0.00921" LEYEZ="0.60760" LPUPILD="0.00464" LPUPILV="1" REYEX="0.03218" REYEY="-0.01109" REYEZ="0.60618" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.12213" FPOGY="1.04608" FPOGS="3337.92432" FPOGD="0.18872" FPOGID="7007" FPOGV="1" LPOGX="1.11547" LPOGY="1.15449" LPOGV="1" RPOGX="1.14480" RPOGY="1.00857" RPOGV="1" BPOGX="1.13013" BPOGY="1.08153" BPOGV="1" LPCX="0.37437" LPCY="0.54813" LPD="25.00400" LPS="0.88236" LPV="1" RPCX="0.64717" RPCY="0.55846" RPD="23.85581" RPS="0.88236" RPV="1" LEYEX="-0.03070" LEYEY="-0.00921" LEYEZ="0.60760" LPUPILD="0.00460" LPUPILV="1" REYEX="0.03218" REYEY="-0.01109" REYEZ="0.60618" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.12200" FPOGY="1.04551" FPOGS="3337.92432" FPOGD="0.19507" FPOGID="7007" FPOGV="1" LPOGX="1.09085" LPOGY="1.08453" LPOGV="1" RPOGX="1.14543" RPOGY="0.97342" RPOGV="1" BPOGX="1.11814" BPOGY="1.02897" BPOGV="1" LPCX="0.37446" LPCY="0.54781" LPD="25.06779" LPS="0.87671" LPV="1" RPCX="0.64729" RPCY="0.55830" RPD="23.65776" RPS="0.87671" RPV="1" LEYEX="-0.03070" LEYEY="-0.00921" LEYEZ="0.60760" LPUPILD="0.00464" LPUPILV="1" REYEX="0.03218" REYEY="-0.01109" REYEZ="0.60618" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.12176" FPOGY="1.04499" FPOGS="3337.92432" FPOGD="0.20166" FPOGID="7007" FPOGV="1" LPOGX="1.08822" LPOGY="1.08453" LPOGV="1" RPOGX="1.14087" RPOGY="0.97417" RPOGV="1" BPOGX="1.11455" BPOGY="1.02935" BPOGV="1" LPCX="0.37472" LPCY="0.54728" LPD="24.70697" LPS="0.87105" LPV="1" RPCX="0.64749" RPCY="0.55762" RPD="22.78302" RPS="0.87105" RPV="1" LEYEX="-0.03020" LEYEY="-0.00875" LEYEZ="0.60130" LPUPILD="0.00460" LPUPILV="1" REYEX="0.03254" REYEY="-0.01073" REYEZ="0.61124" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.11589" FPOGY="1.08229" FPOGS="3337.92432" FPOGD="0.20166" FPOGID="7007" FPOGV="0" LPOGX="1.11688" LPOGY="1.39963" LPOGV="1" RPOGX="0.99000" RPOGY="1.31381" RPOGV="1" BPOGX="1.05344" BPOGY="1.35672" BPOGV="1" LPCX="0.37470" LPCY="0.54667" LPD="24.04483" LPS="0.87105" LPV="1" RPCX="0.64668" RPCY="0.55863" RPD="16.12876" RPS="0.87105" RPV="1" LEYEX="-0.03020" LEYEY="-0.00875" LEYEZ="0.60130" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03254" REYEY="-0.01073" REYEZ="0.61124" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.14201" FPOGY="1.37380" FPOGS="3337.92432" FPOGD="0.20166" FPOGID="7007" FPOGV="0" LPOGX="1.16813" LPOGY="1.66530" LPOGV="1" RPOGX="0.99000" RPOGY="1.31381" RPOGV="0" BPOGX="1.16813" BPOGY="1.66530" BPOGV="1" LPCX="0.37474" LPCY="0.54888" LPD="17.10967" LPS="0.87105" LPV="1" RPCX="0.64668" RPCY="0.55863" RPD="16.12876" RPS="0.87105" RPV="0" LEYEX="-0.03020" LEYEY="-0.00875" LEYEZ="0.60130" LPUPILD="0.00416" LPUPILV="1" REYEX="0.03254" REYEY="-0.01073" REYEZ="0.61124" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
