2025-05-28 17:01:58.102116
 REYEZ="0.60349" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55153" FPOGY="0.31466" FPOGS="3462.36792" FPOGD="0.10059" FPOGID="7414" FPOGV="1" LPOGX="0.55141" LPOGY="0.32086" LPOGV="1" RPOGX="0.53905" RPOGY="0.25423" RPOGV="1" BPOGX="0.54523" BPOGY="0.28755" BPOGV="1" LPCX="0.36257" LPCY="0.51932" LPD="23.39252" LPS="0.87108" LPV="1" RPCX="0.64653" RPCY="0.52669" RPD="22.40021" RPS="0.87108" RPV="1" LEYEX="-0.03150" LEYEY="-0.00493" LEYEZ="0.60885" LPUPILD="0.00446" LPUPILV="1" REYEX="0.03357" REYEY="-0.00638" REYEZ="0.60349" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56560" FPOGY="0.33274" FPOGS="3463.17871" FPOGD="0.20068" FPOGID="7417" FPOGV="1" LPOGX="0.56423" LPOGY="0.36828" LPOGV="1" RPOGX="0.57241" RPOGY="0.28093" RPOGV="1" BPOGX="0.56832" BPOGY="0.32461" BPOGV="1" LPCX="0.32978" LPCY="0.53206" LPD="27.61916" LPS="0.77924" LPV="1" RPCX="0.62632" RPCY="0.53127" RPD="25.83708" RPS="0.77924" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00482" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56584" FPOGY="0.33291" FPOGS="3463.17871" FPOGD="0.20752" FPOGID="7417" FPOGV="1" LPOGX="0.58065" LPOGY="0.38358" LPOGV="1" RPOGX="0.56588" RPOGY="0.29271" RPOGV="1" BPOGX="0.57327" BPOGY="0.33815" BPOGV="1" LPCX="0.32968" LPCY="0.53222" LPD="27.43055" LPS="0.78349" LPV="1" RPCX="0.62627" RPCY="0.53130" RPD="25.65864" RPS="0.78349" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00488" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56598" FPOGY="0.33324" FPOGS="3463.17871" FPOGD="0.21411" FPOGID="7417" FPOGV="1" LPOGX="0.58052" LPOGY="0.38747" LPOGV="1" RPOGX="0.56018" RPOGY="0.30001" RPOGV="1" BPOGX="0.57035" BPOGY="0.34374" BPOGV="1" LPCX="0.32968" LPCY="0.53224" LPD="27.49798" LPS="0.78774" LPV="1" RPCX="0.62627" RPCY="0.53130" RPD="25.65864" RPS="0.78774" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00487" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56611" FPOGY="0.33343" FPOGS="3463.17871" FPOGD="0.22095" FPOGID="7417" FPOGV="1" LPOGX="0.58000" LPOGY="0.38384" LPOGV="1" RPOGX="0.56081" RPOGY="0.29579" RPOGV="1" BPOGX="0.57041" BPOGY="0.33981" BPOGV="1" LPCX="0.32966" LPCY="0.53229" LPD="27.47115" LPS="0.79199" LPV="1" RPCX="0.62614" RPCY="0.53135" RPD="25.61471" RPS="0.79199" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00486" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56641" FPOGY="0.33369" FPOGS="3463.17871" FPOGD="0.22754" FPOGID="7417" FPOGV="1" LPOGX="0.57189" LPOGY="0.39640" LPOGV="1" RPOGX="0.58152" RPOGY="0.28881" RPOGV="1" BPOGX="0.57670" BPOGY="0.34261" BPOGV="1" LPCX="0.32958" LPCY="0.53246" LPD="27.74734" LPS="0.79199" LPV="1" RPCX="0.62607" RPCY="0.53145" RPD="25.77431" RPS="0.79199" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00481" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56663" FPOGY="0.33403" FPOGS="3463.17871" FPOGD="0.23462" FPOGID="7417" FPOGV="1" LPOGX="0.56892" LPOGY="0.39713" LPOGV="1" RPOGX="0.57998" RPOGY="0.29456" RPOGV="1" BPOGX="0.57445" BPOGY="0.34585" BPOGV="1" LPCX="0.32959" LPCY="0.53249" LPD="27.73021" LPS="0.79199" LPV="1" RPCX="0.62609" RPCY="0.53143" RPD="25.63412" RPS="0.79199" RPV="1" LEYEX="-0.03745" LEYEY="-0.00702" LEYEZ="0.57814" LPUPILD="0.00480" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56684" FPOGY="0.33435" FPOGS="3463.17871" FPOGD="0.24097" FPOGID="7417" FPOGV="1" LPOGX="0.56892" LPOGY="0.39713" LPOGV="1" RPOGX="0.57998" RPOGY="0.29456" RPOGV="1" BPOGX="0.57445" BPOGY="0.34585" BPOGV="1" LPCX="0.32956" LPCY="0.53251" LPD="27.70407" LPS="0.79199" LPV="1" RPCX="0.62600" RPCY="0.53147" RPD="25.67484" RPS="0.79199" RPV="1" LEYEX="-0.03745" LEYEY="-0.00711" LEYEZ="0.57814" LPUPILD="0.00482" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.56677" FPOGY="0.33385" FPOGS="3463.17871" FPOGD="0.24756" FPOGID="7417" FPOGV="1" LPOGX="0.57279" LPOGY="0.32546" LPOGV="1" RPOGX="0.55533" RPOGY="0.30503" RPOGV="1" BPOGX="0.56406" BPOGY="0.31525" BPOGV="1" LPCX="0.32961" LPCY="0.53262" LPD="27.82228" LPS="0.79199" LPV="1" RPCX="0.62600" RPCY="0.53160" RPD="25.86437" RPS="0.79199" RPV="1" LEYEX="-0.03745" LEYEY="-0.00711" LEYEZ="0.57814" LPUPILD="0.00481" LPUPILV="1" REYEX="0.02842" REYEY="-0.00724" REYEZ="0.59602" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
