2025-05-29 11:39:24.502420
" REYEZ="0.69344" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.12357" FPOGY="0.98366" FPOGS="5715.37500" FPOGD="0.12061" FPOGID="13896" FPOGV="1" LPOGX="1.09668" LPOGY="1.03927" LPOGV="1" RPOGX="1.17697" RPOGY="0.90535" RPOGV="1" BPOGX="1.13682" BPOGY="0.97231" BPOGV="1" LPCX="0.41779" LPCY="0.67899" LPD="20.71278" LPS="1.13593" LPV="1" RPCX="0.66377" RPCY="0.69960" RPD="18.80686" RPS="1.14641" RPV="1" LEYEX="-0.02333" LEYEY="-0.03869" LEYEZ="0.69907" LPUPILD="0.00446" LPUPILV="1" REYEX="0.04376" REYEY="-0.04481" REYEZ="0.72768" RPUPILD="0.00415" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.87060" FPOGY="1.04523" FPOGS="5716.23926" FPOGD="0.16748" FPOGID="13900" FPOGV="1" LPOGX="0.85591" LPOGY="1.04586" LPOGV="1" RPOGX="0.89236" RPOGY="1.02609" RPOGV="1" BPOGX="0.87414" BPOGY="1.03597" BPOGV="1" LPCX="0.39454" LPCY="0.68241" LPD="22.46604" LPS="1.10444" LPV="1" RPCX="0.64207" RPCY="0.69612" RPD="20.55882" RPS="1.11253" RPV="1" LEYEX="-0.02966" LEYEY="-0.04060" LEYEZ="0.72178" LPUPILD="0.00457" LPUPILV="1" REYEX="0.03589" REYEY="-0.04105" REYEZ="0.67996" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.87040" FPOGY="1.04499" FPOGS="5716.23926" FPOGD="0.17432" FPOGID="13900" FPOGV="1" LPOGX="0.82499" LPOGY="1.03243" LPOGV="1" RPOGX="0.90550" RPOGY="1.04532" RPOGV="1" BPOGX="0.86525" BPOGY="1.03888" BPOGV="1" LPCX="0.39433" LPCY="0.68248" LPD="22.52068" LPS="1.13172" LPV="1" RPCX="0.64194" RPCY="0.69591" RPD="20.20945" RPS="1.13981" RPV="1" LEYEX="-0.02966" LEYEY="-0.04060" LEYEZ="0.72178" LPUPILD="0.00451" LPUPILV="1" REYEX="0.03589" REYEY="-0.04105" REYEZ="0.67996" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.87018" FPOGY="1.04478" FPOGS="5716.23926" FPOGD="0.18115" FPOGID="13900" FPOGV="1" LPOGX="0.82601" LPOGY="1.03210" LPOGV="1" RPOGX="0.90255" RPOGY="1.04561" RPOGV="1" BPOGX="0.86428" BPOGY="1.03886" BPOGV="1" LPCX="0.39387" LPCY="0.68239" LPD="22.50412" LPS="1.13981" LPV="1" RPCX="0.64144" RPCY="0.69559" RPD="20.64877" RPS="1.13262" RPV="1" LEYEX="-0.02828" LEYEY="-0.03829" LEYEZ="0.68072" LPUPILD="0.00455" LPUPILV="1" REYEX="0.03326" REYEY="-0.03823" REYEZ="0.63560" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.86957" FPOGY="1.04495" FPOGS="5716.23926" FPOGD="0.18799" FPOGID="13900" FPOGV="1" LPOGX="0.82966" LPOGY="1.03922" LPOGV="1" RPOGX="0.87530" RPOGY="1.06054" RPOGV="1" BPOGX="0.85248" BPOGY="1.04988" BPOGV="1" LPCX="0.39351" LPCY="0.68243" LPD="22.29733" LPS="1.11343" LPV="1" RPCX="0.64119" RPCY="0.69543" RPD="20.60189" RPS="1.09815" RPV="1" LEYEX="-0.02828" LEYEY="-0.03829" LEYEZ="0.68072" LPUPILD="0.00456" LPUPILV="1" REYEX="0.03326" REYEY="-0.03823" REYEZ="0.63560" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.87007" FPOGY="1.04438" FPOGS="5716.23926" FPOGD="0.19482" FPOGID="13900" FPOGV="1" LPOGX="0.86660" LPOGY="1.03067" LPOGV="1" RPOGX="0.90251" RPOGY="1.02467" RPOGV="1" BPOGX="0.88456" BPOGY="1.02767" BPOGV="1" LPCX="0.39329" LPCY="0.68237" LPD="22.34654" LPS="1.07895" LPV="1" RPCX="0.64067" RPCY="0.69520" RPD="21.46478" RPS="1.06367" RPV="1" LEYEX="-0.02828" LEYEY="-0.03829" LEYEZ="0.68072" LPUPILD="0.00457" LPUPILV="1" REYEX="0.03326" REYEY="-0.03823" REYEZ="0.63560" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.87025" FPOGY="1.04389" FPOGS="5716.23926" FPOGD="0.20166" FPOGID="13900" FPOGV="1" LPOGX="0.86072" LPOGY="1.03225" LPOGV="1" RPOGX="0.89058" RPOGY="1.02639" RPOGV="1" BPOGX="0.87565" BPOGY="1.02932" BPOGV="1" LPCX="0.39290" LPCY="0.68230" LPD="22.36157" LPS="1.04448" LPV="1" RPCX="0.64057" RPCY="0.69496" RPD="20.54522" RPS="1.03639" RPV="1" LEYEX="-0.02830" LEYEY="-0.03805" LEYEZ="0.67638" LPUPILD="0.00455" LPUPILV="1" REYEX="0.03422" REYEY="-0.03952" REYEZ="0.65861" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.86924" FPOGY="1.04425" FPOGS="5716.23926" FPOGD="0.20752" FPOGID="13900" FPOGV="1" LPOGX="0.81594" LPOGY="1.05936" LPOGV="1" RPOGX="0.85984" RPOGY="1.05127" RPOGV="1" BPOGX="0.83789" BPOGY="1.05531" BPOGV="1" LPCX="0.39266" LPCY="0.68223" LPD="22.56966" LPS="1.03639" LPV="1" RPCX="0.64014" RPCY="0.69477" RPD="21.42064" RPS="1.04358" RPV="1" LEYEX="-0.02830" LEYEY="-0.03805" LEYEZ="0.67638" LPUPILD="0.00455" LPUPILV="1" REYEX="0.03422" REYEY="-0.03952" REYEZ="0.65861" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.86949" FPOGY="1.04446" FPOGS="5716.23926" FPOGD="0.21436" FPOGID="13900" FPOGV="1" LPOGX="0.87227" LPOGY="1.08505" LPOGV="1" RPOGX="0.88262" RPOGY="1.01723" RPOGV="1" BPOGX="0.87744" BPOGY="1.05114" BPOGV="1" LPCX="0.39248" LPCY="0.68229" LPD="22.37755" LPS="1.04358" LPV="1" RPCX="0.64004" RPCY="0.69471" RPD="21.21051" RPS="1.05077" RPV="1" LEYEX="-0.02830" LEYEY="-0.03805" LEYEZ="0.67638" LPUPILD="0.00457" LPUPILV="1" REYEX="0.03422" REYEY="-0.03952" REYEZ="0.65861" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
