2025-05-27 10:58:22.167013
 REYEZ="0.66032" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.55079" FPOGY="0.23970" FPOGS="2820.94556" FPOGD="0.38794" FPOGID="8324" FPOGV="1" LPOGX="0.62108" LPOGY="0.18128" LPOGV="1" RPOGX="0.46661" RPOGY="0.28356" RPOGV="1" BPOGX="0.54384" BPOGY="0.23242" BPOGV="1" LPCX="0.33960" LPCY="0.74633" LPD="24.13029" LPS="1.07343" LPV="1" RPCX="0.61182" RPCY="0.79850" RPD="18.36272" RPS="1.06534" RPV="1" LEYEX="-0.04116" LEYEY="-0.05214" LEYEZ="0.67103" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02817" REYEY="-0.06200" REYEZ="0.66032" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53905" FPOGY="0.23413" FPOGS="2821.69556" FPOGD="0.55566" FPOGID="8325" FPOGV="1" LPOGX="0.60904" LPOGY="0.17641" LPOGV="1" RPOGX="0.45358" RPOGY="0.27677" RPOGV="1" BPOGX="0.53131" BPOGY="0.22659" BPOGV="1" LPCX="0.34452" LPCY="0.74631" LPD="25.34411" LPS="1.06571" LPV="1" RPCX="0.61636" RPCY="0.80146" RPD="18.35415" RPS="1.05762" RPV="1" LEYEX="-0.04030" LEYEY="-0.05270" LEYEZ="0.67691" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02948" REYEY="-0.06295" REYEZ="0.66296" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53890" FPOGY="0.23381" FPOGS="2821.69556" FPOGD="0.56250" FPOGID="8325" FPOGV="1" LPOGX="0.59440" LPOGY="0.24842" LPOGV="1" RPOGX="0.47444" RPOGY="0.27376" RPOGV="1" BPOGX="0.53442" BPOGY="0.26109" BPOGV="1" LPCX="0.34471" LPCY="0.74582" LPD="25.21120" LPS="1.06552" LPV="1" RPCX="0.61644" RPCY="0.80081" RPD="17.64696" RPS="1.05744" RPV="1" LEYEX="-0.04030" LEYEY="-0.05270" LEYEZ="0.67691" LPUPILD="0.00470" LPUPILV="1" REYEX="0.02948" REYEY="-0.06295" REYEZ="0.66296" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53876" FPOGY="0.23332" FPOGS="2821.69556" FPOGD="0.56934" FPOGID="8325" FPOGV="1" LPOGX="0.59441" LPOGY="0.24856" LPOGV="1" RPOGX="0.47471" RPOGY="0.26766" RPOGV="1" BPOGX="0.53456" BPOGY="0.25811" BPOGV="1" LPCX="0.34476" LPCY="0.74569" LPD="25.24045" LPS="1.06534" LPV="1" RPCX="0.61650" RPCY="0.80046" RPD="17.80828" RPS="1.06534" RPV="1" LEYEX="-0.03993" LEYEY="-0.05222" LEYEZ="0.67401" LPUPILD="0.00466" LPUPILV="1" REYEX="0.03054" REYEY="-0.06479" REYEZ="0.68565" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53915" FPOGY="0.23326" FPOGS="2821.69556" FPOGD="0.57617" FPOGID="8325" FPOGV="1" LPOGX="0.62208" LPOGY="0.19803" LPOGV="1" RPOGX="0.49458" RPOGY="0.26094" RPOGV="1" BPOGX="0.55833" BPOGY="0.22949" BPOGV="1" LPCX="0.34508" LPCY="0.74442" LPD="25.36185" LPS="1.06534" LPV="1" RPCX="0.61681" RPCY="0.79957" RPD="17.62371" RPS="1.07343" RPV="1" LEYEX="-0.03993" LEYEY="-0.05222" LEYEZ="0.67401" LPUPILD="0.00466" LPUPILV="1" REYEX="0.03054" REYEY="-0.06479" REYEZ="0.68565" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53918" FPOGY="0.23221" FPOGS="2821.69556" FPOGD="0.58252" FPOGID="8325" FPOGV="1" LPOGX="0.60834" LPOGY="0.19561" LPOGV="1" RPOGX="0.46237" RPOGY="0.18957" RPOGV="1" BPOGX="0.53535" BPOGY="0.19259" BPOGV="1" LPCX="0.34520" LPCY="0.74359" LPD="25.19141" LPS="1.07343" LPV="1" RPCX="0.61682" RPCY="0.79894" RPD="17.59687" RPS="1.08152" RPV="1" LEYEX="-0.03993" LEYEY="-0.05222" LEYEZ="0.67401" LPUPILD="0.00467" LPUPILV="1" REYEX="0.03054" REYEY="-0.06479" REYEZ="0.68565" RPUPILD="0.00361" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53920" FPOGY="0.23101" FPOGS="2821.69556" FPOGD="0.58911" FPOGID="8325" FPOGV="1" LPOGX="0.60833" LPOGY="0.19546" LPOGV="1" RPOGX="0.46219" RPOGY="0.19615" RPOGV="1" BPOGX="0.53526" BPOGY="0.19581" BPOGV="1" LPCX="0.34527" LPCY="0.74340" LPD="25.36130" LPS="1.07361" LPV="1" RPCX="0.61697" RPCY="0.79835" RPD="18.62462" RPS="1.07361" RPV="1" LEYEX="-0.03899" LEYEY="-0.05064" LEYEZ="0.66066" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02967" REYEY="-0.06214" REYEZ="0.66279" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53904" FPOGY="0.23002" FPOGS="2821.69556" FPOGD="0.59619" FPOGID="8325" FPOGV="1" LPOGX="0.60684" LPOGY="0.16780" LPOGV="1" RPOGX="0.46461" RPOGY="0.23342" RPOGV="1" BPOGX="0.53572" BPOGY="0.20061" BPOGV="1" LPCX="0.34559" LPCY="0.74149" LPD="25.45012" LPS="1.06571" LPV="1" RPCX="0.61705" RPCY="0.79658" RPD="17.85062" RPS="1.05762" RPV="1" LEYEX="-0.03899" LEYEY="-0.05064" LEYEZ="0.66066" LPUPILD="0.00470" LPUPILV="1" REYEX="0.02967" REYEY="-0.06214" REYEZ="0.66279" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53889" FPOGY="0.22976" FPOGS="2821.69556" FPOGD="0.60376" FPOGID="8325" FPOGV="1" LPOGX="0.61924" LPOGY="0.21284" LPOGV="1" RPOGX="0.46430" RPOGY="0.25560" RPOGV="1" BPOGX="0.54177" BPOGY="0.23422" BPOGV="1" LPCX="0.34573" LPCY="0.74004" LPD="24.55683" LPS="1.04971" LPV="1" RPCX="0.61713" RPCY="0.79588" RPD="17.58700" RPS="1.04163" RPV="1" LEYEX="-0.03899" LEYEY="-0.05064" LEYEZ="0.66066" LPUPILD="0.00475" LPUPILV="1" REYEX="0.02967" REYEY="-0.06214" REYEZ="0.66279" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
