2025-05-28 12:24:12.739889
EYEZ="0.68274" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55326" FPOGY="0.22518" FPOGS="2038.59473" FPOGD="0.52185" FPOGID="4570" FPOGV="1" LPOGX="0.61628" LPOGY="0.12308" LPOGV="1" RPOGX="0.48753" RPOGY="0.23912" RPOGV="1" BPOGX="0.55190" BPOGY="0.18110" BPOGV="1" LPCX="0.31216" LPCY="0.46552" LPD="19.19468" LPS="1.18283" LPV="1" RPCX="0.57431" RPCY="0.52523" RPD="22.06899" RPS="1.16319" RPV="1" LEYEX="-0.05131" LEYEY="0.00590" LEYEZ="0.71495" LPUPILD="0.00397" LPUPILV="1" REYEX="0.01945" REYEY="-0.00655" REYEZ="0.68274" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.61192" LPOGY="0.58672" LPOGV="0" RPOGX="0.44558" RPOGY="0.44389" RPOGV="0" BPOGX="0.61192" BPOGY="0.58672" BPOGV="0" LPCX="0.30980" LPCY="0.47663" LPD="12.19410" LPS="1.16057" LPV="0" RPCX="0.57257" RPCY="0.53073" RPD="15.58923" RPS="1.16057" RPV="0" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00301" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00381" RPUPILV="1" BKID="507" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.28138" FPOGY="0.20491" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.66276" LPOGY="0.33734" LPOGV="1" RPOGX="0.46276" RPOGY="0.48229" RPOGV="1" BPOGX="0.56276" BPOGY="0.40982" BPOGV="1" LPCX="0.30734" LPCY="0.47581" LPD="16.60029" LPS="1.16057" LPV="1" RPCX="0.56947" RPCY="0.53180" RPD="16.55922" RPS="1.16057" RPV="1" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00380" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.25112" BKPMIN="13" />
<REC FPOGX="0.55774" FPOGY="0.40770" FPOGS="2039.72009" FPOGD="0.06030" FPOGID="4573" FPOGV="0" LPOGX="0.64012" LPOGY="0.29914" LPOGV="1" RPOGX="0.46531" RPOGY="0.51201" RPOGV="1" BPOGX="0.55272" BPOGY="0.40558" BPOGV="1" LPCX="0.30685" LPCY="0.47582" LPD="16.89804" LPS="1.16057" LPV="1" RPCX="0.56936" RPCY="0.53104" RPD="17.39019" RPS="1.16057" RPV="1" LEYEX="-0.05068" LEYEY="0.00419" LEYEZ="0.69755" LPUPILD="0.00364" LPUPILV="1" REYEX="0.01956" REYEY="-0.00759" REYEZ="0.70316" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
