2025-05-29 11:25:15.928800
YEZ="0.72988" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54077" FPOGY="0.27159" FPOGS="4866.75928" FPOGD="0.18750" FPOGID="10709" FPOGV="1" LPOGX="0.63654" LPOGY="0.28214" LPOGV="1" RPOGX="0.41131" RPOGY="0.29487" RPOGV="1" BPOGX="0.52393" BPOGY="0.28851" BPOGV="1" LPCX="0.33775" LPCY="0.36162" LPD="23.49291" LPS="1.17323" LPV="1" RPCX="0.60473" RPCY="0.37344" RPD="24.87499" RPS="1.16276" RPV="1" LEYEX="-0.04391" LEYEY="0.02875" LEYEZ="0.70476" LPUPILD="0.00519" LPUPILV="1" REYEX="0.02934" REYEY="0.02721" REYEZ="0.72988" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53693" FPOGY="0.34840" FPOGS="4867.38281" FPOGD="0.48145" FPOGID="10712" FPOGV="1" LPOGX="0.65878" LPOGY="0.35175" LPOGV="1" RPOGX="0.42998" RPOGY="0.29579" RPOGV="1" BPOGX="0.54438" BPOGY="0.32377" BPOGV="1" LPCX="0.34352" LPCY="0.36103" LPD="23.17621" LPS="1.20315" LPV="1" RPCX="0.61005" RPCY="0.37368" RPD="25.89290" RPS="1.20315" RPV="1" LEYEX="-0.04175" LEYEY="0.02862" LEYEZ="0.69511" LPUPILD="0.00540" LPUPILV="1" REYEX="0.03115" REYEY="0.02734" REYEZ="0.73653" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53727" FPOGY="0.34833" FPOGS="4867.38281" FPOGD="0.48828" FPOGID="10712" FPOGV="1" LPOGX="0.67694" LPOGY="0.34053" LPOGV="1" RPOGX="0.42899" RPOGY="0.31175" RPOGV="1" BPOGX="0.55296" BPOGY="0.32614" BPOGV="1" LPCX="0.34374" LPCY="0.36108" LPD="22.99384" LPS="1.20315" LPV="1" RPCX="0.61005" RPCY="0.37368" RPD="25.89290" RPS="1.20315" RPV="1" LEYEX="-0.04175" LEYEY="0.02862" LEYEZ="0.69511" LPUPILD="0.00535" LPUPILV="1" REYEX="0.03115" REYEY="0.02734" REYEZ="0.73653" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53761" FPOGY="0.34859" FPOGS="4867.38281" FPOGD="0.49512" FPOGID="10712" FPOGV="1" LPOGX="0.67694" LPOGY="0.34053" LPOGV="1" RPOGX="0.42899" RPOGY="0.31175" RPOGV="1" BPOGX="0.55296" BPOGY="0.32614" BPOGV="1" LPCX="0.34374" LPCY="0.36109" LPD="23.13585" LPS="1.20315" LPV="1" RPCX="0.61008" RPCY="0.37366" RPD="25.86854" RPS="1.20315" RPV="1" LEYEX="-0.04232" LEYEY="0.02906" LEYEZ="0.70455" LPUPILD="0.00527" LPUPILV="1" REYEX="0.03115" REYEY="0.02734" REYEZ="0.73653" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53787" FPOGY="0.34854" FPOGS="4867.38281" FPOGD="0.50195" FPOGID="10712" FPOGV="1" LPOGX="0.67385" LPOGY="0.40097" LPOGV="1" RPOGX="0.39972" RPOGY="0.30269" RPOGV="1" BPOGX="0.53679" BPOGY="0.35183" BPOGV="1" LPCX="0.34375" LPCY="0.36106" LPD="23.16242" LPS="1.20315" LPV="1" RPCX="0.61015" RPCY="0.37357" RPD="25.99780" RPS="1.20315" RPV="1" LEYEX="-0.04232" LEYEY="0.02906" LEYEZ="0.70455" LPUPILD="0.00525" LPUPILV="1" REYEX="0.03115" REYEY="0.02734" REYEZ="0.73653" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53838" FPOGY="0.34880" FPOGS="4867.38281" FPOGD="0.50830" FPOGID="10712" FPOGV="1" LPOGX="0.68862" LPOGY="0.40557" LPOGV="1" RPOGX="0.40783" RPOGY="0.30670" RPOGV="1" BPOGX="0.54823" BPOGY="0.35614" BPOGV="1" LPCX="0.34374" LPCY="0.36101" LPD="23.00683" LPS="1.20315" LPV="1" RPCX="0.61023" RPCY="0.37362" RPD="25.99219" RPS="1.20315" RPV="1" LEYEX="-0.04232" LEYEY="0.02906" LEYEZ="0.70455" LPUPILD="0.00526" LPUPILV="1" REYEX="0.03115" REYEY="0.02734" REYEZ="0.73653" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53889" FPOGY="0.34937" FPOGS="4867.38281" FPOGD="0.51611" FPOGID="10712" FPOGV="1" LPOGX="0.68857" LPOGY="0.41058" LPOGV="1" RPOGX="0.40827" RPOGY="0.31944" RPOGV="1" BPOGX="0.54842" BPOGY="0.36501" BPOGV="1" LPCX="0.34377" LPCY="0.36102" LPD="23.07906" LPS="1.19419" LPV="1" RPCX="0.61023" RPCY="0.37362" RPD="25.99219" RPS="1.18371" RPV="1" LEYEX="-0.04092" LEYEY="0.02814" LEYEZ="0.68218" LPUPILD="0.00524" LPUPILV="1" REYEX="0.03009" REYEY="0.02637" REYEZ="0.71021" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53921" FPOGY="0.35093" FPOGS="4867.38281" FPOGD="0.52197" FPOGID="10712" FPOGV="1" LPOGX="0.68918" LPOGY="0.42265" LPOGV="1" RPOGX="0.41651" RPOGY="0.32041" RPOGV="1" BPOGX="0.55284" BPOGY="0.37153" BPOGV="1" LPCX="0.34379" LPCY="0.36096" LPD="22.94312" LPS="1.17475" LPV="1" RPCX="0.61022" RPCY="0.37358" RPD="26.10941" RPS="1.16428" RPV="1" LEYEX="-0.04092" LEYEY="0.02814" LEYEZ="0.68218" LPUPILD="0.00527" LPUPILV="1" REYEX="0.03009" REYEY="0.02637" REYEZ="0.71021" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53974" FPOGY="0.35215" FPOGS="4867.38281" FPOGD="0.52881" FPOGID="10712" FPOGV="1" LPOGX="0.69786" LPOGY="0.40455" LPOGV="1" RPOGX="0.41836" RPOGY="0.32153" RPOGV="1" BPOGX="0.55811" BPOGY="0.36304" BPOGV="1" LPCX="0.34376" LPCY="0.36089" LPD="22.54067" LPS="1.15532" LPV="1" RPCX="0.61035" RPCY="0.37353" RPD="25.80254" RPS="1.14484" RPV="1" LEYEX="-0.04092" LEYEY="0.02814" LEYEZ="0.68218" LPUPILD="0.00526" LPUPILV="1" REYEX="0.03009" REYEY="0.02637" REYEZ="0.71021" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
