2025-05-29 11:24:38.304723
YEZ="0.68585" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52122" FPOGY="0.24263" FPOGS="4828.59863" FPOGD="0.72412" FPOGID="10581" FPOGV="1" LPOGX="0.63430" LPOGY="0.23376" LPOGV="1" RPOGX="0.42332" RPOGY="0.27837" RPOGV="1" BPOGX="0.52881" BPOGY="0.25606" BPOGV="1" LPCX="0.28699" LPCY="0.37053" LPD="29.15933" LPS="1.10658" LPV="1" RPCX="0.55878" RPCY="0.38043" RPD="28.54585" RPS="1.10658" RPV="1" LEYEX="-0.05524" LEYEY="0.02570" LEYEZ="0.67718" LPUPILD="0.00561" LPUPILV="1" REYEX="0.01553" REYEY="0.02397" REYEZ="0.68585" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53308" FPOGY="0.26443" FPOGS="4830.18604" FPOGD="0.04688" FPOGID="10585" FPOGV="1" LPOGX="0.61026" LPOGY="0.27791" LPOGV="1" RPOGX="0.40178" RPOGY="0.26480" RPOGV="1" BPOGX="0.50602" BPOGY="0.27135" BPOGV="1" LPCX="0.29149" LPCY="0.37013" LPD="28.42189" LPS="1.12533" LPV="1" RPCX="0.56276" RPCY="0.38047" RPD="28.22493" RPS="1.12533" RPV="1" LEYEX="-0.05511" LEYEY="0.02621" LEYEZ="0.68940" LPUPILD="0.00551" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.53008" FPOGY="0.26520" FPOGS="4830.18604" FPOGD="0.05371" FPOGID="10585" FPOGV="1" LPOGX="0.61026" LPOGY="0.27791" LPOGV="1" RPOGX="0.40178" RPOGY="0.26480" RPOGV="1" BPOGX="0.50602" BPOGY="0.27135" BPOGV="1" LPCX="0.29148" LPCY="0.37014" LPD="28.43426" LPS="1.12533" LPV="1" RPCX="0.56277" RPCY="0.38048" RPD="28.17495" RPS="1.12533" RPV="1" LEYEX="-0.05402" LEYEY="0.02575" LEYEZ="0.67586" LPUPILD="0.00553" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52843" FPOGY="0.26551" FPOGS="4830.18604" FPOGD="0.06006" FPOGID="10585" FPOGV="1" LPOGX="0.61942" LPOGY="0.28174" LPOGV="1" RPOGX="0.40777" RPOGY="0.25481" RPOGV="1" BPOGX="0.51359" BPOGY="0.26827" BPOGV="1" LPCX="0.29156" LPCY="0.37014" LPD="28.54074" LPS="1.12533" LPV="1" RPCX="0.56283" RPCY="0.38044" RPD="28.08142" RPS="1.12533" RPV="1" LEYEX="-0.05402" LEYEY="0.02575" LEYEZ="0.67586" LPUPILD="0.00550" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52754" FPOGY="0.26621" FPOGS="4830.18604" FPOGD="0.06689" FPOGID="10585" FPOGV="1" LPOGX="0.62468" LPOGY="0.27852" LPOGV="1" RPOGX="0.41259" RPOGY="0.26779" RPOGV="1" BPOGX="0.51863" BPOGY="0.27315" BPOGV="1" LPCX="0.29157" LPCY="0.37011" LPD="28.59127" LPS="1.12533" LPV="1" RPCX="0.56283" RPCY="0.38047" RPD="28.08321" RPS="1.12533" RPV="1" LEYEX="-0.05402" LEYEY="0.02575" LEYEZ="0.67586" LPUPILD="0.00551" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52677" FPOGY="0.26625" FPOGS="4830.18604" FPOGD="0.07373" FPOGID="10585" FPOGV="1" LPOGX="0.62425" LPOGY="0.27225" LPOGV="1" RPOGX="0.41241" RPOGY="0.26121" RPOGV="1" BPOGX="0.51833" BPOGY="0.26673" BPOGV="1" LPCX="0.29162" LPCY="0.37003" LPD="28.52267" LPS="1.13429" LPV="1" RPCX="0.56282" RPCY="0.38047" RPD="28.06962" RPS="1.13429" RPV="1" LEYEX="-0.05596" LEYEY="0.02665" LEYEZ="0.70074" LPUPILD="0.00550" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52679" FPOGY="0.26529" FPOGS="4830.18604" FPOGD="0.08057" FPOGID="10585" FPOGV="1" LPOGX="0.63534" LPOGY="0.26002" LPOGV="1" RPOGX="0.41864" RPOGY="0.24743" RPOGV="1" BPOGX="0.52699" BPOGY="0.25373" BPOGV="1" LPCX="0.29173" LPCY="0.37005" LPD="28.41569" LPS="1.14325" LPV="1" RPCX="0.56300" RPCY="0.38037" RPD="28.04208" RPS="1.14325" RPV="1" LEYEX="-0.05596" LEYEY="0.02665" LEYEZ="0.70074" LPUPILD="0.00549" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52714" FPOGY="0.26452" FPOGS="4830.18604" FPOGD="0.08691" FPOGID="10585" FPOGV="1" LPOGX="0.63701" LPOGY="0.25926" LPOGV="1" RPOGX="0.42655" RPOGY="0.24981" RPOGV="1" BPOGX="0.53178" BPOGY="0.25454" BPOGV="1" LPCX="0.29178" LPCY="0.37005" LPD="28.44535" LPS="1.15220" LPV="1" RPCX="0.56301" RPCY="0.38036" RPD="28.08377" RPS="1.15220" RPV="1" LEYEX="-0.05596" LEYEY="0.02665" LEYEZ="0.70074" LPUPILD="0.00548" LPUPILV="1" REYEX="0.01708" REYEY="0.02465" REYEZ="0.70541" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52746" FPOGY="0.26408" FPOGS="4830.18604" FPOGD="0.09326" FPOGID="10585" FPOGV="1" LPOGX="0.63701" LPOGY="0.25926" LPOGV="1" RPOGX="0.42662" RPOGY="0.25653" RPOGV="1" BPOGX="0.53182" BPOGY="0.25789" BPOGV="1" LPCX="0.29184" LPCY="0.37008" LPD="28.49021" LPS="1.15220" LPV="1" RPCX="0.56303" RPCY="0.38031" RPD="28.20955" RPS="1.14304" RPV="1" LEYEX="-0.05457" LEYEY="0.02606" LEYEZ="0.68395" LPUPILD="0.00547" LPUPILV="1" REYEX="0.01659" REYEY="0.02387" REYEZ="0.68284" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
