2025-05-28 16:10:25.808091
YEZ="0.60748" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56516" FPOGY="0.34994" FPOGS="369.69525" FPOGD="0.48221" FPOGID="1266" FPOGV="1" LPOGX="0.58894" LPOGY="0.38549" LPOGV="1" RPOGX="0.54046" RPOGY="0.29554" RPOGV="1" BPOGX="0.56470" BPOGY="0.34052" BPOGV="1" LPCX="0.30310" LPCY="0.73968" LPD="23.74370" LPS="0.89259" LPV="1" RPCX="0.55698" RPCY="0.72697" RPD="24.68012" RPS="0.89259" RPV="1" LEYEX="-0.04640" LEYEY="-0.04665" LEYEZ="0.61700" LPUPILD="0.00475" LPUPILV="1" REYEX="0.01293" REYEY="-0.04374" REYEZ="0.60748" RPUPILD="0.00531" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57110" FPOGY="0.37144" FPOGS="371.02808" FPOGD="0.06021" FPOGID="1267" FPOGV="1" LPOGX="0.59591" LPOGY="0.36587" LPOGV="1" RPOGX="0.54936" RPOGY="0.34124" RPOGV="1" BPOGX="0.57264" BPOGY="0.35356" BPOGV="1" LPCX="0.30041" LPCY="0.74142" LPD="23.28825" LPS="0.89385" LPV="1" RPCX="0.55430" RPCY="0.72849" RPD="26.28750" RPS="0.89385" RPV="1" LEYEX="-0.04643" LEYEY="-0.04644" LEYEZ="0.60946" LPUPILD="0.00476" LPUPILV="1" REYEX="0.01241" REYEY="-0.04399" REYEZ="0.60838" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57100" FPOGY="0.37025" FPOGS="371.02808" FPOGD="0.06720" FPOGID="1267" FPOGV="1" LPOGX="0.59333" LPOGY="0.38610" LPOGV="1" RPOGX="0.54660" RPOGY="0.33070" RPOGV="1" BPOGX="0.56997" BPOGY="0.35840" BPOGV="1" LPCX="0.30033" LPCY="0.74147" LPD="23.36592" LPS="0.88190" LPV="1" RPCX="0.55414" RPCY="0.72852" RPD="26.33001" RPS="0.88190" RPV="1" LEYEX="-0.04643" LEYEY="-0.04644" LEYEZ="0.60946" LPUPILD="0.00475" LPUPILV="1" REYEX="0.01241" REYEY="-0.04399" REYEZ="0.60838" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57096" FPOGY="0.36925" FPOGS="371.02808" FPOGD="0.07391" FPOGID="1267" FPOGV="1" LPOGX="0.59394" LPOGY="0.39092" LPOGV="1" RPOGX="0.54730" RPOGY="0.32563" RPOGV="1" BPOGX="0.57062" BPOGY="0.35828" BPOGV="1" LPCX="0.30031" LPCY="0.74147" LPD="23.36347" LPS="0.87562" LPV="1" RPCX="0.55410" RPCY="0.72854" RPD="26.23676" RPS="0.88784" RPV="1" LEYEX="-0.04686" LEYEY="-0.04683" LEYEZ="0.61454" LPUPILD="0.00476" LPUPILV="1" REYEX="0.01302" REYEY="-0.04650" REYEZ="0.64314" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56981" FPOGY="0.36849" FPOGS="371.02808" FPOGD="0.08066" FPOGID="1267" FPOGV="1" LPOGX="0.57806" LPOGY="0.38554" LPOGV="1" RPOGX="0.53393" RPOGY="0.33316" RPOGV="1" BPOGX="0.55599" BPOGY="0.35935" BPOGV="1" LPCX="0.30021" LPCY="0.74165" LPD="23.11120" LPS="0.89350" LPV="1" RPCX="0.55391" RPCY="0.72863" RPD="26.59089" RPS="0.90572" RPV="1" LEYEX="-0.04686" LEYEY="-0.04683" LEYEZ="0.61454" LPUPILD="0.00480" LPUPILV="1" REYEX="0.01302" REYEY="-0.04650" REYEZ="0.64314" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56950" FPOGY="0.36751" FPOGS="371.02808" FPOGD="0.08698" FPOGID="1267" FPOGV="1" LPOGX="0.59942" LPOGY="0.38527" LPOGV="1" RPOGX="0.53147" RPOGY="0.32429" RPOGV="1" BPOGX="0.56544" BPOGY="0.35478" BPOGV="1" LPCX="0.30017" LPCY="0.74166" LPD="23.15893" LPS="0.91138" LPV="1" RPCX="0.55391" RPCY="0.72865" RPD="26.31065" RPS="0.92360" RPV="1" LEYEX="-0.04686" LEYEY="-0.04683" LEYEZ="0.61454" LPUPILD="0.00477" LPUPILV="1" REYEX="0.01302" REYEY="-0.04650" REYEZ="0.64314" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56920" FPOGY="0.36574" FPOGS="371.02808" FPOGD="0.09387" FPOGID="1267" FPOGV="1" LPOGX="0.59733" LPOGY="0.36729" LPOGV="1" RPOGX="0.53263" RPOGY="0.31444" RPOGV="1" BPOGX="0.56498" BPOGY="0.34087" BPOGV="1" LPCX="0.30009" LPCY="0.74165" LPD="23.04696" LPS="0.93554" LPV="1" RPCX="0.55387" RPCY="0.72867" RPD="26.21266" RPS="0.93554" RPV="1" LEYEX="-0.04861" LEYEY="-0.04853" LEYEZ="0.63691" LPUPILD="0.00476" LPUPILV="1" REYEX="0.01219" REYEY="-0.04386" REYEZ="0.60660" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56877" FPOGY="0.36445" FPOGS="371.02808" FPOGD="0.10034" FPOGID="1267" FPOGV="1" LPOGX="0.57668" LPOGY="0.36622" LPOGV="1" RPOGX="0.54810" RPOGY="0.32418" RPOGV="1" BPOGX="0.56239" BPOGY="0.34520" BPOGV="1" LPCX="0.29981" LPCY="0.74172" LPD="22.99708" LPS="0.94183" LPV="1" RPCX="0.55373" RPCY="0.72871" RPD="26.39725" RPS="0.92961" RPV="1" LEYEX="-0.04861" LEYEY="-0.04853" LEYEZ="0.63691" LPUPILD="0.00478" LPUPILV="1" REYEX="0.01219" REYEY="-0.04386" REYEZ="0.60660" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56779" FPOGY="0.36362" FPOGS="371.02808" FPOGD="0.10699" FPOGID="1267" FPOGV="1" LPOGX="0.56702" LPOGY="0.36594" LPOGV="1" RPOGX="0.53694" RPOGY="0.33465" RPOGV="1" BPOGX="0.55198" BPOGY="0.35030" BPOGV="1" LPCX="0.29978" LPCY="0.74175" LPD="23.06121" LPS="0.93589" LPV="1" RPCX="0.55362" RPCY="0.72869" RPD="26.55817" RPS="0.92367" RPV="1" LEYEX="-0.04861" LEYEY="-0.04853" LEYEZ="0.63691" LPUPILD="0.00478" LPUPILV="1" REYEX="0.01219" REYEY="-0.04386" REYEZ="0.60660" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
