2025-05-30 11:21:13.816156
1" REYEZ="0.57968" RPUPILD="0.00573" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.58287" FPOGY="0.39648" FPOGS="5121.62109" FPOGD="1.54736" FPOGID="11267" FPOGV="1" LPOGX="0.62661" LPOGY="0.45970" LPOGV="1" RPOGX="0.53028" RPOGY="0.39109" RPOGV="1" BPOGX="0.57844" BPOGY="0.42539" BPOGV="1" LPCX="0.40244" LPCY="0.56494" LPD="23.52781" LPS="0.80412" LPV="1" RPCX="0.66777" RPCY="0.53697" RPD="27.65579" RPS="0.79501" RPV="1" LEYEX="-0.02127" LEYEY="-0.01289" LEYEZ="0.57660" LPUPILD="0.00498" LPUPILV="1" REYEX="0.03690" REYEY="-0.00791" REYEZ="0.57968" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.58906" FPOGY="0.43016" FPOGS="5123.88574" FPOGD="0.20068" FPOGID="11268" FPOGV="1" LPOGX="0.59470" LPOGY="0.39210" LPOGV="1" RPOGX="0.56888" RPOGY="0.40299" RPOGV="1" BPOGX="0.58179" BPOGY="0.39754" BPOGV="1" LPCX="0.36320" LPCY="0.58525" LPD="24.92174" LPS="0.82237" LPV="1" RPCX="0.62812" RPCY="0.54145" RPD="27.25229" RPS="0.82237" RPV="1" LEYEX="-0.03108" LEYEY="-0.01691" LEYEZ="0.59639" LPUPILD="0.00510" LPUPILV="1" REYEX="0.02817" REYEY="-0.00861" REYEZ="0.57976" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58915" FPOGY="0.42895" FPOGS="5123.88574" FPOGD="0.20703" FPOGID="11268" FPOGV="1" LPOGX="0.63173" LPOGY="0.39363" LPOGV="1" RPOGX="0.55206" RPOGY="0.38872" RPOGV="1" BPOGX="0.59190" BPOGY="0.39118" BPOGV="1" LPCX="0.36270" LPCY="0.58501" LPD="24.39479" LPS="0.81725" LPV="1" RPCX="0.62798" RPCY="0.54150" RPD="27.20383" RPS="0.81725" RPV="1" LEYEX="-0.03108" LEYEY="-0.01691" LEYEZ="0.59639" LPUPILD="0.00504" LPUPILV="1" REYEX="0.02817" REYEY="-0.00861" REYEZ="0.57976" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58923" FPOGY="0.42780" FPOGS="5123.88574" FPOGD="0.21338" FPOGID="11268" FPOGV="1" LPOGX="0.63173" LPOGY="0.39363" LPOGV="1" RPOGX="0.55206" RPOGY="0.38872" RPOGV="1" BPOGX="0.59190" BPOGY="0.39118" BPOGV="1" LPCX="0.36292" LPCY="0.58526" LPD="24.89584" LPS="0.81725" LPV="1" RPCX="0.62803" RPCY="0.54113" RPD="26.92141" RPS="0.81725" RPV="1" LEYEX="-0.03225" LEYEY="-0.01747" LEYEZ="0.61619" LPUPILD="0.00508" LPUPILV="1" REYEX="0.02841" REYEY="-0.00874" REYEZ="0.58847" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58895" FPOGY="0.42669" FPOGS="5123.88574" FPOGD="0.22070" FPOGID="11268" FPOGV="1" LPOGX="0.60194" LPOGY="0.39849" LPOGV="1" RPOGX="0.55744" RPOGY="0.38187" RPOGV="1" BPOGX="0.57969" BPOGY="0.39018" BPOGV="1" LPCX="0.36265" LPCY="0.58538" LPD="24.90539" LPS="0.82237" LPV="1" RPCX="0.62763" RPCY="0.54110" RPD="27.81664" RPS="0.82237" RPV="1" LEYEX="-0.03225" LEYEY="-0.01747" LEYEZ="0.61619" LPUPILD="0.00508" LPUPILV="1" REYEX="0.02841" REYEY="-0.00874" REYEZ="0.58847" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58919" FPOGY="0.42534" FPOGS="5123.88574" FPOGD="0.22754" FPOGID="11268" FPOGV="1" LPOGX="0.62198" LPOGY="0.39833" LPOGV="1" RPOGX="0.57278" RPOGY="0.36017" RPOGV="1" BPOGX="0.59738" BPOGY="0.37925" BPOGV="1" LPCX="0.36243" LPCY="0.58545" LPD="24.64595" LPS="0.82749" LPV="1" RPCX="0.62737" RPCY="0.54116" RPD="27.72861" RPS="0.82749" RPV="1" LEYEX="-0.03225" LEYEY="-0.01747" LEYEZ="0.61619" LPUPILD="0.00506" LPUPILV="1" REYEX="0.02841" REYEY="-0.00874" REYEZ="0.58847" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58832" FPOGY="0.39685" FPOGS="5123.88574" FPOGD="0.22754" FPOGID="11268" FPOGV="0" LPOGX="0.62230" LPOGY="0.40209" LPOGV="1" RPOGX="0.57280" RPOGY="0.36007" RPOGV="1" BPOGX="0.59755" BPOGY="0.38108" BPOGV="1" LPCX="0.36235" LPCY="0.58540" LPD="24.76592" LPS="0.82283" LPV="1" RPCX="0.62769" RPCY="0.54082" RPD="27.52247" RPS="0.82759" RPV="1" LEYEX="-0.03046" LEYEY="-0.01646" LEYEZ="0.58050" LPUPILD="0.00508" LPUPILV="1" REYEX="0.02842" REYEY="-0.00878" REYEZ="0.59144" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58518" FPOGY="0.39650" FPOGS="5123.88574" FPOGD="0.22754" FPOGID="11268" FPOGV="0" LPOGX="0.62066" LPOGY="0.41659" LPOGV="1" RPOGX="0.54344" RPOGY="0.37571" RPOGV="1" BPOGX="0.58205" BPOGY="0.39615" BPOGV="1" LPCX="0.36204" LPCY="0.58547" LPD="24.75854" LPS="0.81782" LPV="1" RPCX="0.62695" RPCY="0.54109" RPD="27.74793" RPS="0.82258" RPV="1" LEYEX="-0.03046" LEYEY="-0.01646" LEYEZ="0.58050" LPUPILD="0.00507" LPUPILV="1" REYEX="0.02842" REYEY="-0.00878" REYEZ="0.59144" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.58827" FPOGY="0.39860" FPOGS="5123.88574" FPOGD="0.22754" FPOGID="11268" FPOGV="0" LPOGX="0.60845" LPOGY="0.42403" LPOGV="1" RPOGX="0.58044" RPOGY="0.38160" RPOGV="1" BPOGX="0.59445" BPOGY="0.40282" BPOGV="1" LPCX="0.36184" LPCY="0.58553" LPD="24.78208" LPS="0.81281" LPV="1" RPCX="0.62668" RPCY="0.54139" RPD="27.57635" RPS="0.81757" RPV="1" LEYEX="-0.03046" LEYEY="-0.01646" LEYEZ="0.58050" LPUPILD="0.00507" LPUPILV="1" REYEX="0.02842" REYEY="-0.00878" REYEZ="0.59144" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
