2025-05-22 10:52:01.436968
Z="0.70515" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.51449" FPOGY="0.37752" FPOGS="1926.32324" FPOGD="0.14050" FPOGID="4937" FPOGV="0" LPOGX="0.72335" LPOGY="0.40862" LPOGV="1" RPOGX="0.46868" RPOGY="0.41071" RPOGV="1" BPOGX="0.59601" BPOGY="0.40967" BPOGV="1" LPCX="0.39387" LPCY="0.42108" LPD="19.91037" LPS="1.09675" LPV="1" RPCX="0.66351" RPCY="0.42769" RPD="20.10510" RPS="1.10592" RPV="1" LEYEX="-0.02833" LEYEY="0.01567" LEYEZ="0.69186" LPUPILD="0.00388" LPUPILV="1" REYEX="0.04415" REYEY="0.01454" REYEZ="0.70515" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52555" FPOGY="0.27101" FPOGS="1928.98230" FPOGD="0.40894" FPOGID="4944" FPOGV="1" LPOGX="0.63413" LPOGY="0.27926" LPOGV="1" RPOGX="0.42038" RPOGY="0.21881" RPOGV="1" BPOGX="0.52726" BPOGY="0.24904" BPOGV="1" LPCX="0.39214" LPCY="0.41951" LPD="22.25026" LPS="1.16009" LPV="1" RPCX="0.66261" RPCY="0.42623" RPD="22.99259" RPS="1.16009" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00432" LPUPILV="1" REYEX="0.04413" REYEY="0.01480" REYEZ="0.70475" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52514" FPOGY="0.27113" FPOGS="1928.98230" FPOGD="0.41479" FPOGID="4944" FPOGV="1" LPOGX="0.66511" LPOGY="0.29193" LPOGV="1" RPOGX="0.40298" RPOGY="0.21587" RPOGV="1" BPOGX="0.53405" BPOGY="0.25390" BPOGV="1" LPCX="0.39205" LPCY="0.41948" LPD="22.26494" LPS="1.16009" LPV="1" RPCX="0.66261" RPCY="0.42623" RPD="22.99689" RPS="1.16009" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00435" LPUPILV="1" REYEX="0.04413" REYEY="0.01480" REYEZ="0.70475" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52503" FPOGY="0.27169" FPOGS="1928.98230" FPOGD="0.42139" FPOGID="4944" FPOGV="1" LPOGX="0.66157" LPOGY="0.30450" LPOGV="1" RPOGX="0.41211" RPOGY="0.28127" RPOGV="1" BPOGX="0.53684" BPOGY="0.29289" BPOGV="1" LPCX="0.39203" LPCY="0.41951" LPD="22.20815" LPS="1.16009" LPV="1" RPCX="0.66253" RPCY="0.42616" RPD="22.88051" RPS="1.16009" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00435" LPUPILV="1" REYEX="0.04413" REYEY="0.01480" REYEZ="0.70475" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52492" FPOGY="0.27226" FPOGS="1928.98230" FPOGD="0.42896" FPOGID="4944" FPOGV="1" LPOGX="0.66157" LPOGY="0.30450" LPOGV="1" RPOGX="0.41190" RPOGY="0.27392" RPOGV="1" BPOGX="0.53673" BPOGY="0.28921" BPOGV="1" LPCX="0.39200" LPCY="0.41954" LPD="22.17355" LPS="1.16009" LPV="1" RPCX="0.66251" RPCY="0.42616" RPD="22.91596" RPS="1.17056" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00436" LPUPILV="1" REYEX="0.04567" REYEY="0.01534" REYEZ="0.73034" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52489" FPOGY="0.27200" FPOGS="1928.98230" FPOGD="0.43567" FPOGID="4944" FPOGV="1" LPOGX="0.65794" LPOGY="0.29799" LPOGV="1" RPOGX="0.40709" RPOGY="0.28292" RPOGV="1" BPOGX="0.53251" BPOGY="0.29046" BPOGV="1" LPCX="0.39193" LPCY="0.41964" LPD="22.27325" LPS="1.17056" LPV="1" RPCX="0.66248" RPCY="0.42616" RPD="23.01487" RPS="1.18104" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00432" LPUPILV="1" REYEX="0.04567" REYEY="0.01534" REYEZ="0.73034" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52538" FPOGY="0.27073" FPOGS="1928.98230" FPOGD="0.44250" FPOGID="4944" FPOGV="1" LPOGX="0.65860" LPOGY="0.23038" LPOGV="1" RPOGX="0.44054" RPOGY="0.26709" RPOGV="1" BPOGX="0.54957" BPOGY="0.24873" BPOGV="1" LPCX="0.39192" LPCY="0.41975" LPD="22.49201" LPS="1.18104" LPV="1" RPCX="0.66240" RPCY="0.42615" RPD="23.06506" RPS="1.19151" RPV="1" LEYEX="-0.02894" LEYEY="0.01608" LEYEZ="0.70051" LPUPILD="0.00429" LPUPILV="1" REYEX="0.04567" REYEY="0.01534" REYEZ="0.73034" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52585" FPOGY="0.26933" FPOGS="1928.98230" FPOGD="0.44861" FPOGID="4944" FPOGV="1" LPOGX="0.65857" LPOGY="0.22929" LPOGV="1" RPOGX="0.44051" RPOGY="0.27329" RPOGV="1" BPOGX="0.54954" BPOGY="0.25129" BPOGV="1" LPCX="0.39192" LPCY="0.41974" LPD="22.52833" LPS="1.18256" LPV="1" RPCX="0.66240" RPCY="0.42615" RPD="23.06506" RPS="1.18256" RPV="1" LEYEX="-0.02801" LEYEY="0.01553" LEYEZ="0.67663" LPUPILD="0.00429" LPUPILV="1" REYEX="0.04399" REYEY="0.01479" REYEZ="0.70424" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52625" FPOGY="0.26930" FPOGS="1928.98230" FPOGD="0.45520" FPOGID="4944" FPOGV="1" LPOGX="0.65128" LPOGY="0.28416" LPOGV="1" RPOGX="0.43041" RPOGY="0.27993" RPOGV="1" BPOGX="0.54084" BPOGY="0.28204" BPOGV="1" LPCX="0.39187" LPCY="0.41968" LPD="22.31924" LPS="1.17360" LPV="1" RPCX="0.66231" RPCY="0.42617" RPD="22.98022" RPS="1.16312" RPV="1" LEYEX="-0.02801" LEYEY="0.01553" LEYEZ="0.67663" LPUPILD="0.00431" LPUPILV="1" REYEX="0.04399" REYEY="0.01479" REYEZ="0.70424" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
