2025-05-22 10:52:55.154351
Z="0.71111" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.90668" FPOGY="0.32978" FPOGS="1980.11804" FPOGD="0.08740" FPOGID="5197" FPOGV="1" LPOGX="1.01204" LPOGY="0.39414" LPOGV="1" RPOGX="0.76883" RPOGY="0.27151" RPOGV="1" BPOGX="0.89043" BPOGY="0.33283" BPOGV="1" LPCX="0.41614" LPCY="0.42059" LPD="23.06744" LPS="1.13328" LPV="1" RPCX="0.68705" RPCY="0.42994" RPD="24.27502" RPS="1.13328" RPV="1" LEYEX="-0.02269" LEYEY="0.01530" LEYEZ="0.67538" LPUPILD="0.00429" LPUPILV="1" REYEX="0.05018" REYEY="0.01408" REYEZ="0.71111" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51750" FPOGY="0.25093" FPOGS="1983.09277" FPOGD="0.02625" FPOGID="5205" FPOGV="1" LPOGX="0.61900" LPOGY="0.29736" LPOGV="1" RPOGX="0.39997" RPOGY="0.22347" RPOGV="1" BPOGX="0.50949" BPOGY="0.26041" BPOGV="1" LPCX="0.40762" LPCY="0.42074" LPD="22.96101" LPS="1.20111" LPV="1" RPCX="0.67925" RPCY="0.42972" RPD="24.74367" RPS="1.20111" RPV="1" LEYEX="-0.02556" LEYEY="0.01643" LEYEZ="0.72518" LPUPILD="0.00449" LPUPILV="1" REYEX="0.04872" REYEY="0.01397" REYEZ="0.70543" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51623" FPOGY="0.25368" FPOGS="1983.09277" FPOGD="0.03320" FPOGID="5205" FPOGV="1" LPOGX="0.61951" LPOGY="0.30390" LPOGV="1" RPOGX="0.40026" RPOGY="0.23091" RPOGV="1" BPOGX="0.50989" BPOGY="0.26741" BPOGV="1" LPCX="0.40762" LPCY="0.42074" LPD="22.96101" LPS="1.19087" LPV="1" RPCX="0.67922" RPCY="0.42975" RPD="24.60809" RPS="1.19087" RPV="1" LEYEX="-0.02483" LEYEY="0.01593" LEYEZ="0.70316" LPUPILD="0.00449" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51453" FPOGY="0.25699" FPOGS="1983.09277" FPOGD="0.03955" FPOGID="5205" FPOGV="1" LPOGX="0.61258" LPOGY="0.33297" LPOGV="1" RPOGX="0.39605" RPOGY="0.22075" RPOGV="1" BPOGX="0.50432" BPOGY="0.27686" BPOGV="1" LPCX="0.40759" LPCY="0.42071" LPD="22.77674" LPS="1.18063" LPV="1" RPCX="0.67920" RPCY="0.42977" RPD="24.66835" RPS="1.18063" RPV="1" LEYEX="-0.02483" LEYEY="0.01593" LEYEZ="0.70316" LPUPILD="0.00451" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51276" FPOGY="0.26106" FPOGS="1983.09277" FPOGD="0.04724" FPOGID="5205" FPOGV="1" LPOGX="0.61100" LPOGY="0.33686" LPOGV="1" RPOGX="0.38982" RPOGY="0.24230" RPOGV="1" BPOGX="0.50041" BPOGY="0.28958" BPOGV="1" LPCX="0.40755" LPCY="0.42075" LPD="22.97365" LPS="1.17039" LPV="1" RPCX="0.67917" RPCY="0.42980" RPD="24.62205" RPS="1.17039" RPV="1" LEYEX="-0.02483" LEYEY="0.01593" LEYEZ="0.70316" LPUPILD="0.00447" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51149" FPOGY="0.26567" FPOGS="1983.09277" FPOGD="0.05322" FPOGID="5205" FPOGV="1" LPOGX="0.61210" LPOGY="0.34880" LPOGV="1" RPOGX="0.39054" RPOGY="0.25631" RPOGV="1" BPOGX="0.50132" BPOGY="0.30256" BPOGV="1" LPCX="0.40755" LPCY="0.42078" LPD="23.00739" LPS="1.15120" LPV="1" RPCX="0.67901" RPCY="0.42980" RPD="24.58068" RPS="1.15120" RPV="1" LEYEX="-0.02427" LEYEY="0.01553" LEYEZ="0.68569" LPUPILD="0.00449" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51207" FPOGY="0.27078" FPOGS="1983.09277" FPOGD="0.05908" FPOGID="5205" FPOGV="1" LPOGX="0.65200" LPOGY="0.36571" LPOGV="1" RPOGX="0.38260" RPOGY="0.26769" RPOGV="1" BPOGX="0.51730" BPOGY="0.31670" BPOGV="1" LPCX="0.40748" LPCY="0.42092" LPD="23.00606" LPS="1.14224" LPV="1" RPCX="0.67894" RPCY="0.42977" RPD="24.60526" RPS="1.14224" RPV="1" LEYEX="-0.02427" LEYEY="0.01553" LEYEZ="0.68569" LPUPILD="0.00449" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51344" FPOGY="0.27285" FPOGS="1983.09277" FPOGD="0.06653" FPOGID="5205" FPOGV="1" LPOGX="0.64306" LPOGY="0.30608" LPOGV="1" RPOGX="0.41110" RPOGY="0.28112" RPOGV="1" BPOGX="0.52708" BPOGY="0.29360" BPOGV="1" LPCX="0.40742" LPCY="0.42091" LPD="22.85793" LPS="1.13328" LPV="1" RPCX="0.67894" RPCY="0.42976" RPD="24.44278" RPS="1.13328" RPV="1" LEYEX="-0.02427" LEYEY="0.01553" LEYEZ="0.68569" LPUPILD="0.00450" LPUPILV="1" REYEX="0.04796" REYEY="0.01378" REYEZ="0.69601" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51459" FPOGY="0.27510" FPOGS="1983.09277" FPOGD="0.07324" FPOGID="5205" FPOGV="1" LPOGX="0.64335" LPOGY="0.31211" LPOGV="1" RPOGX="0.41129" RPOGY="0.28755" RPOGV="1" BPOGX="0.52732" BPOGY="0.29983" BPOGV="1" LPCX="0.40740" LPCY="0.42101" LPD="23.04337" LPS="1.12432" LPV="1" RPCX="0.67890" RPCY="0.42977" RPD="24.39915" RPS="1.12432" RPV="1" LEYEX="-0.02427" LEYEY="0.01543" LEYEZ="0.68569" LPUPILD="0.00450" LPUPILV="1" REYEX="0.04822" REYEY="0.01389" REYEZ="0.70133" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
