2025-05-30 10:56:47.149131
 REYEZ="0.68656" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56712" FPOGY="0.29139" FPOGS="3656.31860" FPOGD="0.20142" FPOGID="7500" FPOGV="1" LPOGX="0.66940" LPOGY="0.26492" LPOGV="1" RPOGX="0.48219" RPOGY="0.27828" RPOGV="1" BPOGX="0.57579" BPOGY="0.27160" BPOGV="1" LPCX="0.30263" LPCY="0.52110" LPD="25.28816" LPS="1.03444" LPV="1" RPCX="0.58557" RPCY="0.51538" RPD="25.30246" RPS="1.04253" RPV="1" LEYEX="-0.05169" LEYEY="-0.00583" LEYEZ="0.68180" LPUPILD="0.00452" LPUPILV="1" REYEX="0.02245" REYEY="-0.00453" REYEZ="0.68656" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56740" FPOGY="0.29047" FPOGS="3656.31860" FPOGD="0.20776" FPOGID="7500" FPOGV="1" LPOGX="0.66923" LPOGY="0.25309" LPOGV="1" RPOGX="0.48248" RPOGY="0.27281" RPOGV="1" BPOGX="0.57585" BPOGY="0.26295" BPOGV="1" LPCX="0.30269" LPCY="0.52111" LPD="25.06800" LPS="1.04956" LPV="1" RPCX="0.58560" RPCY="0.51536" RPD="25.43900" RPS="1.04956" RPV="1" LEYEX="-0.04979" LEYEY="-0.00553" LEYEZ="0.65806" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02182" REYEY="-0.00440" REYEZ="0.66605" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57486" FPOGY="0.31875" FPOGS="3657.29761" FPOGD="0.14014" FPOGID="7502" FPOGV="1" LPOGX="0.67061" LPOGY="0.25051" LPOGV="1" RPOGX="0.46118" RPOGY="0.31209" RPOGV="1" BPOGX="0.56590" BPOGY="0.28130" BPOGV="1" LPCX="0.30420" LPCY="0.52120" LPD="25.95148" LPS="1.04956" LPV="1" RPCX="0.58697" RPCY="0.51556" RPD="26.03810" RPS="1.04147" RPV="1" LEYEX="-0.04982" LEYEY="-0.00566" LEYEZ="0.66248" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57448" FPOGY="0.31756" FPOGS="3657.29761" FPOGD="0.14673" FPOGID="7502" FPOGV="1" LPOGX="0.67016" LPOGY="0.26512" LPOGV="1" RPOGX="0.46225" RPOGY="0.31770" RPOGV="1" BPOGX="0.56621" BPOGY="0.29141" BPOGV="1" LPCX="0.30422" LPCY="0.52117" LPD="25.83177" LPS="1.04147" LPV="1" RPCX="0.58694" RPCY="0.51561" RPD="26.03619" RPS="1.03338" RPV="1" LEYEX="-0.04982" LEYEY="-0.00566" LEYEZ="0.66248" LPUPILD="0.00468" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57414" FPOGY="0.31673" FPOGS="3657.29761" FPOGD="0.15332" FPOGID="7502" FPOGV="1" LPOGX="0.67025" LPOGY="0.27140" LPOGV="1" RPOGX="0.46206" RPOGY="0.32376" RPOGV="1" BPOGX="0.56615" BPOGY="0.29758" BPOGV="1" LPCX="0.30423" LPCY="0.52118" LPD="25.93147" LPS="1.03338" LPV="1" RPCX="0.58697" RPCY="0.51560" RPD="25.99367" RPS="1.02530" RPV="1" LEYEX="-0.05022" LEYEY="-0.00566" LEYEZ="0.66780" LPUPILD="0.00469" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57407" FPOGY="0.31676" FPOGS="3657.29761" FPOGD="0.15991" FPOGID="7502" FPOGV="1" LPOGX="0.68248" LPOGY="0.31582" LPOGV="1" RPOGX="0.46228" RPOGY="0.31933" RPOGV="1" BPOGX="0.57238" BPOGY="0.31758" BPOGV="1" LPCX="0.30429" LPCY="0.52114" LPD="26.06696" LPS="1.02530" LPV="1" RPCX="0.58695" RPCY="0.51554" RPD="26.16277" RPS="1.02530" RPV="1" LEYEX="-0.05022" LEYEY="-0.00566" LEYEZ="0.66780" LPUPILD="0.00470" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57381" FPOGY="0.31695" FPOGS="3657.29761" FPOGD="0.16699" FPOGID="7502" FPOGV="1" LPOGX="0.67097" LPOGY="0.32214" LPOGV="1" RPOGX="0.46395" RPOGY="0.32117" RPOGV="1" BPOGX="0.56746" BPOGY="0.32165" BPOGV="1" LPCX="0.30430" LPCY="0.52111" LPD="26.17319" LPS="1.02530" LPV="1" RPCX="0.58699" RPCY="0.51555" RPD="26.07162" RPS="1.02530" RPV="1" LEYEX="-0.05022" LEYEY="-0.00566" LEYEZ="0.66780" LPUPILD="0.00469" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57358" FPOGY="0.31691" FPOGS="3657.29761" FPOGD="0.17334" FPOGID="7502" FPOGV="1" LPOGX="0.67089" LPOGY="0.31634" LPOGV="1" RPOGX="0.46415" RPOGY="0.31523" RPOGV="1" BPOGX="0.56752" BPOGY="0.31578" BPOGV="1" LPCX="0.30426" LPCY="0.52113" LPD="26.11296" LPS="1.03320" LPV="1" RPCX="0.58695" RPCY="0.51550" RPD="26.11777" RPS="1.03320" RPV="1" LEYEX="-0.05163" LEYEY="-0.00577" LEYEZ="0.68725" LPUPILD="0.00469" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.57355" FPOGY="0.31678" FPOGS="3657.29761" FPOGD="0.17993" FPOGID="7502" FPOGV="1" LPOGX="0.68062" LPOGY="0.30462" LPOGV="1" RPOGX="0.46478" RPOGY="0.32186" RPOGV="1" BPOGX="0.57270" BPOGY="0.31324" BPOGV="1" LPCX="0.30430" LPCY="0.52115" LPD="26.03472" LPS="1.04110" LPV="1" RPCX="0.58698" RPCY="0.51548" RPD="26.17116" RPS="1.04110" RPV="1" LEYEX="-0.05163" LEYEY="-0.00577" LEYEZ="0.68725" LPUPILD="0.00472" LPUPILV="1" REYEX="0.02206" REYEY="-0.00443" REYEZ="0.66401" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
