2025-05-27 14:13:01.172713
REYEZ="0.66259" RPUPILD="0.00326" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.56373" FPOGY="0.31465" FPOGS="2091.53296" FPOGD="0.06104" FPOGID="3769" FPOGV="1" LPOGX="0.70854" LPOGY="0.38249" LPOGV="1" RPOGX="0.41420" RPOGY="0.23386" RPOGV="1" BPOGX="0.56137" BPOGY="0.30817" BPOGV="1" LPCX="0.31385" LPCY="0.50887" LPD="19.95220" LPS="0.99559" LPV="1" RPCX="0.61888" RPCY="0.53223" RPD="19.16962" RPS="0.99559" RPV="1" LEYEX="-0.04586" LEYEY="-0.00298" LEYEZ="0.63986" LPUPILD="0.00337" LPUPILV="1" REYEX="0.03036" REYEY="-0.00805" REYEZ="0.66259" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54086" FPOGY="0.30635" FPOGS="2092.48560" FPOGD="0.02588" FPOGID="3771" FPOGV="1" LPOGX="0.67427" LPOGY="0.41324" LPOGV="1" RPOGX="0.38315" RPOGY="0.22571" RPOGV="1" BPOGX="0.52871" BPOGY="0.31947" BPOGV="1" LPCX="0.31060" LPCY="0.51019" LPD="20.43056" LPS="1.00947" LPV="1" RPCX="0.61540" RPCY="0.53310" RPD="19.79231" RPS="1.02475" RPV="1" LEYEX="-0.04666" LEYEY="-0.00317" LEYEZ="0.64027" LPUPILD="0.00338" LPUPILV="1" REYEX="0.02996" REYEY="-0.00847" REYEZ="0.67261" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54352" FPOGY="0.30103" FPOGS="2092.48560" FPOGD="0.03271" FPOGID="3771" FPOGV="1" LPOGX="0.71893" LPOGY="0.35646" LPOGV="1" RPOGX="0.39476" RPOGY="0.19235" RPOGV="1" BPOGX="0.55685" BPOGY="0.27441" BPOGV="1" LPCX="0.31026" LPCY="0.51054" LPD="20.57058" LPS="1.01773" LPV="1" RPCX="0.61511" RPCY="0.53314" RPD="19.27251" RPS="1.02581" RPV="1" LEYEX="-0.04666" LEYEY="-0.00317" LEYEZ="0.64027" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02996" REYEY="-0.00847" REYEZ="0.67261" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54456" FPOGY="0.29623" FPOGS="2092.48560" FPOGD="0.03955" FPOGID="3771" FPOGV="1" LPOGX="0.70776" LPOGY="0.35321" LPOGV="1" RPOGX="0.39375" RPOGY="0.18174" RPOGV="1" BPOGX="0.55075" BPOGY="0.26748" BPOGV="1" LPCX="0.31019" LPCY="0.51052" LPD="20.88142" LPS="1.01879" LPV="1" RPCX="0.61500" RPCY="0.53315" RPD="19.38481" RPS="1.02688" RPV="1" LEYEX="-0.04666" LEYEY="-0.00317" LEYEZ="0.64027" LPUPILD="0.00338" LPUPILV="1" REYEX="0.02996" REYEY="-0.00847" REYEZ="0.67261" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54535" FPOGY="0.29188" FPOGS="2092.48560" FPOGD="0.04639" FPOGID="3771" FPOGV="1" LPOGX="0.70815" LPOGY="0.34178" LPOGV="1" RPOGX="0.39373" RPOGY="0.18110" RPOGV="1" BPOGX="0.55094" BPOGY="0.26144" BPOGV="1" LPCX="0.31050" LPCY="0.51024" LPD="19.99831" LPS="1.03478" LPV="1" RPCX="0.61492" RPCY="0.53318" RPD="19.51978" RPS="1.02759" RPV="1" LEYEX="-0.05004" LEYEY="-0.00339" LEYEZ="0.68518" LPUPILD="0.00345" LPUPILV="1" REYEX="0.02867" REYEY="-0.00814" REYEZ="0.64596" RPUPILD="0.00328" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54542" FPOGY="0.28595" FPOGS="2092.48560" FPOGD="0.05322" FPOGID="3771" FPOGV="1" LPOGX="0.68657" LPOGY="0.35895" LPOGV="1" RPOGX="0.40536" RPOGY="0.11799" RPOGV="1" BPOGX="0.54596" BPOGY="0.23847" BPOGV="1" LPCX="0.30996" LPCY="0.51070" LPD="20.71410" LPS="1.04252" LPV="1" RPCX="0.61475" RPCY="0.53334" RPD="19.15795" RPS="1.02724" RPV="1" LEYEX="-0.05004" LEYEY="-0.00339" LEYEZ="0.68518" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02867" REYEY="-0.00814" REYEZ="0.64596" RPUPILD="0.00333" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54642" FPOGY="0.28233" FPOGS="2092.48560" FPOGD="0.05981" FPOGID="3771" FPOGV="1" LPOGX="0.71789" LPOGY="0.39029" LPOGV="1" RPOGX="0.39300" RPOGY="0.10916" RPOGV="1" BPOGX="0.55545" BPOGY="0.24972" BPOGV="1" LPCX="0.30995" LPCY="0.51070" LPD="20.67116" LPS="1.04218" LPV="1" RPCX="0.61472" RPCY="0.53343" RPD="19.48005" RPS="1.02690" RPV="1" LEYEX="-0.05004" LEYEY="-0.00339" LEYEZ="0.68518" LPUPILD="0.00346" LPUPILV="1" REYEX="0.02867" REYEY="-0.00814" REYEZ="0.64596" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54723" FPOGY="0.27966" FPOGS="2092.48560" FPOGD="0.06616" FPOGID="3771" FPOGV="1" LPOGX="0.71762" LPOGY="0.39577" LPOGV="1" RPOGX="0.39305" RPOGY="0.11018" RPOGV="1" BPOGX="0.55533" BPOGY="0.25298" BPOGV="1" LPCX="0.31001" LPCY="0.51061" LPD="20.10824" LPS="1.03392" LPV="1" RPCX="0.61473" RPCY="0.53330" RPD="19.25952" RPS="1.02584" RPV="1" LEYEX="-0.04734" LEYEY="-0.00334" LEYEZ="0.64629" LPUPILD="0.00342" LPUPILV="1" REYEX="0.02934" REYEY="-0.00847" REYEZ="0.66439" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54806" FPOGY="0.27884" FPOGS="2092.48560" FPOGD="0.07251" FPOGID="3771" FPOGV="1" LPOGX="0.73438" LPOGY="0.40630" LPOGV="1" RPOGX="0.37983" RPOGY="0.13332" RPOGV="1" BPOGX="0.55710" BPOGY="0.26981" BPOGV="1" LPCX="0.30956" LPCY="0.51085" LPD="20.70866" LPS="1.01793" LPV="1" RPCX="0.61446" RPCY="0.53345" RPD="19.23727" RPS="1.02512" RPV="1" LEYEX="-0.04734" LEYEY="-0.00334" LEYEZ="0.64629" LPUPILD="0.00342" LPUPILV="1" REYEX="0.02934" REYEY="-0.00847" REYEZ="0.66439" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
