2025-05-30 10:41:41.866134
Z="0.67418" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56547" FPOGY="0.30236" FPOGS="2749.72314" FPOGD="1.52075" FPOGID="5122" FPOGV="1" LPOGX="0.70440" LPOGY="0.35464" LPOGV="1" RPOGX="0.39709" RPOGY="0.19529" RPOGV="1" BPOGX="0.55074" BPOGY="0.27497" BPOGV="1" LPCX="0.24291" LPCY="0.41168" LPD="23.42846" LPS="1.05634" LPV="1" RPCX="0.54092" RPCY="0.42926" RPD="22.56568" RPS="1.05634" RPV="1" LEYEX="-0.06523" LEYEY="0.01682" LEYEZ="0.65955" LPUPILD="0.00399" LPUPILV="1" REYEX="0.01072" REYEY="0.01330" REYEZ="0.67418" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55572" FPOGY="0.31209" FPOGS="2749.72314" FPOGD="2.44458" FPOGID="5122" FPOGV="1" LPOGX="0.70321" LPOGY="0.39435" LPOGV="1" RPOGX="0.40902" RPOGY="0.25050" RPOGV="1" BPOGX="0.55612" BPOGY="0.32243" BPOGV="1" LPCX="0.23663" LPCY="0.40991" LPD="23.90915" LPS="1.03420" LPV="1" RPCX="0.53553" RPCY="0.42656" RPD="22.98874" RPS="1.02611" RPV="1" LEYEX="-0.06553" LEYEY="0.01685" LEYEZ="0.64740" LPUPILD="0.00406" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55571" FPOGY="0.31260" FPOGS="2749.72314" FPOGD="2.45166" FPOGID="5122" FPOGV="1" LPOGX="0.70138" LPOGY="0.40792" LPOGV="1" RPOGX="0.40379" RPOGY="0.26052" RPOGV="1" BPOGX="0.55259" BPOGY="0.33422" BPOGV="1" LPCX="0.23658" LPCY="0.40992" LPD="24.07577" LPS="1.01909" LPV="1" RPCX="0.53551" RPCY="0.42661" RPD="22.89563" RPS="1.01100" RPV="1" LEYEX="-0.06553" LEYEY="0.01685" LEYEZ="0.64740" LPUPILD="0.00405" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55569" FPOGY="0.31292" FPOGS="2749.72314" FPOGD="2.45850" FPOGID="5122" FPOGV="1" LPOGX="0.70138" LPOGY="0.40804" LPOGV="1" RPOGX="0.40380" RPOGY="0.26067" RPOGV="1" BPOGX="0.55259" BPOGY="0.33436" BPOGV="1" LPCX="0.23656" LPCY="0.40994" LPD="24.02343" LPS="1.01890" LPV="1" RPCX="0.53548" RPCY="0.42657" RPD="22.97931" RPS="1.01082" RPV="1" LEYEX="-0.06849" LEYEY="0.01763" LEYEZ="0.67562" LPUPILD="0.00404" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00382" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55590" FPOGY="0.31305" FPOGS="2749.72314" FPOGD="2.46509" FPOGID="5122" FPOGV="1" LPOGX="0.72461" LPOGY="0.40105" LPOGV="1" RPOGX="0.39846" RPOGY="0.25152" RPOGV="1" BPOGX="0.56153" BPOGY="0.32629" BPOGV="1" LPCX="0.23654" LPCY="0.40996" LPD="23.92819" LPS="1.02575" LPV="1" RPCX="0.53536" RPCY="0.42654" RPD="22.78586" RPS="1.02575" RPV="1" LEYEX="-0.06849" LEYEY="0.01763" LEYEZ="0.67562" LPUPILD="0.00408" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55642" FPOGY="0.31360" FPOGS="2749.72314" FPOGD="2.47168" FPOGID="5122" FPOGV="1" LPOGX="0.71978" LPOGY="0.45640" LPOGV="1" RPOGX="0.42864" RPOGY="0.23048" RPOGV="1" BPOGX="0.57421" BPOGY="0.34344" BPOGV="1" LPCX="0.23646" LPCY="0.40997" LPD="23.96381" LPS="1.04068" LPV="1" RPCX="0.53531" RPCY="0.42651" RPD="22.94760" RPS="1.04068" RPV="1" LEYEX="-0.06849" LEYEY="0.01763" LEYEZ="0.67562" LPUPILD="0.00409" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55694" FPOGY="0.31370" FPOGS="2749.72314" FPOGD="2.47900" FPOGID="5122" FPOGV="1" LPOGX="0.72031" LPOGY="0.44742" LPOGV="1" RPOGX="0.42854" RPOGY="0.21809" RPOGV="1" BPOGX="0.57442" BPOGY="0.33276" BPOGV="1" LPCX="0.23644" LPCY="0.41002" LPD="23.95320" LPS="1.05561" LPV="1" RPCX="0.53527" RPCY="0.42641" RPD="23.24567" RPS="1.05561" RPV="1" LEYEX="-0.06966" LEYEY="0.01788" LEYEZ="0.68718" LPUPILD="0.00407" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00383" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55714" FPOGY="0.31345" FPOGS="2749.72314" FPOGD="2.48560" FPOGID="5122" FPOGV="1" LPOGX="0.71409" LPOGY="0.43639" LPOGV="1" RPOGX="0.41333" RPOGY="0.20797" RPOGV="1" BPOGX="0.56371" BPOGY="0.32218" BPOGV="1" LPCX="0.23641" LPCY="0.41000" LPD="24.06149" LPS="1.05561" LPV="1" RPCX="0.53527" RPCY="0.42652" RPD="22.96564" RPS="1.05561" RPV="1" LEYEX="-0.06966" LEYEY="0.01788" LEYEZ="0.68718" LPUPILD="0.00409" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00383" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55752" FPOGY="0.31346" FPOGS="2749.72314" FPOGD="2.49194" FPOGID="5122" FPOGV="1" LPOGX="0.71432" LPOGY="0.44547" LPOGV="1" RPOGX="0.41567" RPOGY="0.22663" RPOGV="1" BPOGX="0.56499" BPOGY="0.33605" BPOGV="1" LPCX="0.23633" LPCY="0.41003" LPD="24.23896" LPS="1.05561" LPV="1" RPCX="0.53524" RPCY="0.42657" RPD="23.12085" RPS="1.05561" RPV="1" LEYEX="-0.06966" LEYEY="0.01788" LEYEZ="0.68718" LPUPILD="0.00406" LPUPILV="1" REYEX="0.00908" REYEY="0.01360" REYEZ="0.66157" RPUPILD="0.00383" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
