2025-05-30 10:45:45.462324
Z="0.65813" RPUPILD="0.00378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54772" FPOGY="0.28810" FPOGS="2994.64380" FPOGD="0.20068" FPOGID="6023" FPOGV="1" LPOGX="0.70803" LPOGY="0.34352" LPOGV="1" RPOGX="0.39098" RPOGY="0.23383" RPOGV="1" BPOGX="0.54950" BPOGY="0.28867" BPOGV="1" LPCX="0.23202" LPCY="0.42196" LPD="23.01963" LPS="1.08105" LPV="1" RPCX="0.53102" RPCY="0.43899" RPD="22.56774" RPS="1.07296" RPV="1" LEYEX="-0.06877" LEYEY="0.01487" LEYEZ="0.66755" LPUPILD="0.00397" LPUPILV="1" REYEX="0.00794" REYEY="0.01106" REYEZ="0.65813" RPUPILD="0.00378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54817" FPOGY="0.36856" FPOGS="2995.57495" FPOGD="0.18091" FPOGID="6026" FPOGV="1" LPOGX="0.71246" LPOGY="0.43191" LPOGV="1" RPOGX="0.37964" RPOGY="0.28685" RPOGV="1" BPOGX="0.54605" BPOGY="0.35938" BPOGV="1" LPCX="0.23323" LPCY="0.42276" LPD="24.33013" LPS="1.02429" LPV="1" RPCX="0.53200" RPCY="0.44003" RPD="23.69445" RPS="1.02429" RPV="1" LEYEX="-0.06763" LEYEY="0.01453" LEYEZ="0.65886" LPUPILD="0.00416" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54809" FPOGY="0.36737" FPOGS="2995.57495" FPOGD="0.18750" FPOGID="6026" FPOGV="1" LPOGX="0.71382" LPOGY="0.37641" LPOGV="1" RPOGX="0.37799" RPOGY="0.29175" RPOGV="1" BPOGX="0.54590" BPOGY="0.33408" BPOGV="1" LPCX="0.23327" LPCY="0.42287" LPD="24.37652" LPS="1.02429" LPV="1" RPCX="0.53209" RPCY="0.44016" RPD="23.86753" RPS="1.02429" RPV="1" LEYEX="-0.06763" LEYEY="0.01453" LEYEZ="0.65886" LPUPILD="0.00416" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54814" FPOGY="0.36631" FPOGS="2995.57495" FPOGD="0.19434" FPOGID="6026" FPOGV="1" LPOGX="0.71722" LPOGY="0.38292" LPOGV="1" RPOGX="0.38204" RPOGY="0.28836" RPOGV="1" BPOGX="0.54963" BPOGY="0.33564" BPOGV="1" LPCX="0.23329" LPCY="0.42294" LPD="24.40992" LPS="1.02429" LPV="1" RPCX="0.53212" RPCY="0.44020" RPD="23.69735" RPS="1.02429" RPV="1" LEYEX="-0.06763" LEYEY="0.01453" LEYEZ="0.65886" LPUPILD="0.00413" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54819" FPOGY="0.36513" FPOGS="2995.57495" FPOGD="0.20117" FPOGID="6026" FPOGV="1" LPOGX="0.71749" LPOGY="0.37752" LPOGV="1" RPOGX="0.38165" RPOGY="0.28212" RPOGV="1" BPOGX="0.54957" BPOGY="0.32982" BPOGV="1" LPCX="0.23327" LPCY="0.42289" LPD="24.41116" LPS="1.03220" LPV="1" RPCX="0.53208" RPCY="0.44018" RPD="23.66006" RPS="1.03220" RPV="1" LEYEX="-0.06927" LEYEY="0.01484" LEYEZ="0.67530" LPUPILD="0.00414" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54781" FPOGY="0.36475" FPOGS="2995.57495" FPOGD="0.20801" FPOGID="6026" FPOGV="1" LPOGX="0.68889" LPOGY="0.42506" LPOGV="1" RPOGX="0.38328" RPOGY="0.28031" RPOGV="1" BPOGX="0.53609" BPOGY="0.35269" BPOGV="1" LPCX="0.23331" LPCY="0.42289" LPD="24.44649" LPS="1.04010" LPV="1" RPCX="0.53214" RPCY="0.44019" RPD="23.77500" RPS="1.04010" RPV="1" LEYEX="-0.06927" LEYEY="0.01484" LEYEZ="0.67530" LPUPILD="0.00416" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54759" FPOGY="0.36345" FPOGS="2995.57495" FPOGD="0.21460" FPOGID="6026" FPOGV="1" LPOGX="0.69248" LPOGY="0.36270" LPOGV="1" RPOGX="0.38876" RPOGY="0.28135" RPOGV="1" BPOGX="0.54062" BPOGY="0.32202" BPOGV="1" LPCX="0.23338" LPCY="0.42300" LPD="24.40604" LPS="1.04801" LPV="1" RPCX="0.53217" RPCY="0.44023" RPD="23.80972" RPS="1.04801" RPV="1" LEYEX="-0.06927" LEYEY="0.01484" LEYEZ="0.67530" LPUPILD="0.00414" LPUPILV="1" REYEX="0.00847" REYEY="0.01117" REYEZ="0.67673" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54738" FPOGY="0.36214" FPOGS="2995.57495" FPOGD="0.22119" FPOGID="6026" FPOGV="1" LPOGX="0.69248" LPOGY="0.36270" LPOGV="1" RPOGX="0.38841" RPOGY="0.27506" RPOGV="1" BPOGX="0.54045" BPOGY="0.31888" BPOGV="1" LPCX="0.23332" LPCY="0.42295" LPD="24.37629" LPS="1.04801" LPV="1" RPCX="0.53217" RPCY="0.44023" RPD="23.80972" RPS="1.05610" RPV="1" LEYEX="-0.06677" LEYEY="0.01431" LEYEZ="0.65139" LPUPILD="0.00415" LPUPILV="1" REYEX="0.00858" REYEY="0.01113" REYEZ="0.68077" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.54728" FPOGY="0.36106" FPOGS="2995.57495" FPOGD="0.22778" FPOGID="6026" FPOGV="1" LPOGX="0.69430" LPOGY="0.36805" LPOGV="1" RPOGX="0.39354" RPOGY="0.28055" RPOGV="1" BPOGX="0.54392" BPOGY="0.32430" BPOGV="1" LPCX="0.23338" LPCY="0.42300" LPD="24.40604" LPS="1.04819" LPV="1" RPCX="0.53218" RPCY="0.44024" RPD="23.86990" RPS="1.05628" RPV="1" LEYEX="-0.06677" LEYEY="0.01431" LEYEZ="0.65139" LPUPILD="0.00414" LPUPILV="1" REYEX="0.00858" REYEY="0.01113" REYEZ="0.68077" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
