2025-05-30 10:46:04.267860
Z="0.65139" RPUPILD="0.00319" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54404" FPOGY="0.28606" FPOGS="3013.19141" FPOGD="0.46240" FPOGID="6105" FPOGV="1" LPOGX="0.69809" LPOGY="0.35662" LPOGV="1" RPOGX="0.40423" RPOGY="0.20804" RPOGV="1" BPOGX="0.55116" BPOGY="0.28233" BPOGV="1" LPCX="0.23661" LPCY="0.42239" LPD="20.92396" LPS="1.04802" LPV="1" RPCX="0.53563" RPCY="0.43987" RPD="18.63066" RPS="1.04802" RPV="1" LEYEX="-0.06765" LEYEY="0.01474" LEYEZ="0.66833" LPUPILD="0.00355" LPUPILV="1" REYEX="0.00904" REYEY="0.01050" REYEZ="0.65139" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.54426" FPOGY="0.28580" FPOGS="3013.19141" FPOGD="0.46875" FPOGID="6105" FPOGV="1" LPOGX="0.69809" LPOGY="0.35662" LPOGV="1" RPOGX="0.40400" RPOGY="0.20119" RPOGV="1" BPOGX="0.55104" BPOGY="0.27890" BPOGV="1" LPCX="0.23658" LPCY="0.42241" LPD="20.76621" LPS="1.04802" LPV="1" RPCX="0.53562" RPCY="0.43990" RPD="18.67458" RPS="1.05611" RPV="1" LEYEX="-0.06706" LEYEY="0.01460" LEYEZ="0.66203" LPUPILD="0.00356" LPUPILV="1" REYEX="0.00943" REYEY="0.01107" REYEZ="0.68343" RPUPILD="0.00319" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54803" FPOGY="0.27903" FPOGS="3013.80127" FPOGD="0.76953" FPOGID="6106" FPOGV="1" LPOGX="0.68790" LPOGY="0.36021" LPOGV="1" RPOGX="0.41066" RPOGY="0.21882" RPOGV="1" BPOGX="0.54928" BPOGY="0.28952" BPOGV="1" LPCX="0.23609" LPCY="0.42091" LPD="21.74332" LPS="1.04858" LPV="1" RPCX="0.53510" RPCY="0.43846" RPD="19.45503" RPS="1.04049" RPV="1" LEYEX="-0.06670" LEYEY="0.01479" LEYEZ="0.65748" LPUPILD="0.00372" LPUPILV="1" REYEX="0.00901" REYEY="0.01088" REYEZ="0.65663" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54806" FPOGY="0.27933" FPOGS="3013.80127" FPOGD="0.77637" FPOGID="6106" FPOGV="1" LPOGX="0.68942" LPOGY="0.36206" LPOGV="1" RPOGX="0.41622" RPOGY="0.22057" RPOGV="1" BPOGX="0.55282" BPOGY="0.29131" BPOGV="1" LPCX="0.23611" LPCY="0.42090" LPD="21.80511" LPS="1.04049" LPV="1" RPCX="0.53515" RPCY="0.43855" RPD="19.76160" RPS="1.03240" RPV="1" LEYEX="-0.06670" LEYEY="0.01479" LEYEZ="0.65748" LPUPILD="0.00369" LPUPILV="1" REYEX="0.00901" REYEY="0.01088" REYEZ="0.65663" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54810" FPOGY="0.27993" FPOGS="3013.80127" FPOGD="0.78345" FPOGID="6106" FPOGV="1" LPOGX="0.68936" LPOGY="0.36762" LPOGV="1" RPOGX="0.41622" RPOGY="0.22057" RPOGV="1" BPOGX="0.55279" BPOGY="0.29410" BPOGV="1" LPCX="0.23607" LPCY="0.42089" LPD="21.96181" LPS="1.03240" LPV="1" RPCX="0.53517" RPCY="0.43861" RPD="19.69983" RPS="1.03240" RPV="1" LEYEX="-0.06670" LEYEY="0.01479" LEYEZ="0.65748" LPUPILD="0.00367" LPUPILV="1" REYEX="0.00919" REYEY="0.01116" REYEZ="0.67306" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54872" FPOGY="0.28008" FPOGS="3013.80127" FPOGD="0.79004" FPOGID="6106" FPOGV="1" LPOGX="0.71867" LPOGY="0.36862" LPOGV="1" RPOGX="0.41272" RPOGY="0.18942" RPOGV="1" BPOGX="0.56569" BPOGY="0.27902" BPOGV="1" LPCX="0.23601" LPCY="0.42087" LPD="21.97780" LPS="1.03240" LPV="1" RPCX="0.53510" RPCY="0.43846" RPD="19.45503" RPS="1.04049" RPV="1" LEYEX="-0.06670" LEYEY="0.01479" LEYEZ="0.65748" LPUPILD="0.00367" LPUPILV="1" REYEX="0.00919" REYEY="0.01116" REYEZ="0.67306" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54923" FPOGY="0.28040" FPOGS="3013.80127" FPOGD="0.79639" FPOGID="6106" FPOGV="1" LPOGX="0.72051" LPOGY="0.37744" LPOGV="1" RPOGX="0.40816" RPOGY="0.19520" RPOGV="1" BPOGX="0.56433" BPOGY="0.28632" BPOGV="1" LPCX="0.23598" LPCY="0.42086" LPD="21.96902" LPS="1.04049" LPV="1" RPCX="0.53512" RPCY="0.43855" RPD="19.63555" RPS="1.04858" RPV="1" LEYEX="-0.06670" LEYEY="0.01479" LEYEZ="0.65748" LPUPILD="0.00367" LPUPILV="1" REYEX="0.00919" REYEY="0.01116" REYEZ="0.67306" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54972" FPOGY="0.28050" FPOGS="3013.80127" FPOGD="0.80322" FPOGID="6106" FPOGV="1" LPOGX="0.72054" LPOGY="0.37672" LPOGV="1" RPOGX="0.40813" RPOGY="0.19429" RPOGV="1" BPOGX="0.56434" BPOGY="0.28551" BPOGV="1" LPCX="0.23596" LPCY="0.42086" LPD="22.02520" LPS="1.04155" LPV="1" RPCX="0.53514" RPCY="0.43851" RPD="19.63977" RPS="1.04964" RPV="1" LEYEX="-0.06507" LEYEY="0.01442" LEYEZ="0.64098" LPUPILD="0.00366" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55011" FPOGY="0.28007" FPOGS="3013.80127" FPOGD="0.81006" FPOGID="6106" FPOGV="1" LPOGX="0.71110" LPOGY="0.35389" LPOGV="1" RPOGX="0.40615" RPOGY="0.19157" RPOGV="1" BPOGX="0.55863" BPOGY="0.27273" BPOGV="1" LPCX="0.23592" LPCY="0.42086" LPD="21.85842" LPS="1.04261" LPV="1" RPCX="0.53502" RPCY="0.43846" RPD="19.55337" RPS="1.04261" RPV="1" LEYEX="-0.06507" LEYEY="0.01442" LEYEZ="0.64098" LPUPILD="0.00367" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55036" FPOGY="0.27971" FPOGS="3013.80127" FPOGD="0.81689" FPOGID="6106" FPOGV="1" LPOGX="0.70972" LPOGY="0.35520" LPOGV="1" RPOGX="0.40084" RPOGY="0.20077" RPOGV="1" BPOGX="0.55528" BPOGY="0.27799" BPOGV="1" LPCX="0.23594" LPCY="0.42088" LPD="21.88711" LPS="1.03559" LPV="1" RPCX="0.53508" RPCY="0.43841" RPD="19.79803" RPS="1.03559" RPV="1" LEYEX="-0.06507" LEYEY="0.01442" LEYEZ="0.64098" LPUPILD="0.00368" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55061" FPOGY="0.27916" FPOGS="3013.80127" FPOGD="0.82349" FPOGID="6106" FPOGV="1" LPOGX="0.70992" LPOGY="0.34965" LPOGV="1" RPOGX="0.40059" RPOGY="0.19394" RPOGV="1" BPOGX="0.55525" BPOGY="0.27179" BPOGV="1" LPCX="0.23592" LPCY="0.42095" LPD="21.84222" LPS="1.04349" LPV="1" RPCX="0.53512" RPCY="0.43844" RPD="19.77171" RPS="1.04349" RPV="1" LEYEX="-0.06745" LEYEY="0.01493" LEYEZ="0.66341" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55087" FPOGY="0.27895" FPOGS="3013.80127" FPOGD="0.83203" FPOGID="6106" FPOGV="1" LPOGX="0.70319" LPOGY="0.34931" LPOGV="1" RPOGX="0.39792" RPOGY="0.17917" RPOGV="1" BPOGX="0.55055" BPOGY="0.26424" BPOGV="1" LPCX="0.23586" LPCY="0.42096" LPD="21.98169" LPS="1.05842" LPV="1" RPCX="0.53512" RPCY="0.43845" RPD="19.79928" RPS="1.05842" RPV="1" LEYEX="-0.06745" LEYEY="0.01493" LEYEZ="0.66341" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55119" FPOGY="0.27796" FPOGS="3013.80127" FPOGD="0.83691" FPOGID="6106" FPOGV="1" LPOGX="0.72787" LPOGY="0.32592" LPOGV="1" RPOGX="0.39332" RPOGY="0.14749" RPOGV="1" BPOGX="0.56060" BPOGY="0.23670" BPOGV="1" LPCX="0.23575" LPCY="0.42087" LPD="21.75303" LPS="1.07335" LPV="1" RPCX="0.53502" RPCY="0.43835" RPD="19.58333" RPS="1.07335" RPV="1" LEYEX="-0.06745" LEYEY="0.01493" LEYEZ="0.66341" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00935" REYEY="0.01140" REYEZ="0.68490" RPUPILD="0.00327" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
