2025-05-27 14:34:36.203519
EZ="0.66315" RPUPILD="0.00588" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56355" FPOGY="0.42923" FPOGS="3386.45801" FPOGD="0.16138" FPOGID="7157" FPOGV="1" LPOGX="0.70922" LPOGY="0.42365" LPOGV="1" RPOGX="0.47016" RPOGY="0.40246" RPOGV="1" BPOGX="0.58969" BPOGY="0.41306" BPOGV="1" LPCX="0.25471" LPCY="0.40840" LPD="26.14363" LPS="1.07190" LPV="1" RPCX="0.50653" RPCY="0.39522" RPD="29.64534" RPS="1.06381" RPV="1" LEYEX="-0.06426" LEYEY="0.01811" LEYEZ="0.68228" LPUPILD="0.00516" LPUPILV="1" REYEX="0.00174" REYEY="0.02039" REYEZ="0.66315" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56511" FPOGY="0.43208" FPOGS="3387.36279" FPOGD="0.17334" FPOGID="7159" FPOGV="1" LPOGX="0.67610" LPOGY="0.43582" LPOGV="1" RPOGX="0.41472" RPOGY="0.47362" RPOGV="1" BPOGX="0.54541" BPOGY="0.45472" BPOGV="1" LPCX="0.24687" LPCY="0.40947" LPD="26.28544" LPS="1.08808" LPV="1" RPCX="0.49820" RPCY="0.39394" RPD="29.55021" RPS="1.08808" RPV="1" LEYEX="-0.06719" LEYEY="0.01815" LEYEZ="0.69141" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56441" FPOGY="0.43261" FPOGS="3387.36279" FPOGD="0.18042" FPOGID="7159" FPOGV="1" LPOGX="0.66987" LPOGY="0.42293" LPOGV="1" RPOGX="0.42132" RPOGY="0.47114" RPOGV="1" BPOGX="0.54559" BPOGY="0.44704" BPOGV="1" LPCX="0.24687" LPCY="0.40947" LPD="26.28544" LPS="1.08808" LPV="1" RPCX="0.49818" RPCY="0.39396" RPD="29.45586" RPS="1.08808" RPV="1" LEYEX="-0.06719" LEYEY="0.01815" LEYEZ="0.69141" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56377" FPOGY="0.43341" FPOGS="3387.36279" FPOGD="0.18774" FPOGID="7159" FPOGV="1" LPOGX="0.67003" LPOGY="0.43188" LPOGV="1" RPOGX="0.42152" RPOGY="0.47968" RPOGV="1" BPOGX="0.54577" BPOGY="0.45578" BPOGV="1" LPCX="0.24690" LPCY="0.40949" LPD="26.36203" LPS="1.07315" LPV="1" RPCX="0.49818" RPCY="0.39391" RPD="29.39748" RPS="1.07315" RPV="1" LEYEX="-0.06232" LEYEY="0.01681" LEYEZ="0.64032" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56322" FPOGY="0.43431" FPOGS="3387.36279" FPOGD="0.19434" FPOGID="7159" FPOGV="1" LPOGX="0.67272" LPOGY="0.43657" LPOGV="1" RPOGX="0.42211" RPOGY="0.48410" RPOGV="1" BPOGX="0.54742" BPOGY="0.46033" BPOGV="1" LPCX="0.24690" LPCY="0.40949" LPD="26.36203" LPS="1.05821" LPV="1" RPCX="0.49821" RPCY="0.39390" RPD="29.38859" RPS="1.05821" RPV="1" LEYEX="-0.06232" LEYEY="0.01681" LEYEZ="0.64032" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56272" FPOGY="0.43527" FPOGS="3387.36279" FPOGD="0.20044" FPOGID="7159" FPOGV="1" LPOGX="0.66982" LPOGY="0.44155" LPOGV="1" RPOGX="0.42575" RPOGY="0.48708" RPOGV="1" BPOGX="0.54779" BPOGY="0.46431" BPOGV="1" LPCX="0.24686" LPCY="0.40952" LPD="26.28292" LPS="1.04328" LPV="1" RPCX="0.49825" RPCY="0.39385" RPD="29.43667" RPS="1.04328" RPV="1" LEYEX="-0.06232" LEYEY="0.01681" LEYEZ="0.64032" LPUPILD="0.00524" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56226" FPOGY="0.43618" FPOGS="3387.36279" FPOGD="0.20679" FPOGID="7159" FPOGV="1" LPOGX="0.66982" LPOGY="0.44155" LPOGV="1" RPOGX="0.42575" RPOGY="0.48708" RPOGV="1" BPOGX="0.54779" BPOGY="0.46431" BPOGV="1" LPCX="0.24684" LPCY="0.40952" LPD="26.20229" LPS="1.04328" LPV="1" RPCX="0.49825" RPCY="0.39385" RPD="29.44084" RPS="1.04328" RPV="1" LEYEX="-0.06719" LEYEY="0.01815" LEYEZ="0.69141" LPUPILD="0.00524" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56208" FPOGY="0.43665" FPOGS="3387.36279" FPOGD="0.21387" FPOGID="7159" FPOGV="1" LPOGX="0.68102" LPOGY="0.43036" LPOGV="1" RPOGX="0.43170" RPOGY="0.47267" RPOGV="1" BPOGX="0.55636" BPOGY="0.45152" BPOGV="1" LPCX="0.24694" LPCY="0.40947" LPD="26.52056" LPS="1.05822" LPV="1" RPCX="0.49827" RPCY="0.39385" RPD="29.44278" RPS="1.05822" RPV="1" LEYEX="-0.06719" LEYEY="0.01815" LEYEZ="0.69141" LPUPILD="0.00525" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56202" FPOGY="0.43671" FPOGS="3387.36279" FPOGD="0.22095" FPOGID="7159" FPOGV="1" LPOGX="0.68540" LPOGY="0.42172" LPOGV="1" RPOGX="0.43509" RPOGY="0.45564" RPOGV="1" BPOGX="0.56025" BPOGY="0.43868" BPOGV="1" LPCX="0.24695" LPCY="0.40946" LPD="26.52545" LPS="1.07315" LPV="1" RPCX="0.49829" RPCY="0.39383" RPD="29.38891" RPS="1.07315" RPV="1" LEYEX="-0.06719" LEYEY="0.01815" LEYEZ="0.69141" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00040" REYEY="0.02104" REYEZ="0.67451" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
