2025-05-27 14:37:59.173305
0" REYEZ="0.73359" RPUPILD="0.00639" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57226" FPOGY="0.39030" FPOGS="3588.96509" FPOGD="0.62939" FPOGID="7816" FPOGV="1" LPOGX="0.70171" LPOGY="0.38024" LPOGV="1" RPOGX="0.42616" RPOGY="0.43018" RPOGV="1" BPOGX="0.56393" BPOGY="0.40521" BPOGV="1" LPCX="0.26075" LPCY="0.64124" LPD="24.55471" LPS="1.24363" LPV="1" RPCX="0.49282" RPCY="0.64124" RPD="28.87900" RPS="1.24363" RPV="1" LEYEX="-0.06639" LEYEY="-0.03228" LEYEZ="0.72101" LPUPILD="0.00531" LPUPILV="1" REYEX="-0.00198" REYEY="-0.03290" REYEZ="0.73359" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57369" FPOGY="0.40443" FPOGS="3589.89551" FPOGD="0.61670" FPOGID="7818" FPOGV="1" LPOGX="0.70229" LPOGY="0.38543" LPOGV="1" RPOGX="0.41853" RPOGY="0.41133" RPOGV="1" BPOGX="0.56041" BPOGY="0.39838" BPOGV="1" LPCX="0.25580" LPCY="0.64324" LPD="24.53944" LPS="1.24363" LPV="1" RPCX="0.48844" RPCY="0.64216" RPD="28.31713" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00530" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57397" FPOGY="0.40480" FPOGS="3589.89551" FPOGD="0.62305" FPOGID="7818" FPOGV="1" LPOGX="0.71945" LPOGY="0.40024" LPOGV="1" RPOGX="0.42824" RPOGY="0.42543" RPOGV="1" BPOGX="0.57385" BPOGY="0.41284" BPOGV="1" LPCX="0.25584" LPCY="0.64319" LPD="24.61617" LPS="1.24363" LPV="1" RPCX="0.48859" RPCY="0.64216" RPD="28.42467" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00531" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57379" FPOGY="0.40512" FPOGS="3589.89551" FPOGD="0.62964" FPOGID="7818" FPOGV="1" LPOGX="0.68164" LPOGY="0.37999" LPOGV="1" RPOGX="0.43168" RPOGY="0.41963" RPOGV="1" BPOGX="0.55666" BPOGY="0.39981" BPOGV="1" LPCX="0.25585" LPCY="0.64320" LPD="24.74501" LPS="1.24363" LPV="1" RPCX="0.48863" RPCY="0.64217" RPD="28.37969" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00529" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57360" FPOGY="0.40544" FPOGS="3589.89551" FPOGD="0.63647" FPOGID="7818" FPOGV="1" LPOGX="0.68164" LPOGY="0.37999" LPOGV="1" RPOGX="0.43168" RPOGY="0.41963" RPOGV="1" BPOGX="0.55666" BPOGY="0.39981" BPOGV="1" LPCX="0.25592" LPCY="0.64320" LPD="24.64991" LPS="1.24363" LPV="1" RPCX="0.48864" RPCY="0.64220" RPD="28.42404" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00535" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57349" FPOGY="0.40549" FPOGS="3589.89551" FPOGD="0.64307" FPOGID="7818" FPOGV="1" LPOGX="0.68716" LPOGY="0.37853" LPOGV="1" RPOGX="0.44051" RPOGY="0.42266" RPOGV="1" BPOGX="0.56384" BPOGY="0.40059" BPOGV="1" LPCX="0.25597" LPCY="0.64320" LPD="24.68491" LPS="1.24363" LPV="1" RPCX="0.48869" RPCY="0.64224" RPD="28.34793" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00536" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57358" FPOGY="0.40471" FPOGS="3589.89551" FPOGD="0.64990" FPOGID="7818" FPOGV="1" LPOGX="0.69267" LPOGY="0.37440" LPOGV="1" RPOGX="0.44890" RPOGY="0.34217" RPOGV="1" BPOGX="0.57079" BPOGY="0.35829" BPOGV="1" LPCX="0.25595" LPCY="0.64320" LPD="24.66570" LPS="1.24363" LPV="1" RPCX="0.48869" RPCY="0.64230" RPD="28.43382" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00537" LPUPILV="1" REYEX="-0.00328" REYEY="-0.03293" REYEZ="0.72926" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57367" FPOGY="0.40394" FPOGS="3589.89551" FPOGD="0.65649" FPOGID="7818" FPOGV="1" LPOGX="0.69267" LPOGY="0.37440" LPOGV="1" RPOGX="0.44890" RPOGY="0.34217" RPOGV="1" BPOGX="0.57079" BPOGY="0.35829" BPOGV="1" LPCX="0.25599" LPCY="0.64317" LPD="24.66512" LPS="1.24363" LPV="1" RPCX="0.48871" RPCY="0.64231" RPD="28.45127" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00540" LPUPILV="1" REYEX="-0.00309" REYEY="-0.03319" REYEZ="0.73501" RPUPILD="0.00628" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57379" FPOGY="0.40323" FPOGS="3589.89551" FPOGD="0.66455" FPOGID="7818" FPOGV="1" LPOGX="0.69896" LPOGY="0.39263" LPOGV="1" RPOGX="0.45677" RPOGY="0.34553" RPOGV="1" BPOGX="0.57786" BPOGY="0.36908" BPOGV="1" LPCX="0.25606" LPCY="0.64317" LPD="24.68191" LPS="1.24363" LPV="1" RPCX="0.48871" RPCY="0.64230" RPD="28.47445" RPS="1.24363" RPV="1" LEYEX="-0.06813" LEYEY="-0.03298" LEYEZ="0.72572" LPUPILD="0.00536" LPUPILV="1" REYEX="-0.00309" REYEY="-0.03319" REYEZ="0.73501" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
