2025-05-27 14:39:33.264182
" REYEZ="0.75304" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55868" FPOGY="0.41011" FPOGS="3683.29834" FPOGD="0.38892" FPOGID="8188" FPOGV="1" LPOGX="0.69586" LPOGY="0.42095" LPOGV="1" RPOGX="0.41696" RPOGY="0.37785" RPOGV="1" BPOGX="0.55641" BPOGY="0.39940" BPOGV="1" LPCX="0.22870" LPCY="0.66625" LPD="19.91022" LPS="1.24363" LPV="1" RPCX="0.45843" RPCY="0.65944" RPD="24.46278" RPS="1.24363" RPV="1" LEYEX="-0.07525" LEYEY="-0.03779" LEYEZ="0.72196" LPUPILD="0.00440" LPUPILV="1" REYEX="-0.01191" REYEY="-0.03795" REYEZ="0.75304" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57225" FPOGY="0.28863" FPOGS="3684.57788" FPOGD="0.01978" FPOGID="8192" FPOGV="1" LPOGX="0.71819" LPOGY="0.30422" LPOGV="1" RPOGX="0.42819" RPOGY="0.24029" RPOGV="1" BPOGX="0.57319" BPOGY="0.27225" BPOGV="1" LPCX="0.22861" LPCY="0.66696" LPD="20.49079" LPS="1.39565" LPV="1" RPCX="0.45846" RPCY="0.66019" RPD="25.23810" RPS="1.38155" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.01191" REYEY="-0.03818" REYEZ="0.75304" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56878" FPOGY="0.29582" FPOGS="3684.57788" FPOGD="0.02661" FPOGID="8192" FPOGV="1" LPOGX="0.68275" LPOGY="0.37259" LPOGV="1" RPOGX="0.42705" RPOGY="0.27658" RPOGV="1" BPOGX="0.55490" BPOGY="0.32459" BPOGV="1" LPCX="0.22865" LPCY="0.66703" LPD="20.56743" LPS="1.38155" LPV="1" RPCX="0.45847" RPCY="0.66025" RPD="25.20165" RPS="1.36744" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.01191" REYEY="-0.03818" REYEZ="0.75304" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56756" FPOGY="0.30111" FPOGS="3684.57788" FPOGD="0.03345" FPOGID="8192" FPOGV="1" LPOGX="0.69390" LPOGY="0.35013" LPOGV="1" RPOGX="0.42896" RPOGY="0.30502" RPOGV="1" BPOGX="0.56143" BPOGY="0.32757" BPOGV="1" LPCX="0.22863" LPCY="0.66719" LPD="20.94292" LPS="1.36744" LPV="1" RPCX="0.45850" RPCY="0.66028" RPD="25.23201" RPS="1.35334" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00451" LPUPILV="1" REYEX="-0.01191" REYEY="-0.03818" REYEZ="0.75304" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56668" FPOGY="0.30746" FPOGS="3684.57788" FPOGD="0.03979" FPOGID="8192" FPOGV="1" LPOGX="0.69368" LPOGY="0.36395" LPOGV="1" RPOGX="0.42916" RPOGY="0.32716" RPOGV="1" BPOGX="0.56142" BPOGY="0.34555" BPOGV="1" LPCX="0.22866" LPCY="0.66717" LPD="20.99033" LPS="1.34153" LPV="1" RPCX="0.45855" RPCY="0.66029" RPD="25.29487" RPS="1.31534" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.01169" REYEY="-0.03764" REYEZ="0.74231" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56699" FPOGY="0.31349" FPOGS="3684.57788" FPOGD="0.04663" FPOGID="8192" FPOGV="1" LPOGX="0.70188" LPOGY="0.37490" LPOGV="1" RPOGX="0.43640" RPOGY="0.33656" RPOGV="1" BPOGX="0.56914" BPOGY="0.35573" BPOGV="1" LPCX="0.22877" LPCY="0.66717" LPD="20.63051" LPS="1.30352" LPV="1" RPCX="0.45856" RPCY="0.66030" RPD="25.34956" RPS="1.29144" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00458" LPUPILV="1" REYEX="-0.01169" REYEY="-0.03764" REYEZ="0.74231" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56697" FPOGY="0.32019" FPOGS="3684.57788" FPOGD="0.05371" FPOGID="8192" FPOGV="1" LPOGX="0.69817" LPOGY="0.39690" LPOGV="1" RPOGX="0.43546" RPOGY="0.35060" RPOGV="1" BPOGX="0.56682" BPOGY="0.37375" BPOGV="1" LPCX="0.22872" LPCY="0.66727" LPD="20.76508" LPS="1.27962" LPV="1" RPCX="0.45856" RPCY="0.66037" RPD="25.32983" RPS="1.26754" RPV="1" LEYEX="-0.07857" LEYEY="-0.03966" LEYEZ="0.75325" LPUPILD="0.00455" LPUPILV="1" REYEX="-0.01169" REYEY="-0.03764" REYEZ="0.74231" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56695" FPOGY="0.32622" FPOGS="3684.57788" FPOGD="0.06006" FPOGID="8192" FPOGV="1" LPOGX="0.69802" LPOGY="0.40335" LPOGV="1" RPOGX="0.43547" RPOGY="0.35768" RPOGV="1" BPOGX="0.56675" BPOGY="0.38051" BPOGV="1" LPCX="0.22878" LPCY="0.66734" LPD="20.89988" LPS="1.26754" LPV="1" RPCX="0.45857" RPCY="0.66041" RPD="25.22128" RPS="1.25545" RPV="1" LEYEX="-0.07805" LEYEY="-0.03945" LEYEZ="0.74828" LPUPILD="0.00457" LPUPILV="1" REYEX="-0.01169" REYEY="-0.03764" REYEZ="0.74231" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56907" FPOGY="0.33166" FPOGS="3684.57788" FPOGD="0.06665" FPOGID="8192" FPOGV="1" LPOGX="0.74343" LPOGY="0.39686" LPOGV="1" RPOGX="0.43715" RPOGY="0.37513" RPOGV="1" BPOGX="0.59029" BPOGY="0.38600" BPOGV="1" LPCX="0.22878" LPCY="0.66730" LPD="20.78284" LPS="1.26726" LPV="1" RPCX="0.45857" RPCY="0.66041" RPD="25.22128" RPS="1.26726" RPV="1" LEYEX="-0.07805" LEYEY="-0.03945" LEYEZ="0.74828" LPUPILD="0.00458" LPUPILV="1" REYEX="-0.01169" REYEY="-0.03764" REYEZ="0.74231" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
