2025-05-27 14:41:55.305982
EYEZ="0.65639" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55257" FPOGY="0.39972" FPOGS="3825.41870" FPOGD="0.30176" FPOGID="8751" FPOGV="1" LPOGX="0.68842" LPOGY="0.41760" LPOGV="1" RPOGX="0.41727" RPOGY="0.41284" RPOGV="1" BPOGX="0.55285" BPOGY="0.41522" BPOGV="1" LPCX="0.20789" LPCY="0.41932" LPD="20.34748" LPS="0.98894" LPV="1" RPCX="0.46737" RPCY="0.41097" RPD="25.27147" RPS="0.99612" RPV="1" LEYEX="-0.07242" LEYEY="0.01480" LEYEZ="0.64474" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.00812" REYEY="0.01684" REYEZ="0.65639" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55257" FPOGY="0.39989" FPOGS="3825.41870" FPOGD="0.30835" FPOGID="8751" FPOGV="1" LPOGX="0.68847" LPOGY="0.41280" LPOGV="1" RPOGX="0.41699" RPOGY="0.40240" RPOGV="1" BPOGX="0.55273" BPOGY="0.40760" BPOGV="1" LPCX="0.20782" LPCY="0.41933" LPD="20.48934" LPS="0.99612" LPV="1" RPCX="0.46724" RPCY="0.41097" RPD="25.19347" RPS="1.01140" RPV="1" LEYEX="-0.07315" LEYEY="0.01494" LEYEZ="0.65079" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.00858" REYEY="0.01768" REYEZ="0.68925" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3826.40332" FPOGD="0.16772" FPOGID="8755" FPOGV="0" LPOGX="0.75756" LPOGY="0.80233" LPOGV="0" RPOGX="0.38634" RPOGY="1.19081" RPOGV="0" BPOGX="0.57195" BPOGY="0.99657" BPOGV="0" LPCX="0.20989" LPCY="0.42333" LPD="14.52262" LPS="1.05675" LPV="0" RPCX="0.46738" RPCY="0.41762" RPD="11.16207" RPS="1.05675" RPV="0" LEYEX="-0.07452" LEYEY="0.01508" LEYEZ="0.66570" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00829" REYEY="0.01714" REYEZ="0.67429" RPUPILD="0.00420" RPUPILV="1" BKID="593" BKDUR="0.00000" BKPMIN="11" />
