2025-05-28 14:10:02.958819
YEZ="0.61536" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56665" FPOGY="0.42818" FPOGS="662.06189" FPOGD="0.63586" FPOGID="534" FPOGV="1" LPOGX="0.69220" LPOGY="0.40224" LPOGV="1" RPOGX="0.43048" RPOGY="0.44831" RPOGV="1" BPOGX="0.56134" BPOGY="0.42528" BPOGV="1" LPCX="0.19314" LPCY="0.58190" LPD="29.60581" LPS="0.87003" LPV="1" RPCX="0.46971" RPCY="0.57381" RPD="27.36743" RPS="0.87003" RPV="1" LEYEX="-0.07170" LEYEY="-0.01640" LEYEZ="0.60757" LPUPILD="0.00560" LPUPILV="1" REYEX="-0.00711" REYEY="-0.01505" REYEZ="0.61536" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57309" FPOGY="0.44118" FPOGS="663.40143" FPOGD="0.20734" FPOGID="537" FPOGV="1" LPOGX="0.71940" LPOGY="0.47836" LPOGV="1" RPOGX="0.43505" RPOGY="0.39509" RPOGV="1" BPOGX="0.57722" BPOGY="0.43673" BPOGV="1" LPCX="0.19152" LPCY="0.58257" LPD="28.52718" LPS="0.87003" LPV="1" RPCX="0.46821" RPCY="0.57429" RPD="26.37501" RPS="0.87003" RPV="1" LEYEX="-0.07276" LEYEY="-0.01670" LEYEZ="0.61339" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.00741" REYEY="-0.01509" REYEZ="0.60977" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57301" FPOGY="0.44129" FPOGS="663.40143" FPOGD="0.21497" FPOGID="537" FPOGV="1" LPOGX="0.71255" LPOGY="0.48465" LPOGV="1" RPOGX="0.42785" RPOGY="0.40479" RPOGV="1" BPOGX="0.57020" BPOGY="0.44472" BPOGV="1" LPCX="0.19144" LPCY="0.58267" LPD="28.39231" LPS="0.87003" LPV="1" RPCX="0.46818" RPCY="0.57431" RPD="26.38415" RPS="0.87003" RPV="1" LEYEX="-0.07276" LEYEY="-0.01670" LEYEZ="0.61339" LPUPILD="0.00525" LPUPILV="1" REYEX="-0.00741" REYEY="-0.01509" REYEZ="0.60977" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57292" FPOGY="0.44133" FPOGS="663.40143" FPOGD="0.22156" FPOGID="537" FPOGV="1" LPOGX="0.71255" LPOGY="0.48465" LPOGV="1" RPOGX="0.42779" RPOGY="0.40021" RPOGV="1" BPOGX="0.57017" BPOGY="0.44243" BPOGV="1" LPCX="0.19143" LPCY="0.58267" LPD="28.43610" LPS="0.87003" LPV="1" RPCX="0.46818" RPCY="0.57432" RPD="26.42089" RPS="0.87582" RPV="1" LEYEX="-0.07109" LEYEY="-0.01636" LEYEZ="0.59934" LPUPILD="0.00524" LPUPILV="1" REYEX="-0.00761" REYEY="-0.01541" REYEZ="0.62272" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57249" FPOGY="0.44078" FPOGS="663.40143" FPOGD="0.22858" FPOGID="537" FPOGV="1" LPOGX="0.70034" LPOGY="0.43911" LPOGV="1" RPOGX="0.41516" RPOGY="0.40530" RPOGV="1" BPOGX="0.55775" BPOGY="0.42220" BPOGV="1" LPCX="0.19140" LPCY="0.58270" LPD="28.39006" LPS="0.87582" LPV="1" RPCX="0.46807" RPCY="0.57434" RPD="26.26358" RPS="0.88161" RPV="1" LEYEX="-0.07109" LEYEY="-0.01636" LEYEZ="0.59934" LPUPILD="0.00525" LPUPILV="1" REYEX="-0.00761" REYEY="-0.01541" REYEZ="0.62272" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57208" FPOGY="0.43998" FPOGS="663.40143" FPOGD="0.23492" FPOGID="537" FPOGV="1" LPOGX="0.69818" LPOGY="0.43113" LPOGV="1" RPOGX="0.41713" RPOGY="0.39275" RPOGV="1" BPOGX="0.55765" BPOGY="0.41194" BPOGV="1" LPCX="0.19132" LPCY="0.58266" LPD="28.29930" LPS="0.88161" LPV="1" RPCX="0.46803" RPCY="0.57434" RPD="26.27670" RPS="0.88739" RPV="1" LEYEX="-0.07109" LEYEY="-0.01636" LEYEZ="0.59934" LPUPILD="0.00523" LPUPILV="1" REYEX="-0.00761" REYEY="-0.01541" REYEZ="0.62272" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57168" FPOGY="0.43892" FPOGS="663.40143" FPOGD="0.24121" FPOGID="537" FPOGV="1" LPOGX="0.69839" LPOGY="0.42271" LPOGV="1" RPOGX="0.41676" RPOGY="0.37862" RPOGV="1" BPOGX="0.55757" BPOGY="0.40067" BPOGV="1" LPCX="0.19130" LPCY="0.58268" LPD="28.24984" LPS="0.89305" LPV="1" RPCX="0.46796" RPCY="0.57435" RPD="26.08736" RPS="0.90527" RPV="1" LEYEX="-0.07376" LEYEY="-0.01697" LEYEZ="0.62145" LPUPILD="0.00523" LPUPILV="1" REYEX="-0.00785" REYEY="-0.01579" REYEZ="0.63815" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57234" FPOGY="0.43730" FPOGS="663.40143" FPOGD="0.24792" FPOGID="537" FPOGV="1" LPOGX="0.72370" LPOGY="0.37524" LPOGV="1" RPOGX="0.46945" RPOGY="0.37947" RPOGV="1" BPOGX="0.59657" BPOGY="0.37736" BPOGV="1" LPCX="0.19115" LPCY="0.58286" LPD="28.20993" LPS="0.91093" LPV="1" RPCX="0.46790" RPCY="0.57438" RPD="26.05540" RPS="0.91737" RPV="1" LEYEX="-0.07376" LEYEY="-0.01697" LEYEZ="0.62145" LPUPILD="0.00521" LPUPILV="1" REYEX="-0.00785" REYEY="-0.01579" REYEZ="0.63815" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57285" FPOGY="0.43535" FPOGS="663.40143" FPOGD="0.25464" FPOGID="537" FPOGV="1" LPOGX="0.72044" LPOGY="0.36435" LPOGV="1" RPOGX="0.46435" RPOGY="0.35864" RPOGV="1" BPOGX="0.59239" BPOGY="0.36149" BPOGV="1" LPCX="0.19110" LPCY="0.58292" LPD="28.16624" LPS="0.92302" LPV="1" RPCX="0.46783" RPCY="0.57435" RPD="26.11167" RPS="0.92946" RPV="1" LEYEX="-0.07376" LEYEY="-0.01697" LEYEZ="0.62145" LPUPILD="0.00525" LPUPILV="1" REYEX="-0.00785" REYEY="-0.01579" REYEZ="0.63815" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
