2025-05-29 10:08:51.538612
YEZ="0.67623" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56181" FPOGY="0.40208" FPOGS="282.67181" FPOGD="0.22083" FPOGID="883" FPOGV="1" LPOGX="0.70709" LPOGY="0.40660" LPOGV="1" RPOGX="0.41260" RPOGY="0.46667" RPOGV="1" BPOGX="0.55984" BPOGY="0.43663" BPOGV="1" LPCX="0.23866" LPCY="0.58636" LPD="20.44327" LPS="1.08004" LPV="1" RPCX="0.48762" RPCY="0.57486" RPD="23.21149" RPS="1.08004" RPV="1" LEYEX="-0.06667" LEYEY="-0.01865" LEYEZ="0.66310" LPUPILD="0.00419" LPUPILV="1" REYEX="-0.00314" REYEY="-0.01653" REYEZ="0.67623" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56090" FPOGY="0.42135" FPOGS="283.59570" FPOGD="0.21527" FPOGID="886" FPOGV="1" LPOGX="0.69521" LPOGY="0.36932" LPOGV="1" RPOGX="0.44173" RPOGY="0.42655" RPOGV="1" BPOGX="0.56847" BPOGY="0.39794" BPOGV="1" LPCX="0.23881" LPCY="0.58648" LPD="20.39283" LPS="1.14211" LPV="1" RPCX="0.48785" RPCY="0.57493" RPD="22.86741" RPS="1.15128" RPV="1" LEYEX="-0.06845" LEYEY="-0.01917" LEYEZ="0.68177" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00321" REYEY="-0.01714" REYEZ="0.70099" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56112" FPOGY="0.42050" FPOGS="283.59570" FPOGD="0.22266" FPOGID="886" FPOGV="1" LPOGX="0.69532" LPOGY="0.36363" LPOGV="1" RPOGX="0.44177" RPOGY="0.42124" RPOGV="1" BPOGX="0.56854" BPOGY="0.39244" BPOGV="1" LPCX="0.23884" LPCY="0.58649" LPD="20.35588" LPS="1.15128" LPV="1" RPCX="0.48784" RPCY="0.57497" RPD="22.83175" RPS="1.16044" RPV="1" LEYEX="-0.06845" LEYEY="-0.01917" LEYEZ="0.68177" LPUPILD="0.00418" LPUPILV="1" REYEX="-0.00317" REYEY="-0.01701" REYEZ="0.69368" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56136" FPOGY="0.41981" FPOGS="283.59570" FPOGD="0.22849" FPOGID="886" FPOGV="1" LPOGX="0.69607" LPOGY="0.36817" LPOGV="1" RPOGX="0.44255" RPOGY="0.42446" RPOGV="1" BPOGX="0.56931" BPOGY="0.39631" BPOGV="1" LPCX="0.23885" LPCY="0.58655" LPD="20.36858" LPS="1.16044" LPV="1" RPCX="0.48783" RPCY="0.57504" RPD="22.64248" RPS="1.16044" RPV="1" LEYEX="-0.06845" LEYEY="-0.01917" LEYEZ="0.68177" LPUPILD="0.00420" LPUPILV="1" REYEX="-0.00317" REYEY="-0.01701" REYEZ="0.69368" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56145" FPOGY="0.41905" FPOGS="283.59570" FPOGD="0.23523" FPOGID="886" FPOGV="1" LPOGX="0.68743" LPOGY="0.35721" LPOGV="1" RPOGX="0.44190" RPOGY="0.42790" RPOGV="1" BPOGX="0.56467" BPOGY="0.39255" BPOGV="1" LPCX="0.23881" LPCY="0.58665" LPD="20.31474" LPS="1.16044" LPV="1" RPCX="0.48782" RPCY="0.57506" RPD="22.68367" RPS="1.16044" RPV="1" LEYEX="-0.06845" LEYEY="-0.01917" LEYEZ="0.68177" LPUPILD="0.00424" LPUPILV="1" REYEX="-0.00317" REYEY="-0.01701" REYEZ="0.69368" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56154" FPOGY="0.41855" FPOGS="283.59570" FPOGD="0.24191" FPOGID="886" FPOGV="1" LPOGX="0.68738" LPOGY="0.36277" LPOGV="1" RPOGX="0.44182" RPOGY="0.43827" RPOGV="1" BPOGX="0.56460" BPOGY="0.40052" BPOGV="1" LPCX="0.23879" LPCY="0.58665" LPD="20.23996" LPS="1.15149" LPV="1" RPCX="0.48780" RPCY="0.57509" RPD="22.60231" RPS="1.14232" RPV="1" LEYEX="-0.06875" LEYEY="-0.01925" LEYEZ="0.68428" LPUPILD="0.00417" LPUPILV="1" REYEX="-0.00319" REYEY="-0.01685" REYEZ="0.68699" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56184" FPOGY="0.41925" FPOGS="283.59570" FPOGD="0.24930" FPOGID="886" FPOGV="1" LPOGX="0.71389" LPOGY="0.42787" LPOGV="1" RPOGX="0.43243" RPOGY="0.46267" RPOGV="1" BPOGX="0.57316" BPOGY="0.44527" BPOGV="1" LPCX="0.23872" LPCY="0.58680" LPD="20.38544" LPS="1.13336" LPV="1" RPCX="0.48776" RPCY="0.57510" RPD="22.78044" RPS="1.12419" RPV="1" LEYEX="-0.06875" LEYEY="-0.01925" LEYEZ="0.68428" LPUPILD="0.00414" LPUPILV="1" REYEX="-0.00319" REYEY="-0.01685" REYEZ="0.68699" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56198" FPOGY="0.41930" FPOGS="283.59570" FPOGD="0.25540" FPOGID="886" FPOGV="1" LPOGX="0.70695" LPOGY="0.42873" LPOGV="1" RPOGX="0.42741" RPOGY="0.41346" RPOGV="1" BPOGX="0.56718" BPOGY="0.42110" BPOGV="1" LPCX="0.23863" LPCY="0.58671" LPD="20.32187" LPS="1.11524" LPV="1" RPCX="0.48769" RPCY="0.57514" RPD="22.64859" RPS="1.10607" RPV="1" LEYEX="-0.06875" LEYEY="-0.01925" LEYEZ="0.68428" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.00319" REYEY="-0.01685" REYEZ="0.68699" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.56210" FPOGY="0.41973" FPOGS="283.59570" FPOGD="0.26727" FPOGID="886" FPOGV="1" LPOGX="0.70638" LPOGY="0.44395" LPOGV="1" RPOGX="0.42762" RPOGY="0.42946" RPOGV="1" BPOGX="0.56700" BPOGY="0.43670" BPOGV="1" LPCX="0.23858" LPCY="0.58674" LPD="20.31851" LPS="1.08921" LPV="1" RPCX="0.48763" RPCY="0.57515" RPD="22.71002" RPS="1.08004" RPV="1" LEYEX="-0.06668" LEYEY="-0.01870" LEYEZ="0.66318" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.00313" REYEY="-0.01655" REYEZ="0.67268" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
