2025-05-27 14:53:58.194138
EYEZ="0.58059" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.57166" FPOGY="0.24032" FPOGS="4548.57275" FPOGD="0.03369" FPOGID="9929" FPOGV="1" LPOGX="0.59969" LPOGY="0.44287" LPOGV="1" RPOGX="0.50811" RPOGY="0.23219" RPOGV="1" BPOGX="0.55390" BPOGY="0.33753" BPOGV="1" LPCX="0.18244" LPCY="0.12553" LPD="17.53506" LPS="0.79195" LPV="1" RPCX="0.47108" RPCY="0.15152" RPD="18.25485" RPS="0.79195" RPV="1" LEYEX="-0.06382" LEYEY="0.05859" LEYEZ="0.52360" LPUPILD="0.00368" LPUPILV="1" REYEX="-0.00679" REYEY="0.06035" REYEZ="0.58059" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56398" FPOGY="-0.36531" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.56852" LPOGY="-0.60759" LPOGV="1" RPOGX="0.54542" RPOGY="-1.33584" RPOGV="1" BPOGX="0.55697" BPOGY="-0.97171" BPOGV="1" LPCX="0.19046" LPCY="0.12471" LPD="21.98761" LPS="1.61208" LPV="1" RPCX="0.47829" RPCY="0.15264" RPD="24.86919" RPS="2.07041" RPV="1" LEYEX="-0.06248" LEYEY="0.05923" LEYEZ="0.52681" LPUPILD="0.00414" LPUPILV="1" REYEX="-0.00908" REYEY="0.13333" REYEZ="1.28825" RPUPILD="0.00468" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.55698" FPOGY="-0.64310" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.54086" LPOGY="-1.06970" LPOGV="1" RPOGX="0.54510" RPOGY="-1.32765" RPOGV="1" BPOGX="0.54298" BPOGY="-1.19868" BPOGV="1" LPCX="0.19050" LPCY="0.12476" LPD="21.75855" LPS="2.07041" LPV="1" RPCX="0.47833" RPCY="0.15282" RPD="24.89926" RPS="2.06336" RPV="1" LEYEX="-0.06131" LEYEY="0.05813" LEYEZ="0.51736" LPUPILD="0.00419" LPUPILV="1" REYEX="-0.00460" REYEY="0.05469" REYEZ="0.52841" RPUPILD="0.00468" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.54758" FPOGY="-1.02934" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.55204" LPOGY="-1.01360" LPOGV="1" RPOGX="0.53354" RPOGY="-0.82164" RPOGV="1" BPOGX="0.54279" BPOGY="-0.91762" BPOGV="1" LPCX="0.19059" LPCY="0.12498" LPD="22.27025" LPS="2.06030" LPV="1" RPCX="0.47844" RPCY="0.15294" RPD="24.67934" RPS="1.59491" RPV="1" LEYEX="-0.06131" LEYEY="0.05813" LEYEZ="0.51736" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00460" REYEY="0.05469" REYEZ="0.52841" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.54556" FPOGY="-0.71427" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.58325" LPOGY="-0.56048" LPOGV="1" RPOGX="0.50383" RPOGY="-0.23793" RPOGV="1" BPOGX="0.54354" BPOGY="-0.39920" BPOGV="1" LPCX="0.19061" LPCY="0.12500" LPD="22.28380" LPS="1.59185" LPV="1" RPCX="0.47839" RPCY="0.15313" RPD="25.23584" RPS="1.12646" RPV="1" LEYEX="-0.06131" LEYEY="0.05813" LEYEZ="0.51736" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00460" REYEY="0.05469" REYEZ="0.52841" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.54493" FPOGY="-0.43839" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.61003" LPOGY="-0.08671" LPOGV="1" RPOGX="0.47729" RPOGY="0.31344" RPOGV="1" BPOGX="0.54366" BPOGY="0.11336" BPOGV="1" LPCX="0.19063" LPCY="0.12501" LPD="22.25036" LPS="1.12340" LPV="1" RPCX="0.47839" RPCY="0.15326" RPD="25.34208" RPS="0.65802" RPV="1" LEYEX="-0.06131" LEYEY="0.05805" LEYEZ="0.51736" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00460" REYEY="0.05476" REYEZ="0.52950" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.54890" FPOGY="0.01895" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.63894" LPOGY="0.40319" LPOGV="1" RPOGX="0.48006" RPOGY="0.28220" RPOGV="1" BPOGX="0.55950" BPOGY="0.34269" BPOGV="1" LPCX="0.19062" LPCY="0.12507" LPD="22.01216" LPS="0.65802" LPV="1" RPCX="0.47843" RPCY="0.15344" RPD="24.79761" RPS="0.65802" RPV="1" LEYEX="-0.06131" LEYEY="0.05805" LEYEZ="0.51736" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00460" REYEY="0.05476" REYEZ="0.52950" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.55113" FPOGY="0.17903" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.63219" LPOGY="0.38830" LPOGV="1" RPOGX="0.47455" RPOGY="0.28993" RPOGV="1" BPOGX="0.55337" BPOGY="0.33911" BPOGV="1" LPCX="0.19059" LPCY="0.12510" LPD="21.94936" LPS="0.65802" LPV="1" RPCX="0.47843" RPCY="0.15346" RPD="25.00962" RPS="0.65802" RPV="1" LEYEX="-0.06131" LEYEY="0.05805" LEYEZ="0.51736" LPUPILD="0.00411" LPUPILV="1" REYEX="-0.00460" REYEY="0.05476" REYEZ="0.52950" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.55191" FPOGY="0.23171" FPOGS="4548.92041" FPOGD="0.59668" FPOGID="9930" FPOGV="0" LPOGX="0.63219" LPOGY="0.38830" LPOGV="1" RPOGX="0.47473" RPOGY="0.28582" RPOGV="1" BPOGX="0.55346" BPOGY="0.33706" BPOGV="1" LPCX="0.19052" LPCY="0.12519" LPD="22.06991" LPS="0.65802" LPV="1" RPCX="0.47826" RPCY="0.15361" RPD="25.04408" RPS="0.66140" RPV="1" LEYEX="-0.06131" LEYEY="0.05805" LEYEZ="0.51736" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00467" REYEY="0.05494" REYEZ="0.53199" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
