2025-05-27 14:53:20.568691
EZ="0.57683" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.57507" FPOGY="0.22396" FPOGS="4510.65967" FPOGD="0.32422" FPOGID="9792" FPOGV="1" LPOGX="0.62199" LPOGY="0.29475" LPOGV="1" RPOGX="0.51053" RPOGY="0.10894" RPOGV="1" BPOGX="0.56626" BPOGY="0.20184" BPOGV="1" LPCX="0.21890" LPCY="0.09977" LPD="21.66348" LPS="0.75066" LPV="1" RPCX="0.50636" RPCY="0.13240" RPD="24.12576" RPS="0.75899" RPV="1" LEYEX="-0.06135" LEYEY="0.06788" LEYEZ="0.56635" LPUPILD="0.00404" LPUPILV="1" REYEX="0.00121" REYEY="0.06325" REYEZ="0.57683" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59423" FPOGY="0.20434" FPOGS="4511.53076" FPOGD="0.38135" FPOGID="9794" FPOGV="1" LPOGX="0.64766" LPOGY="0.26038" LPOGV="1" RPOGX="0.55385" RPOGY="0.08494" RPOGV="1" BPOGX="0.60075" BPOGY="0.17266" BPOGV="1" LPCX="0.23155" LPCY="0.09798" LPD="22.37468" LPS="0.75756" LPV="1" RPCX="0.51914" RPCY="0.13410" RPD="25.28806" RPS="0.75756" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00430" LPUPILV="1" REYEX="0.00382" REYEY="0.06110" REYEZ="0.55955" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59459" FPOGY="0.20438" FPOGS="4511.53076" FPOGD="0.38770" FPOGID="9794" FPOGV="1" LPOGX="0.64766" LPOGY="0.26038" LPOGV="1" RPOGX="0.55385" RPOGY="0.08494" RPOGV="1" BPOGX="0.60075" BPOGY="0.17266" BPOGV="1" LPCX="0.23157" LPCY="0.09803" LPD="22.35009" LPS="0.75756" LPV="1" RPCX="0.51923" RPCY="0.13406" RPD="25.15216" RPS="0.75756" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00437" LPUPILV="1" REYEX="0.00382" REYEY="0.06110" REYEZ="0.55955" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59450" FPOGY="0.20450" FPOGS="4511.53076" FPOGD="0.39404" FPOGID="9794" FPOGV="1" LPOGX="0.62258" LPOGY="0.25220" LPOGV="1" RPOGX="0.55244" RPOGY="0.09016" RPOGV="1" BPOGX="0.58751" BPOGY="0.17118" BPOGV="1" LPCX="0.23193" LPCY="0.09807" LPD="22.22958" LPS="0.75756" LPV="1" RPCX="0.51953" RPCY="0.13412" RPD="25.27709" RPS="0.75756" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00437" LPUPILV="1" REYEX="0.00382" REYEY="0.06110" REYEZ="0.55955" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59407" FPOGY="0.20463" FPOGS="4511.53076" FPOGD="0.40234" FPOGID="9794" FPOGV="1" LPOGX="0.63006" LPOGY="0.25134" LPOGV="1" RPOGX="0.54057" RPOGY="0.09864" RPOGV="1" BPOGX="0.58532" BPOGY="0.17499" BPOGV="1" LPCX="0.23207" LPCY="0.09803" LPD="22.42353" LPS="0.75756" LPV="1" RPCX="0.51976" RPCY="0.13420" RPD="25.21351" RPS="0.75756" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00439" LPUPILV="1" REYEX="0.00382" REYEY="0.06110" REYEZ="0.55955" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59366" FPOGY="0.20462" FPOGS="4511.53076" FPOGD="0.40771" FPOGID="9794" FPOGV="1" LPOGX="0.63032" LPOGY="0.25553" LPOGV="1" RPOGX="0.53956" RPOGY="0.10888" RPOGV="1" BPOGX="0.58494" BPOGY="0.18220" BPOGV="1" LPCX="0.23235" LPCY="0.09803" LPD="22.42652" LPS="0.75366" LPV="1" RPCX="0.51985" RPCY="0.13410" RPD="25.19159" RPS="0.74968" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00430" LPUPILV="1" REYEX="0.00398" REYEY="0.05909" REYEZ="0.54224" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59379" FPOGY="0.20445" FPOGS="4511.53076" FPOGD="0.41455" FPOGID="9794" FPOGV="1" LPOGX="0.65606" LPOGY="0.26454" LPOGV="1" RPOGX="0.56019" RPOGY="0.13667" RPOGV="1" BPOGX="0.60812" BPOGY="0.20060" BPOGV="1" LPCX="0.23239" LPCY="0.09806" LPD="22.59587" LPS="0.74578" LPV="1" RPCX="0.52005" RPCY="0.13422" RPD="25.08669" RPS="0.74180" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00440" LPUPILV="1" REYEX="0.00398" REYEY="0.05909" REYEZ="0.54224" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59366" FPOGY="0.20420" FPOGS="4511.53076" FPOGD="0.42139" FPOGID="9794" FPOGV="1" LPOGX="0.62390" LPOGY="0.27091" LPOGV="1" RPOGX="0.53987" RPOGY="0.16253" RPOGV="1" BPOGX="0.58189" BPOGY="0.21672" BPOGV="1" LPCX="0.23261" LPCY="0.09809" LPD="22.52901" LPS="0.73790" LPV="1" RPCX="0.52021" RPCY="0.13428" RPD="24.96197" RPS="0.73392" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00433" LPUPILV="1" REYEX="0.00398" REYEY="0.05909" REYEZ="0.54224" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.59354" FPOGY="0.20391" FPOGS="4511.53076" FPOGD="0.42822" FPOGID="9794" FPOGV="1" LPOGX="0.62420" LPOGY="0.27521" LPOGV="1" RPOGX="0.53987" RPOGY="0.16253" RPOGV="1" BPOGX="0.58203" BPOGY="0.21887" BPOGV="1" LPCX="0.23267" LPCY="0.09813" LPD="22.66076" LPS="0.73392" LPV="1" RPCX="0.52040" RPCY="0.13436" RPD="24.86999" RPS="0.73392" RPV="1" LEYEX="-0.05713" LEYEY="0.06629" LEYEZ="0.55142" LPUPILD="0.00432" LPUPILV="1" REYEX="0.00418" REYEY="0.06140" REYEZ="0.56339" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
