2025-05-29 11:07:36.257424
EYEZ="0.56329" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.58757" FPOGY="0.94549" FPOGS="3807.23022" FPOGD="0.10059" FPOGID="9338" FPOGV="1" LPOGX="0.65334" LPOGY="1.00285" LPOGV="1" RPOGX="0.51320" RPOGY="0.88463" RPOGV="1" BPOGX="0.58327" BPOGY="0.94374" BPOGV="1" LPCX="0.37967" LPCY="0.49784" LPD="21.36147" LPS="0.76642" LPV="1" RPCX="0.65243" RPCY="0.50854" RPD="22.68745" RPS="0.76642" RPV="1" LEYEX="-0.02535" LEYEY="0.00025" LEYEZ="0.55082" LPUPILD="0.00390" LPUPILV="1" REYEX="0.03308" REYEY="-0.00187" REYEZ="0.56797" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56710" FPOGY="0.28404" FPOGS="3807.69946" FPOGD="0.54224" FPOGID="9339" FPOGV="1" LPOGX="0.65795" LPOGY="0.36460" LPOGV="1" RPOGX="0.49347" RPOGY="0.19483" RPOGV="1" BPOGX="0.57571" BPOGY="0.27972" BPOGV="1" LPCX="0.38072" LPCY="0.48279" LPD="20.43468" LPS="0.77496" LPV="1" RPCX="0.65494" RPCY="0.49388" RPD="21.86404" RPS="0.77496" RPV="1" LEYEX="-0.02576" LEYEY="0.00161" LEYEZ="0.56416" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03443" REYEY="-0.00070" REYEZ="0.58127" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56669" FPOGY="0.28447" FPOGS="3807.69946" FPOGD="0.54932" FPOGID="9339" FPOGV="1" LPOGX="0.62561" LPOGY="0.37016" LPOGV="1" RPOGX="0.48978" RPOGY="0.21081" RPOGV="1" BPOGX="0.55770" BPOGY="0.29049" BPOGV="1" LPCX="0.38106" LPCY="0.48278" LPD="20.29425" LPS="0.77496" LPV="1" RPCX="0.65513" RPCY="0.49394" RPD="22.06518" RPS="0.77496" RPV="1" LEYEX="-0.02576" LEYEY="0.00161" LEYEZ="0.56416" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03443" REYEY="-0.00070" REYEZ="0.58127" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56629" FPOGY="0.28498" FPOGS="3807.69946" FPOGD="0.55615" FPOGID="9339" FPOGV="1" LPOGX="0.62561" LPOGY="0.37016" LPOGV="1" RPOGX="0.48950" RPOGY="0.21574" RPOGV="1" BPOGX="0.55756" BPOGY="0.29295" BPOGV="1" LPCX="0.38127" LPCY="0.48299" LPD="20.64522" LPS="0.77496" LPV="1" RPCX="0.65538" RPCY="0.49387" RPD="21.47641" RPS="0.77061" RPV="1" LEYEX="-0.02568" LEYEY="0.00161" LEYEZ="0.56617" LPUPILD="0.00389" LPUPILV="1" REYEX="0.03357" REYEY="-0.00068" REYEZ="0.56463" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56660" FPOGY="0.28546" FPOGS="3807.69946" FPOGD="0.56299" FPOGID="9339" FPOGV="1" LPOGX="0.65913" LPOGY="0.38178" LPOGV="1" RPOGX="0.49736" RPOGY="0.21255" RPOGV="1" BPOGX="0.57824" BPOGY="0.29717" BPOGV="1" LPCX="0.38155" LPCY="0.48283" LPD="20.50312" LPS="0.77061" LPV="1" RPCX="0.65569" RPCY="0.49402" RPD="21.91723" RPS="0.76626" RPV="1" LEYEX="-0.02568" LEYEY="0.00161" LEYEZ="0.56617" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03357" REYEY="-0.00068" REYEZ="0.56463" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56662" FPOGY="0.28539" FPOGS="3807.69946" FPOGD="0.56982" FPOGID="9339" FPOGV="1" LPOGX="0.62766" LPOGY="0.37347" LPOGV="1" RPOGX="0.48641" RPOGY="0.22282" RPOGV="1" BPOGX="0.55703" BPOGY="0.29815" BPOGV="1" LPCX="0.38191" LPCY="0.48293" LPD="20.64460" LPS="0.76626" LPV="1" RPCX="0.65591" RPCY="0.49411" RPD="21.85405" RPS="0.76192" RPV="1" LEYEX="-0.02568" LEYEY="0.00161" LEYEZ="0.56617" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03357" REYEY="-0.00068" REYEZ="0.56463" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56663" FPOGY="0.28520" FPOGS="3807.69946" FPOGD="0.57642" FPOGID="9339" FPOGV="1" LPOGX="0.62795" LPOGY="0.37741" LPOGV="1" RPOGX="0.48641" RPOGY="0.22282" RPOGV="1" BPOGX="0.55718" BPOGY="0.30012" BPOGV="1" LPCX="0.38208" LPCY="0.48298" LPD="20.63447" LPS="0.76192" LPV="1" RPCX="0.65619" RPCY="0.49388" RPD="21.39608" RPS="0.76192" RPV="1" LEYEX="-0.02549" LEYEY="0.00161" LEYEZ="0.56584" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03475" REYEY="-0.00070" REYEZ="0.58077" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56705" FPOGY="0.28435" FPOGS="3807.69946" FPOGD="0.58350" FPOGID="9339" FPOGV="1" LPOGX="0.66151" LPOGY="0.37633" LPOGV="1" RPOGX="0.48891" RPOGY="0.16845" RPOGV="1" BPOGX="0.57521" BPOGY="0.27239" BPOGV="1" LPCX="0.38249" LPCY="0.48283" LPD="20.77739" LPS="0.76192" LPV="1" RPCX="0.65652" RPCY="0.49404" RPD="21.87507" RPS="0.76626" RPV="1" LEYEX="-0.02549" LEYEY="0.00161" LEYEZ="0.56584" LPUPILD="0.00385" LPUPILV="1" REYEX="0.03475" REYEY="-0.00070" REYEZ="0.58077" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56705" FPOGY="0.28426" FPOGS="3807.69946" FPOGD="0.58960" FPOGID="9339" FPOGV="1" LPOGX="0.63018" LPOGY="0.40228" LPOGV="1" RPOGX="0.48883" RPOGY="0.22264" RPOGV="1" BPOGX="0.55951" BPOGY="0.31246" BPOGV="1" LPCX="0.38259" LPCY="0.48281" LPD="20.63866" LPS="0.76626" LPV="1" RPCX="0.65668" RPCY="0.49408" RPD="21.95259" RPS="0.77061" RPV="1" LEYEX="-0.02549" LEYEY="0.00161" LEYEZ="0.56584" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03475" REYEY="-0.00070" REYEZ="0.58077" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
