2025-05-30 10:21:31.814194
 REYEZ="0.63050" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57471" FPOGY="0.33844" FPOGS="1541.63635" FPOGD="0.52295" FPOGID="3727" FPOGV="1" LPOGX="0.64196" LPOGY="0.43775" LPOGV="1" RPOGX="0.50856" RPOGY="0.22962" RPOGV="1" BPOGX="0.57526" BPOGY="0.33368" BPOGV="1" LPCX="0.29818" LPCY="0.63821" LPD="17.37009" LPS="0.98200" LPV="1" RPCX="0.54673" RPCY="0.62569" RPD="24.24270" RPS="0.97557" RPV="1" LEYEX="-0.05083" LEYEY="-0.02897" LEYEZ="0.65368" LPUPILD="0.00375" LPUPILV="1" REYEX="0.01042" REYEY="-0.02414" REYEZ="0.59160" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57496" FPOGY="0.33814" FPOGS="1541.63635" FPOGD="0.53003" FPOGID="3727" FPOGV="1" LPOGX="0.64248" LPOGY="0.44643" LPOGV="1" RPOGX="0.50807" RPOGY="0.23579" RPOGV="1" BPOGX="0.57528" BPOGY="0.34111" BPOGV="1" LPCX="0.29814" LPCY="0.63798" LPD="17.05182" LPS="0.96854" LPV="1" RPCX="0.54689" RPCY="0.62583" RPD="24.21690" RPS="0.96854" RPV="1" LEYEX="-0.04888" LEYEY="-0.02805" LEYEZ="0.63168" LPUPILD="0.00366" LPUPILV="1" REYEX="0.01159" REYEY="-0.02637" REYEZ="0.64400" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57484" FPOGY="0.33943" FPOGS="1541.63635" FPOGD="0.53674" FPOGID="3727" FPOGV="1" LPOGX="0.65853" LPOGY="0.46114" LPOGV="1" RPOGX="0.49106" RPOGY="0.27909" RPOGV="1" BPOGX="0.57480" BPOGY="0.37011" BPOGV="1" LPCX="0.29865" LPCY="0.63859" LPD="17.75916" LPS="0.96151" LPV="1" RPCX="0.54735" RPCY="0.62606" RPD="24.09170" RPS="0.96795" RPV="1" LEYEX="-0.04888" LEYEY="-0.02805" LEYEZ="0.63168" LPUPILD="0.00363" LPUPILV="1" REYEX="0.01159" REYEY="-0.02637" REYEZ="0.64400" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57493" FPOGY="0.33983" FPOGS="1541.63635" FPOGD="0.54309" FPOGID="3727" FPOGV="1" LPOGX="0.66614" LPOGY="0.47874" LPOGV="1" RPOGX="0.48418" RPOGY="0.18816" RPOGV="1" BPOGX="0.57516" BPOGY="0.33345" BPOGV="1" LPCX="0.29881" LPCY="0.63876" LPD="17.93554" LPS="0.96092" LPV="1" RPCX="0.54757" RPCY="0.62626" RPD="24.11793" RPS="0.96735" RPV="1" LEYEX="-0.04888" LEYEY="-0.02805" LEYEZ="0.63168" LPUPILD="0.00367" LPUPILV="1" REYEX="0.01159" REYEY="-0.02637" REYEZ="0.64400" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57502" FPOGY="0.34033" FPOGS="1541.63635" FPOGD="0.55005" FPOGID="3727" FPOGV="1" LPOGX="0.66614" LPOGY="0.47910" LPOGV="1" RPOGX="0.48449" RPOGY="0.18202" RPOGV="1" BPOGX="0.57532" BPOGY="0.33056" BPOGV="1" LPCX="0.29891" LPCY="0.63870" LPD="17.80572" LPS="0.96033" LPV="1" RPCX="0.54784" RPCY="0.62636" RPD="23.98213" RPS="0.97395" RPV="1" LEYEX="-0.04906" LEYEY="-0.02846" LEYEZ="0.63778" LPUPILD="0.00359" LPUPILV="1" REYEX="0.01196" REYEY="-0.02681" REYEZ="0.65107" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57481" FPOGY="0.34080" FPOGS="1541.63635" FPOGD="0.55640" FPOGID="3727" FPOGV="1" LPOGX="0.65511" LPOGY="0.47238" LPOGV="1" RPOGX="0.51077" RPOGY="0.21517" RPOGV="1" BPOGX="0.58294" BPOGY="0.34377" BPOGV="1" LPCX="0.29957" LPCY="0.63888" LPD="17.51920" LPS="0.97395" LPV="1" RPCX="0.54837" RPCY="0.62661" RPD="24.15491" RPS="0.98114" RPV="1" LEYEX="-0.04906" LEYEY="-0.02846" LEYEZ="0.63778" LPUPILD="0.00366" LPUPILV="1" REYEX="0.01196" REYEY="-0.02681" REYEZ="0.65107" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57501" FPOGY="0.34094" FPOGS="1541.63635" FPOGD="0.56311" FPOGID="3727" FPOGV="1" LPOGX="0.68249" LPOGY="0.44260" LPOGV="1" RPOGX="0.47728" RPOGY="0.23835" RPOGV="1" BPOGX="0.57989" BPOGY="0.34047" BPOGV="1" LPCX="0.29977" LPCY="0.63904" LPD="17.18147" LPS="0.98114" LPV="1" RPCX="0.54864" RPCY="0.62671" RPD="24.07026" RPS="0.98833" RPV="1" LEYEX="-0.04906" LEYEY="-0.02846" LEYEZ="0.63778" LPUPILD="0.00369" LPUPILV="1" REYEX="0.01196" REYEY="-0.02681" REYEZ="0.65107" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57520" FPOGY="0.34107" FPOGS="1541.63635" FPOGD="0.56982" FPOGID="3727" FPOGV="1" LPOGX="0.68250" LPOGY="0.43795" LPOGV="1" RPOGX="0.47703" RPOGY="0.24389" RPOGV="1" BPOGX="0.57976" BPOGY="0.34092" BPOGV="1" LPCX="0.30020" LPCY="0.63962" LPD="17.89145" LPS="0.98833" LPV="1" RPCX="0.54887" RPCY="0.62692" RPD="24.10625" RPS="0.98190" RPV="1" LEYEX="-0.04860" LEYEY="-0.02840" LEYEZ="0.63417" LPUPILD="0.00364" LPUPILV="1" REYEX="0.01176" REYEY="-0.02578" REYEZ="0.62507" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57483" FPOGY="0.34192" FPOGS="1541.63635" FPOGD="0.57654" FPOGID="3727" FPOGV="1" LPOGX="0.68012" LPOGY="0.48843" LPOGV="1" RPOGX="0.47167" RPOGY="0.23722" RPOGV="1" BPOGX="0.57589" BPOGY="0.36282" BPOGV="1" LPCX="0.30052" LPCY="0.63978" LPD="17.54851" LPS="0.98190" LPV="1" RPCX="0.54945" RPCY="0.62718" RPD="24.13334" RPS="0.96827" RPV="1" LEYEX="-0.04860" LEYEY="-0.02840" LEYEZ="0.63417" LPUPILD="0.00366" LPUPILV="1" REYEX="0.01176" REYEY="-0.02578" REYEZ="0.62507" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57509" FPOGY="0.34357" FPOGS="1541.63635" FPOGD="0.58325" FPOGID="3727" FPOGV="1" LPOGX="0.65459" LPOGY="0.53223" LPOGV="1" RPOGX="0.50124" RPOGY="0.20618" RPOGV="1" BPOGX="0.57792" BPOGY="0.36920" BPOGV="1" LPCX="0.30101" LPCY="0.63993" LPD="17.47937" LPS="0.96827" LPV="1" RPCX="0.54984" RPCY="0.62738" RPD="24.11728" RPS="0.95465" RPV="1" LEYEX="-0.04860" LEYEY="-0.02840" LEYEZ="0.63417" LPUPILD="0.00366" LPUPILV="1" REYEX="0.01176" REYEY="-0.02578" REYEZ="0.62507" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.57534" FPOGY="0.34510" FPOGS="1541.63635" FPOGD="0.59021" FPOGID="3727" FPOGV="1" LPOGX="0.65496" LPOGY="0.53984" LPOGV="1" RPOGX="0.50078" RPOGY="0.21281" RPOGV="1" BPOGX="0.57787" BPOGY="0.37633" BPOGV="1" LPCX="0.30132" LPCY="0.64002" LPD="17.38967" LPS="0.95465" LPV="1" RPCX="0.55004" RPCY="0.62743" RPD="24.04795" RPS="0.94746" RPV="1" LEYEX="-0.04976" LEYEY="-0.02945" LEYEZ="0.65453" LPUPILD="0.00371" LPUPILV="1" REYEX="0.01176" REYEY="-0.02578" REYEZ="0.62507" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
