2025-05-27 15:14:15.695059
02" REYEZ="0.67118" RPUPILD="0.00573" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.30290" FPOGY="0.76727" FPOGS="5766.04248" FPOGD="0.07373" FPOGID="13841" FPOGV="1" LPOGX="0.34214" LPOGY="0.74467" LPOGV="1" RPOGX="0.26305" RPOGY="0.79277" RPOGV="1" BPOGX="0.30260" BPOGY="0.76872" BPOGV="1" LPCX="0.23967" LPCY="0.57925" LPD="27.41590" LPS="1.05760" LPV="1" RPCX="0.48253" RPCY="0.54960" RPD="28.04834" RPS="1.05760" RPV="1" LEYEX="-0.06496" LEYEY="-0.01685" LEYEZ="0.66081" LPUPILD="0.00566" LPUPILV="1" REYEX="-0.00382" REYEY="-0.01102" REYEZ="0.67118" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.30282" FPOGY="0.76728" FPOGS="5766.04248" FPOGD="0.08008" FPOGID="13841" FPOGV="1" LPOGX="0.34214" LPOGY="0.74467" LPOGV="1" RPOGX="0.26157" RPOGY="0.79013" RPOGV="1" BPOGX="0.30186" BPOGY="0.76740" BPOGV="1" LPCX="0.23959" LPCY="0.57893" LPD="27.22715" LPS="1.05760" LPV="1" RPCX="0.48241" RPCY="0.54932" RPD="28.12912" RPS="1.06677" RPV="1" LEYEX="-0.06578" LEYEY="-0.01641" LEYEZ="0.66715" LPUPILD="0.00564" LPUPILV="1" REYEX="-0.00418" REYEY="-0.01073" REYEZ="0.68785" RPUPILD="0.00574" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.25504" FPOGY="0.99361" FPOGS="5766.45117" FPOGD="0.50195" FPOGID="13843" FPOGV="0" LPOGX="0.29810" LPOGY="0.98516" LPOGV="1" RPOGX="0.19883" RPOGY="1.00836" RPOGV="1" BPOGX="0.24847" BPOGY="0.99676" BPOGV="1" LPCX="0.21972" LPCY="0.59666" LPD="27.97580" LPS="1.08922" LPV="1" RPCX="0.46081" RPCY="0.56117" RPD="29.36604" RPS="1.08922" RPV="1" LEYEX="-0.07282" LEYEY="-0.02035" LEYEZ="0.68679" LPUPILD="0.00573" LPUPILV="1" REYEX="-0.00978" REYEY="-0.01298" REYEZ="0.68659" RPUPILD="0.00597" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.25171" FPOGY="0.99168" FPOGS="5767.02051" FPOGD="0.02002" FPOGID="13844" FPOGV="1" LPOGX="0.29987" LPOGY="0.94282" LPOGV="1" RPOGX="0.18357" RPOGY="1.02895" RPOGV="1" BPOGX="0.24172" BPOGY="0.98588" BPOGV="1" LPCX="0.21981" LPCY="0.59730" LPD="27.97252" LPS="1.08922" LPV="1" RPCX="0.46101" RPCY="0.56167" RPD="29.27571" RPS="1.08922" RPV="1" LEYEX="-0.07282" LEYEY="-0.02035" LEYEZ="0.68679" LPUPILD="0.00576" LPUPILV="1" REYEX="-0.00978" REYEY="-0.01298" REYEZ="0.68659" RPUPILD="0.00598" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.25017" FPOGY="0.99066" FPOGS="5767.02051" FPOGD="0.02686" FPOGID="13844" FPOGV="1" LPOGX="0.30263" LPOGY="0.94377" LPOGV="1" RPOGX="0.18539" RPOGY="1.02942" RPOGV="1" BPOGX="0.24401" BPOGY="0.98660" BPOGV="1" LPCX="0.21982" LPCY="0.59753" LPD="28.03473" LPS="1.08131" LPV="1" RPCX="0.46108" RPCY="0.56191" RPD="29.28348" RPS="1.08131" RPV="1" LEYEX="-0.07000" LEYEY="-0.01997" LEYEZ="0.66069" LPUPILD="0.00571" LPUPILV="1" REYEX="-0.00938" REYEY="-0.01302" REYEZ="0.67278" RPUPILD="0.00597" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.24778" FPOGY="0.99058" FPOGS="5767.02051" FPOGD="0.03320" FPOGID="13844" FPOGV="1" LPOGX="0.28078" LPOGY="0.93950" LPOGV="1" RPOGX="0.19085" RPOGY="1.04080" RPOGV="1" BPOGX="0.23581" BPOGY="0.99015" BPOGV="1" LPCX="0.21994" LPCY="0.59879" LPD="28.19954" LPS="1.07341" LPV="1" RPCX="0.46144" RPCY="0.56287" RPD="29.33028" RPS="1.07341" RPV="1" LEYEX="-0.07000" LEYEY="-0.01997" LEYEZ="0.66069" LPUPILD="0.00573" LPUPILV="1" REYEX="-0.00938" REYEY="-0.01302" REYEZ="0.67278" RPUPILD="0.00598" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.24812" FPOGY="0.99341" FPOGS="5767.02051" FPOGD="0.04053" FPOGID="13844" FPOGV="1" LPOGX="0.29039" LPOGY="0.96726" LPOGV="1" RPOGX="0.20998" RPOGY="1.05355" RPOGV="1" BPOGX="0.25018" BPOGY="1.01040" BPOGV="1" LPCX="0.21997" LPCY="0.59946" LPD="28.15470" LPS="1.06551" LPV="1" RPCX="0.46162" RPCY="0.56337" RPD="29.18170" RPS="1.06551" RPV="1" LEYEX="-0.07000" LEYEY="-0.01997" LEYEZ="0.66069" LPUPILD="0.00572" LPUPILV="1" REYEX="-0.00938" REYEY="-0.01302" REYEZ="0.67278" RPUPILD="0.00597" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.24892" FPOGY="0.99567" FPOGS="5767.02051" FPOGD="0.04688" FPOGID="13844" FPOGV="1" LPOGX="0.29587" LPOGY="0.96879" LPOGV="1" RPOGX="0.21315" RPOGY="1.05411" RPOGV="1" BPOGX="0.25451" BPOGY="1.01145" BPOGV="1" LPCX="0.22001" LPCY="0.59968" LPD="27.88019" LPS="1.05057" LPV="1" RPCX="0.46166" RPCY="0.56351" RPD="29.35846" RPS="1.05057" RPV="1" LEYEX="-0.06811" LEYEY="-0.01983" LEYEZ="0.64333" LPUPILD="0.00571" LPUPILV="1" REYEX="-0.00938" REYEY="-0.01361" REYEZ="0.68746" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.25027" FPOGY="0.99374" FPOGS="5767.02051" FPOGD="0.05322" FPOGID="13844" FPOGV="1" LPOGX="0.30848" LPOGY="0.95059" LPOGV="1" RPOGX="0.21368" RPOGY="1.00612" RPOGV="1" BPOGX="0.26108" BPOGY="0.97835" BPOGV="1" LPCX="0.22005" LPCY="0.60083" LPD="28.28243" LPS="1.04355" LPV="1" RPCX="0.46192" RPCY="0.56442" RPD="29.37325" RPS="1.04355" RPV="1" LEYEX="-0.06811" LEYEY="-0.01983" LEYEZ="0.64333" LPUPILD="0.00572" LPUPILV="1" REYEX="-0.00938" REYEY="-0.01361" REYEZ="0.68746" RPUPILD="0.00600" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
