2025-05-30 10:02:36.359688
YEZ="0.59185" RPUPILD="0.00578" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55958" FPOGY="0.41543" FPOGS="405.02942" FPOGD="0.77673" FPOGID="427" FPOGV="1" LPOGX="0.63138" LPOGY="0.43864" LPOGV="1" RPOGX="0.50813" RPOGY="0.41051" RPOGV="1" BPOGX="0.56975" BPOGY="0.42457" BPOGV="1" LPCX="0.19958" LPCY="0.52691" LPD="31.23109" LPS="0.83907" LPV="1" RPCX="0.47433" RPCY="0.49452" RPD="31.05137" RPS="0.83383" RPV="1" LEYEX="-0.06777" LEYEY="-0.00600" LEYEZ="0.58809" LPUPILD="0.00600" LPUPILV="1" REYEX="-0.00608" REYEY="-0.00018" REYEZ="0.59185" RPUPILD="0.00578" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55842" FPOGY="0.41657" FPOGS="405.02942" FPOGD="1.69504" FPOGID="427" FPOGV="1" LPOGX="0.63163" LPOGY="0.44006" LPOGV="1" RPOGX="0.51726" RPOGY="0.43820" RPOGV="1" BPOGX="0.57444" BPOGY="0.43913" BPOGV="1" LPCX="0.21069" LPCY="0.53142" LPD="31.86132" LPS="0.85979" LPV="1" RPCX="0.48261" RPCY="0.50182" RPD="32.54811" RPS="0.85979" RPV="1" LEYEX="-0.06636" LEYEY="-0.00682" LEYEZ="0.59849" LPUPILD="0.00618" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00606" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55806" FPOGY="0.41601" FPOGS="405.02942" FPOGD="1.70084" FPOGID="427" FPOGV="1" LPOGX="0.59508" LPOGY="0.45630" LPOGV="1" RPOGX="0.50539" RPOGY="0.35463" RPOGV="1" BPOGX="0.55023" BPOGY="0.40547" BPOGV="1" LPCX="0.21081" LPCY="0.53156" LPD="32.06154" LPS="0.85467" LPV="1" RPCX="0.48286" RPCY="0.50195" RPD="32.54578" RPS="0.85467" RPV="1" LEYEX="-0.06636" LEYEY="-0.00682" LEYEZ="0.59849" LPUPILD="0.00620" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00607" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55769" FPOGY="0.41549" FPOGS="405.02942" FPOGD="1.70816" FPOGID="427" FPOGV="1" LPOGX="0.59508" LPOGY="0.45630" LPOGV="1" RPOGX="0.50539" RPOGY="0.35463" RPOGV="1" BPOGX="0.55023" BPOGY="0.40547" BPOGV="1" LPCX="0.21093" LPCY="0.53160" LPD="31.99325" LPS="0.85467" LPV="1" RPCX="0.48293" RPCY="0.50201" RPD="32.57027" RPS="0.85467" RPV="1" LEYEX="-0.06645" LEYEY="-0.00699" LEYEZ="0.60131" LPUPILD="0.00619" LPUPILV="1" REYEX="-0.00420" REYEY="-0.00164" REYEZ="0.60867" RPUPILD="0.00607" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55713" FPOGY="0.41532" FPOGS="405.02942" FPOGD="1.71460" FPOGID="427" FPOGV="1" LPOGX="0.60536" LPOGY="0.42670" LPOGV="1" RPOGX="0.48695" RPOGY="0.40108" RPOGV="1" BPOGX="0.54616" BPOGY="0.41389" BPOGV="1" LPCX="0.21138" LPCY="0.53188" LPD="31.97399" LPS="0.85979" LPV="1" RPCX="0.48348" RPCY="0.50240" RPD="32.57288" RPS="0.85979" RPV="1" LEYEX="-0.06645" LEYEY="-0.00699" LEYEZ="0.60131" LPUPILD="0.00622" LPUPILV="1" REYEX="-0.00420" REYEY="-0.00164" REYEZ="0.60867" RPUPILD="0.00608" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55677" FPOGY="0.41519" FPOGS="405.02942" FPOGD="1.72144" FPOGID="427" FPOGV="1" LPOGX="0.59054" LPOGY="0.43512" LPOGV="1" RPOGX="0.50829" RPOGY="0.40293" RPOGV="1" BPOGX="0.54941" BPOGY="0.41902" BPOGV="1" LPCX="0.21169" LPCY="0.53190" LPD="32.14124" LPS="0.86491" LPV="1" RPCX="0.48361" RPCY="0.50248" RPD="32.64034" RPS="0.86491" RPV="1" LEYEX="-0.06645" LEYEY="-0.00699" LEYEZ="0.60131" LPUPILD="0.00619" LPUPILV="1" REYEX="-0.00420" REYEY="-0.00164" REYEZ="0.60867" RPUPILD="0.00604" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55640" FPOGY="0.41514" FPOGS="405.02942" FPOGD="1.72803" FPOGID="427" FPOGV="1" LPOGX="0.59054" LPOGY="0.43512" LPOGV="1" RPOGX="0.50829" RPOGY="0.40293" RPOGV="1" BPOGX="0.54941" BPOGY="0.41902" BPOGV="1" LPCX="0.21175" LPCY="0.53199" LPD="32.17538" LPS="0.86491" LPV="1" RPCX="0.48374" RPCY="0.50251" RPD="32.51542" RPS="0.86491" RPV="1" LEYEX="-0.06578" LEYEY="-0.00698" LEYEZ="0.59641" LPUPILD="0.00620" LPUPILV="1" REYEX="-0.00400" REYEY="-0.00164" REYEZ="0.60619" RPUPILD="0.00607" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55625" FPOGY="0.41659" FPOGS="405.02942" FPOGD="1.73465" FPOGID="427" FPOGV="1" LPOGX="0.62712" LPOGY="0.45888" LPOGV="1" RPOGX="0.49038" RPOGY="0.44128" RPOGV="1" BPOGX="0.55875" BPOGY="0.45008" BPOGV="1" LPCX="0.21221" LPCY="0.53208" LPD="32.04473" LPS="0.85979" LPV="1" RPCX="0.48419" RPCY="0.50289" RPD="32.58601" RPS="0.85979" RPV="1" LEYEX="-0.06578" LEYEY="-0.00698" LEYEZ="0.59641" LPUPILD="0.00621" LPUPILV="1" REYEX="-0.00400" REYEY="-0.00164" REYEZ="0.60619" RPUPILD="0.00606" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55623" FPOGY="0.41653" FPOGS="405.02942" FPOGD="1.74200" FPOGID="427" FPOGV="1" LPOGX="0.61818" LPOGY="0.46743" LPOGV="1" RPOGX="0.50950" RPOGY="0.40416" RPOGV="1" BPOGX="0.56384" BPOGY="0.43580" BPOGV="1" LPCX="0.21241" LPCY="0.53214" LPD="32.07040" LPS="0.85467" LPV="1" RPCX="0.48445" RPCY="0.50288" RPD="32.74169" RPS="0.85467" RPV="1" LEYEX="-0.06578" LEYEY="-0.00698" LEYEZ="0.59641" LPUPILD="0.00622" LPUPILV="1" REYEX="-0.00400" REYEY="-0.00164" REYEZ="0.60619" RPUPILD="0.00607" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
