2025-05-30 10:05:54.514210
Z="0.62050" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56482" FPOGY="0.41576" FPOGS="603.49213" FPOGD="0.47473" FPOGID="939" FPOGV="1" LPOGX="0.63654" LPOGY="0.39721" LPOGV="1" RPOGX="0.51135" RPOGY="0.41357" RPOGV="1" BPOGX="0.57395" BPOGY="0.40539" BPOGV="1" LPCX="0.24039" LPCY="0.60783" LPD="30.11242" LPS="0.88161" LPV="1" RPCX="0.50877" RPCY="0.56813" RPD="30.38230" RPS="0.87582" RPV="1" LEYEX="-0.06063" LEYEY="-0.02137" LEYEZ="0.60889" LPUPILD="0.00576" LPUPILV="1" REYEX="0.00186" REYEY="-0.01424" REYEZ="0.62050" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56319" FPOGY="0.46159" FPOGS="604.71710" FPOGD="0.17572" FPOGID="942" FPOGV="1" LPOGX="0.61230" LPOGY="0.44843" LPOGV="1" RPOGX="0.51980" RPOGY="0.40301" RPOGV="1" BPOGX="0.56605" BPOGY="0.42572" BPOGV="1" LPCX="0.24330" LPCY="0.58824" LPD="30.83065" LPS="0.92868" LPV="1" RPCX="0.50999" RPCY="0.55224" RPD="31.67591" RPS="0.92225" RPV="1" LEYEX="-0.06045" LEYEY="-0.01776" LEYEZ="0.61500" LPUPILD="0.00601" LPUPILV="1" REYEX="0.00221" REYEY="-0.01131" REYEZ="0.62819" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56329" FPOGY="0.46061" FPOGS="604.71710" FPOGD="0.18158" FPOGID="942" FPOGV="1" LPOGX="0.61317" LPOGY="0.45648" LPOGV="1" RPOGX="0.51876" RPOGY="0.41198" RPOGV="1" BPOGX="0.56596" BPOGY="0.43423" BPOGV="1" LPCX="0.24325" LPCY="0.58812" LPD="30.87674" LPS="0.91659" LPV="1" RPCX="0.50993" RPCY="0.55216" RPD="31.59169" RPS="0.91016" RPV="1" LEYEX="-0.06006" LEYEY="-0.01758" LEYEZ="0.61054" LPUPILD="0.00600" LPUPILV="1" REYEX="0.00221" REYEY="-0.01112" REYEZ="0.62819" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56251" FPOGY="0.45781" FPOGS="604.71710" FPOGD="0.18829" FPOGID="942" FPOGV="1" LPOGX="0.60701" LPOGY="0.38073" LPOGV="1" RPOGX="0.47444" RPOGY="0.37824" RPOGV="1" BPOGX="0.54072" BPOGY="0.37948" BPOGV="1" LPCX="0.24319" LPCY="0.58727" LPD="30.82928" LPS="0.90450" LPV="1" RPCX="0.50978" RPCY="0.55140" RPD="31.43285" RPS="0.90450" RPV="1" LEYEX="-0.06006" LEYEY="-0.01758" LEYEZ="0.61054" LPUPILD="0.00601" LPUPILV="1" REYEX="0.00221" REYEY="-0.01112" REYEZ="0.62819" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56229" FPOGY="0.45668" FPOGS="604.71710" FPOGD="0.19507" FPOGID="942" FPOGV="1" LPOGX="0.61126" LPOGY="0.47763" LPOGV="1" RPOGX="0.50038" RPOGY="0.36997" RPOGV="1" BPOGX="0.55582" BPOGY="0.42380" BPOGV="1" LPCX="0.24322" LPCY="0.58723" LPD="30.81609" LPS="0.89884" LPV="1" RPCX="0.50983" RPCY="0.55124" RPD="31.46980" RPS="0.89884" RPV="1" LEYEX="-0.06006" LEYEY="-0.01758" LEYEZ="0.61054" LPUPILD="0.00600" LPUPILV="1" REYEX="0.00221" REYEY="-0.01112" REYEZ="0.62819" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56209" FPOGY="0.45567" FPOGS="604.71710" FPOGD="0.20178" FPOGID="942" FPOGV="1" LPOGX="0.61168" LPOGY="0.48134" LPOGV="1" RPOGX="0.50043" RPOGY="0.36935" RPOGV="1" BPOGX="0.55606" BPOGY="0.42534" BPOGV="1" LPCX="0.24321" LPCY="0.58719" LPD="30.84128" LPS="0.89318" LPV="1" RPCX="0.50983" RPCY="0.55124" RPD="31.47369" RPS="0.89962" RPV="1" LEYEX="-0.06006" LEYEY="-0.01745" LEYEZ="0.61054" LPUPILD="0.00600" LPUPILV="1" REYEX="0.00221" REYEY="-0.01134" REYEZ="0.64056" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56209" FPOGY="0.45494" FPOGS="604.71710" FPOGD="0.20905" FPOGID="942" FPOGV="1" LPOGX="0.61299" LPOGY="0.46051" LPOGV="1" RPOGX="0.51115" RPOGY="0.40393" RPOGV="1" BPOGX="0.56207" BPOGY="0.43222" BPOGV="1" LPCX="0.24320" LPCY="0.58706" LPD="30.88994" LPS="0.89962" LPV="1" RPCX="0.50984" RPCY="0.55111" RPD="31.52304" RPS="0.90605" RPV="1" LEYEX="-0.06006" LEYEY="-0.01745" LEYEZ="0.61054" LPUPILD="0.00601" LPUPILV="1" REYEX="0.00221" REYEY="-0.01134" REYEZ="0.64056" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56204" FPOGY="0.45367" FPOGS="604.71710" FPOGD="0.21570" FPOGID="942" FPOGV="1" LPOGX="0.61216" LPOGY="0.44896" LPOGV="1" RPOGX="0.50859" RPOGY="0.37725" RPOGV="1" BPOGX="0.56037" BPOGY="0.41311" BPOGV="1" LPCX="0.24316" LPCY="0.58696" LPD="30.87735" LPS="0.90605" LPV="1" RPCX="0.50988" RPCY="0.55095" RPD="31.62217" RPS="0.91248" RPV="1" LEYEX="-0.06006" LEYEY="-0.01745" LEYEZ="0.61054" LPUPILD="0.00602" LPUPILV="1" REYEX="0.00221" REYEY="-0.01134" REYEZ="0.64056" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55850" FPOGY="0.42293" FPOGS="604.71710" FPOGD="0.21570" FPOGID="942" FPOGV="0" LPOGX="0.61127" LPOGY="0.44072" LPOGV="1" RPOGX="0.50949" RPOGY="0.36784" RPOGV="1" BPOGX="0.56038" BPOGY="0.40428" BPOGV="1" LPCX="0.24318" LPCY="0.58695" LPD="30.89894" LPS="0.91814" LPV="1" RPCX="0.50989" RPCY="0.55095" RPD="31.58534" RPS="0.92457" RPV="1" LEYEX="-0.06045" LEYEY="-0.01753" LEYEZ="0.61500" LPUPILD="0.00600" LPUPILV="1" REYEX="0.00221" REYEY="-0.01115" REYEZ="0.64056" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
