2025-06-03 14:16:54.375051
Z="0.63150" RPUPILD="0.00578" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.51935" FPOGY="0.40847" FPOGS="736.87579" FPOGD="0.15674" FPOGID="735" FPOGV="1" LPOGX="0.58916" LPOGY="0.43360" LPOGV="1" RPOGX="0.46564" RPOGY="0.40425" RPOGV="1" BPOGX="0.52740" BPOGY="0.41892" BPOGV="1" LPCX="0.29840" LPCY="0.63876" LPD="29.08452" LPS="0.91796" LPV="1" RPCX="0.55804" RPCY="0.61166" RPD="29.74176" RPS="0.91153" RPV="1" LEYEX="-0.04832" LEYEY="-0.02783" LEYEZ="0.62687" LPUPILD="0.00570" LPUPILV="1" REYEX="0.01397" REYEY="-0.02288" REYEZ="0.63150" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.51967" FPOGY="0.40896" FPOGS="736.87579" FPOGD="0.16345" FPOGID="735" FPOGV="1" LPOGX="0.58979" LPOGY="0.43801" LPOGV="1" RPOGX="0.46564" RPOGY="0.40425" RPOGV="1" BPOGX="0.52771" BPOGY="0.42113" BPOGV="1" LPCX="0.29842" LPCY="0.63876" LPD="29.02837" LPS="0.91153" LPV="1" RPCX="0.55812" RPCY="0.61170" RPD="29.65551" RPS="0.91153" RPV="1" LEYEX="-0.04853" LEYEY="-0.02801" LEYEZ="0.63091" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01417" REYEY="-0.02292" REYEZ="0.63415" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54064" FPOGY="0.42733" FPOGS="736.87579" FPOGD="1.06177" FPOGID="735" FPOGV="1" LPOGX="0.60619" LPOGY="0.43755" LPOGV="1" RPOGX="0.46611" RPOGY="0.43603" RPOGV="1" BPOGX="0.53615" BPOGY="0.43679" BPOGV="1" LPCX="0.28265" LPCY="0.63682" LPD="28.78889" LPS="0.91707" LPV="1" RPCX="0.54211" RPCY="0.60672" RPD="29.61723" RPS="0.92929" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00562" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54081" FPOGY="0.42745" FPOGS="736.87579" FPOGD="1.06860" FPOGID="735" FPOGV="1" LPOGX="0.60523" LPOGY="0.42918" LPOGV="1" RPOGX="0.46648" RPOGY="0.42742" RPOGV="1" BPOGX="0.53586" BPOGY="0.42830" BPOGV="1" LPCX="0.28266" LPCY="0.63685" LPD="28.83386" LPS="0.92929" LPV="1" RPCX="0.54211" RPCY="0.60670" RPD="29.67492" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00562" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54062" FPOGY="0.42722" FPOGS="736.87579" FPOGD="1.07526" FPOGID="735" FPOGV="1" LPOGX="0.59484" LPOGY="0.41485" LPOGV="1" RPOGX="0.48599" RPOGY="0.42478" RPOGV="1" BPOGX="0.54042" BPOGY="0.41982" BPOGV="1" LPCX="0.28264" LPCY="0.63685" LPD="28.83823" LPS="0.94151" LPV="1" RPCX="0.54196" RPCY="0.60662" RPD="29.59990" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00565" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54073" FPOGY="0.42675" FPOGS="736.87579" FPOGD="1.08203" FPOGID="735" FPOGV="1" LPOGX="0.58940" LPOGY="0.41074" LPOGV="1" RPOGX="0.48562" RPOGY="0.41295" RPOGV="1" BPOGX="0.53751" BPOGY="0.41184" BPOGV="1" LPCX="0.28260" LPCY="0.63680" LPD="28.70447" LPS="0.94151" LPV="1" RPCX="0.54193" RPCY="0.60661" RPD="29.58600" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00566" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54084" FPOGY="0.42622" FPOGS="736.87579" FPOGD="1.08868" FPOGID="735" FPOGV="1" LPOGX="0.58940" LPOGY="0.41074" LPOGV="1" RPOGX="0.48562" RPOGY="0.41295" RPOGV="1" BPOGX="0.53751" BPOGY="0.41184" BPOGV="1" LPCX="0.28252" LPCY="0.63676" LPD="28.84904" LPS="0.94151" LPV="1" RPCX="0.54194" RPCY="0.60660" RPD="29.60842" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00560" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54080" FPOGY="0.42613" FPOGS="736.87579" FPOGD="1.09528" FPOGID="735" FPOGV="1" LPOGX="0.58561" LPOGY="0.40972" LPOGV="1" RPOGX="0.48426" RPOGY="0.40661" RPOGV="1" BPOGX="0.53493" BPOGY="0.40816" BPOGV="1" LPCX="0.28243" LPCY="0.63667" LPD="28.82383" LPS="0.94151" LPV="1" RPCX="0.54188" RPCY="0.60647" RPD="29.68428" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00559" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54066" FPOGY="0.42592" FPOGS="736.87579" FPOGD="1.10236" FPOGID="735" FPOGV="1" LPOGX="0.61510" LPOGY="0.40421" LPOGV="1" RPOGX="0.48203" RPOGY="0.40611" RPOGV="1" BPOGX="0.54857" BPOGY="0.40516" BPOGV="1" LPCX="0.28242" LPCY="0.63663" LPD="28.94864" LPS="0.94151" LPV="1" RPCX="0.54189" RPCY="0.60648" RPD="29.69118" RPS="0.94151" RPV="1" LEYEX="-0.05175" LEYEY="-0.02726" LEYEZ="0.62232" LPUPILD="0.00558" LPUPILV="1" REYEX="0.01029" REYEY="-0.02213" REYEZ="0.64133" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
