2025-05-27 15:27:53.264242
0" REYEZ="0.62943" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.57098" FPOGY="0.37215" FPOGS="6583.37646" FPOGD="0.30078" FPOGID="15364" FPOGV="1" LPOGX="0.57841" LPOGY="0.31519" LPOGV="1" RPOGX="0.55116" RPOGY="0.36427" RPOGV="1" BPOGX="0.56479" BPOGY="0.33973" BPOGV="1" LPCX="0.36236" LPCY="0.60637" LPD="29.19791" LPS="0.91777" LPV="1" RPCX="0.60252" RPCY="0.60769" RPD="30.81141" RPS="0.91777" RPV="1" LEYEX="-0.03051" LEYEY="-0.02067" LEYEZ="0.61943" LPUPILD="0.00656" LPUPILV="1" REYEX="0.02435" REYEY="-0.02209" REYEZ="0.63073" RPUPILD="0.00648" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57636" FPOGY="0.54443" FPOGS="6584.50732" FPOGD="0.08789" FPOGID="15365" FPOGV="1" LPOGX="0.58644" LPOGY="0.57416" LPOGV="1" RPOGX="0.56781" RPOGY="0.49435" RPOGV="1" BPOGX="0.57713" BPOGY="0.53425" BPOGV="1" LPCX="0.35575" LPCY="0.61799" LPD="28.83742" LPS="0.90208" LPV="1" RPCX="0.59853" RPCY="0.61330" RPD="28.85715" RPS="0.88986" RPV="1" LEYEX="-0.03331" LEYEY="-0.02297" LEYEZ="0.60534" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02251" REYEY="-0.02211" REYEZ="0.60785" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57643" FPOGY="0.54387" FPOGS="6584.50732" FPOGD="0.09424" FPOGID="15365" FPOGV="1" LPOGX="0.58705" LPOGY="0.57740" LPOGV="1" RPOGX="0.56779" RPOGY="0.49444" RPOGV="1" BPOGX="0.57742" BPOGY="0.53592" BPOGV="1" LPCX="0.35577" LPCY="0.61809" LPD="28.71798" LPS="0.89615" LPV="1" RPCX="0.59857" RPCY="0.61333" RPD="28.85396" RPS="0.88971" RPV="1" LEYEX="-0.03532" LEYEY="-0.02442" LEYEZ="0.64353" LPUPILD="0.00639" LPUPILV="1" REYEX="0.02371" REYEY="-0.02319" REYEZ="0.63617" RPUPILD="0.00654" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57600" FPOGY="0.53941" FPOGS="6584.50732" FPOGD="0.10107" FPOGID="15365" FPOGV="1" LPOGX="0.57670" LPOGY="0.43943" LPOGV="1" RPOGX="0.56251" RPOGY="0.50559" RPOGV="1" BPOGX="0.56961" BPOGY="0.47251" BPOGV="1" LPCX="0.35610" LPCY="0.61897" LPD="27.08280" LPS="0.90166" LPV="1" RPCX="0.59882" RPCY="0.61391" RPD="28.60096" RPS="0.90745" RPV="1" LEYEX="-0.03532" LEYEY="-0.02442" LEYEZ="0.64353" LPUPILD="0.00648" LPUPILV="1" REYEX="0.02371" REYEY="-0.02319" REYEZ="0.63617" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57619" FPOGY="0.53831" FPOGS="6584.50732" FPOGD="0.10791" FPOGID="15365" FPOGV="1" LPOGX="0.58678" LPOGY="0.49899" LPOGV="1" RPOGX="0.57140" RPOGY="0.54247" RPOGV="1" BPOGX="0.57909" BPOGY="0.52073" BPOGV="1" LPCX="0.35621" LPCY="0.61936" LPD="28.49215" LPS="0.91939" LPV="1" RPCX="0.59881" RPCY="0.61455" RPD="29.44969" RPS="0.92518" RPV="1" LEYEX="-0.03532" LEYEY="-0.02442" LEYEZ="0.64353" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02371" REYEY="-0.02319" REYEZ="0.63617" RPUPILD="0.00648" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57634" FPOGY="0.53683" FPOGS="6584.50732" FPOGD="0.11426" FPOGID="15365" FPOGV="1" LPOGX="0.58502" LPOGY="0.48810" LPOGV="1" RPOGX="0.57308" RPOGY="0.53546" RPOGV="1" BPOGX="0.57905" BPOGY="0.51178" BPOGV="1" LPCX="0.35626" LPCY="0.62004" LPD="27.54485" LPS="0.93713" LPV="1" RPCX="0.59883" RPCY="0.61504" RPD="29.39309" RPS="0.93713" RPV="1" LEYEX="-0.03488" LEYEY="-0.02463" LEYEZ="0.63903" LPUPILD="0.00649" LPUPILV="1" REYEX="0.02282" REYEY="-0.02264" REYEZ="0.61105" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57533" FPOGY="0.54967" FPOGS="6584.50732" FPOGD="0.12207" FPOGID="15365" FPOGV="1" LPOGX="0.57713" LPOGY="0.75242" LPOGV="1" RPOGX="0.53706" RPOGY="0.80914" RPOGV="1" BPOGX="0.55709" BPOGY="0.78078" BPOGV="1" LPCX="0.35677" LPCY="0.62331" LPD="28.48331" LPS="0.93713" LPV="1" RPCX="0.59857" RPCY="0.61911" RPD="30.13232" RPS="0.93134" RPV="1" LEYEX="-0.03488" LEYEY="-0.02463" LEYEZ="0.63903" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02282" REYEY="-0.02264" REYEZ="0.61105" RPUPILD="0.00644" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57404" FPOGY="0.56813" FPOGS="6584.50732" FPOGD="0.13037" FPOGID="15365" FPOGV="1" LPOGX="0.54833" LPOGY="0.89854" LPOGV="1" RPOGX="0.55086" RPOGY="0.93913" RPOGV="1" BPOGX="0.54960" BPOGY="0.91884" BPOGV="1" LPCX="0.35730" LPCY="0.62535" LPD="29.11587" LPS="0.93134" LPV="1" RPCX="0.59843" RPCY="0.62107" RPD="30.78434" RPS="0.92555" RPV="1" LEYEX="-0.03488" LEYEY="-0.02463" LEYEZ="0.63903" LPUPILD="0.00638" LPUPILV="1" REYEX="0.02282" REYEY="-0.02264" REYEZ="0.61105" RPUPILD="0.00634" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57291" FPOGY="0.58496" FPOGS="6584.50732" FPOGD="0.13770" FPOGID="15365" FPOGV="1" LPOGX="0.55085" LPOGY="0.90184" LPOGV="1" RPOGX="0.54940" RPOGY="0.94109" RPOGV="1" BPOGX="0.55013" BPOGY="0.92147" BPOGV="1" LPCX="0.35736" LPCY="0.62631" LPD="28.40074" LPS="0.91360" LPV="1" RPCX="0.59832" RPCY="0.62165" RPD="30.93308" RPS="0.91360" RPV="1" LEYEX="-0.03260" LEYEY="-0.02376" LEYEZ="0.60216" LPUPILD="0.00657" LPUPILV="1" REYEX="0.02356" REYEY="-0.02424" REYEZ="0.63489" RPUPILD="0.00645" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
