2025-05-27 15:31:46.282068
-0.03761" REYEZ="0.64709" RPUPILD="0.00664" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54541" FPOGY="-0.34623" FPOGS="6816.50439" FPOGD="0.20361" FPOGID="16202" FPOGV="1" LPOGX="0.55541" LPOGY="-0.33459" LPOGV="1" RPOGX="0.51413" RPOGY="-0.33044" RPOGV="1" BPOGX="0.53477" BPOGY="-0.33251" BPOGV="1" LPCX="0.33328" LPCY="0.65183" LPD="28.48093" LPS="0.96858" LPV="1" RPCX="0.56760" RPCY="0.67664" RPD="27.44317" RPS="0.96858" RPV="1" LEYEX="-0.04099" LEYEY="-0.03271" LEYEZ="0.64614" LPUPILD="0.00671" LPUPILV="1" REYEX="0.01650" REYEY="-0.03761" REYEZ="0.64709" RPUPILD="0.00666" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.85601" LPOGY="0.59028" LPOGV="0" RPOGX="0.80319" RPOGY="0.74569" RPOGV="0" BPOGX="0.80319" BPOGY="0.74569" BPOGV="0" LPCX="0.35930" LPCY="0.65285" LPD="11.44619" LPS="0.91770" LPV="0" RPCX="0.59413" RPCY="0.68576" RPD="12.28714" RPS="0.91770" RPV="0" LEYEX="-0.03448" LEYEY="-0.03043" LEYEZ="0.62907" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02161" REYEY="-0.03656" REYEZ="0.63064" RPUPILD="0.00507" RPUPILV="1" BKID="1203" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.83810" FPOGY="0.64965" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.86599" LPOGY="0.56016" LPOGV="1" RPOGX="0.81020" RPOGY="0.73913" RPOGV="1" BPOGX="0.83810" BPOGY="0.64965" BPOGV="1" LPCX="0.35409" LPCY="0.65771" LPD="20.80096" LPS="0.92399" LPV="1" RPCX="0.58867" RPCY="0.69030" RPD="25.34650" RPS="0.92399" RPV="1" LEYEX="-0.03508" LEYEY="-0.03126" LEYEZ="0.63063" LPUPILD="0.00576" LPUPILV="1" REYEX="0.02095" REYEY="-0.03744" REYEZ="0.62789" RPUPILD="0.00600" RPUPILV="1" BKID="0" BKDUR="0.05982" BKPMIN="6" />
<REC FPOGX="0.72594" FPOGY="0.64605" FPOGS="6817.33789" FPOGD="0.14111" FPOGID="16205" FPOGV="0" LPOGX="0.63464" LPOGY="0.65182" LPOGV="1" RPOGX="0.59292" RPOGY="0.63308" RPOGV="1" BPOGX="0.61378" BPOGY="0.64245" BPOGV="1" LPCX="0.35409" LPCY="0.65692" LPD="23.64983" LPS="0.93027" LPV="1" RPCX="0.58857" RPCY="0.69048" RPD="26.05465" RPS="0.93027" RPV="1" LEYEX="-0.03508" LEYEY="-0.03126" LEYEZ="0.63063" LPUPILD="0.00567" LPUPILV="1" REYEX="0.02095" REYEY="-0.03744" REYEZ="0.62789" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
