2025-05-29 10:57:58.248507
4" REYEZ="0.60642" RPUPILD="0.00543" RPUPILV="1" BKID="605" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3228.90845" FPOGD="0.32812" FPOGID="7918" FPOGV="0" LPOGX="0.54846" LPOGY="1.61344" LPOGV="0" RPOGX="0.43685" RPOGY="1.81958" RPOGV="0" BPOGX="0.49266" BPOGY="1.71651" BPOGV="0" LPCX="0.40280" LPCY="0.67942" LPD="17.30790" LPS="0.85054" LPV="0" RPCX="0.65220" RPCY="0.72558" RPD="17.04478" RPS="0.85054" RPV="0" LEYEX="-0.02162" LEYEY="-0.03158" LEYEZ="0.58968" LPUPILD="0.00535" LPUPILV="1" REYEX="0.03537" REYEY="-0.04084" REYEZ="0.60642" RPUPILD="0.00543" RPUPILV="1" BKID="605" BKDUR="0.00000" BKPMIN="23" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.58239" FPOGY="1.20487" FPOGS="3230.15454" FPOGD="0.11426" FPOGID="7921" FPOGV="1" LPOGX="0.61792" LPOGY="1.15641" LPOGV="1" RPOGX="0.55457" RPOGY="1.21943" RPOGV="1" BPOGX="0.58624" BPOGY="1.18792" BPOGV="1" LPCX="0.39966" LPCY="0.67113" LPD="26.68513" LPS="0.85006" LPV="1" RPCX="0.64888" RPCY="0.71641" RPD="27.27302" RPS="0.85006" RPV="1" LEYEX="-0.02319" LEYEY="-0.03174" LEYEZ="0.60637" LPUPILD="0.00603" LPUPILV="1" REYEX="0.03338" REYEY="-0.03901" REYEZ="0.58970" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58262" FPOGY="1.20400" FPOGS="3230.15454" FPOGD="0.12085" FPOGID="7921" FPOGV="1" LPOGX="0.61792" LPOGY="1.15641" LPOGV="1" RPOGX="0.55530" RPOGY="1.22021" RPOGV="1" BPOGX="0.58661" BPOGY="1.18831" BPOGV="1" LPCX="0.39966" LPCY="0.67113" LPD="26.68513" LPS="0.85006" LPV="1" RPCX="0.64883" RPCY="0.71627" RPD="27.34595" RPS="0.85530" RPV="1" LEYEX="-0.02319" LEYEY="-0.03174" LEYEZ="0.60637" LPUPILD="0.00603" LPUPILV="1" REYEX="0.03433" REYEY="-0.04008" REYEZ="0.60724" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58310" FPOGY="1.20471" FPOGS="3230.15454" FPOGD="0.12744" FPOGID="7921" FPOGV="1" LPOGX="0.61800" LPOGY="1.12803" LPOGV="1" RPOGX="0.56645" RPOGY="1.30849" RPOGV="1" BPOGX="0.59222" BPOGY="1.21826" BPOGV="1" LPCX="0.39953" LPCY="0.67054" LPD="27.78462" LPS="0.85530" LPV="1" RPCX="0.64888" RPCY="0.71621" RPD="26.88095" RPS="0.86054" RPV="1" LEYEX="-0.02319" LEYEY="-0.03174" LEYEZ="0.60637" LPUPILD="0.00589" LPUPILV="1" REYEX="0.03433" REYEY="-0.04008" REYEZ="0.60724" RPUPILD="0.00588" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58313" FPOGY="1.20565" FPOGS="3230.15454" FPOGD="0.13428" FPOGID="7921" FPOGV="1" LPOGX="0.60293" LPOGY="1.12505" LPOGV="1" RPOGX="0.56478" RPOGY="1.32353" RPOGV="1" BPOGX="0.58386" BPOGY="1.22429" BPOGV="1" LPCX="0.39954" LPCY="0.67052" LPD="27.69408" LPS="0.86054" LPV="1" RPCX="0.64887" RPCY="0.71606" RPD="27.28683" RPS="0.86578" RPV="1" LEYEX="-0.02319" LEYEY="-0.03174" LEYEZ="0.60637" LPUPILD="0.00590" LPUPILV="1" REYEX="0.03433" REYEY="-0.04008" REYEZ="0.60724" RPUPILD="0.00584" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58314" FPOGY="1.20647" FPOGS="3230.15454" FPOGD="0.14087" FPOGID="7921" FPOGV="1" LPOGX="0.60245" LPOGY="1.12534" LPOGV="1" RPOGX="0.56407" RPOGY="1.32228" RPOGV="1" BPOGX="0.58326" BPOGY="1.22381" BPOGV="1" LPCX="0.39954" LPCY="0.67052" LPD="27.69408" LPS="0.86578" LPV="1" RPCX="0.64891" RPCY="0.71597" RPD="27.20326" RPS="0.86102" RPV="1" LEYEX="-0.02339" LEYEY="-0.03197" LEYEZ="0.61164" LPUPILD="0.00590" LPUPILV="1" REYEX="0.03289" REYEY="-0.03821" REYEZ="0.58022" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58271" FPOGY="1.20765" FPOGS="3230.15454" FPOGD="0.14673" FPOGID="7921" FPOGV="1" LPOGX="0.61719" LPOGY="1.16789" LPOGV="1" RPOGX="0.52939" RPOGY="1.29914" RPOGV="1" BPOGX="0.57329" BPOGY="1.23352" BPOGV="1" LPCX="0.39963" LPCY="0.67060" LPD="27.14458" LPS="0.86102" LPV="1" RPCX="0.64907" RPCY="0.71589" RPD="27.23791" RPS="0.85102" RPV="1" LEYEX="-0.02339" LEYEY="-0.03197" LEYEZ="0.61164" LPUPILD="0.00596" LPUPILV="1" REYEX="0.03289" REYEY="-0.03821" REYEZ="0.58022" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58269" FPOGY="1.20839" FPOGS="3230.15454" FPOGD="0.15454" FPOGID="7921" FPOGV="1" LPOGX="0.62630" LPOGY="1.16423" LPOGV="1" RPOGX="0.53801" RPOGY="1.28685" RPOGV="1" BPOGX="0.58215" BPOGY="1.22554" BPOGV="1" LPCX="0.39962" LPCY="0.67060" LPD="27.01063" LPS="0.85102" LPV="1" RPCX="0.64907" RPCY="0.71574" RPD="27.73358" RPS="0.84102" RPV="1" LEYEX="-0.02339" LEYEY="-0.03197" LEYEZ="0.61164" LPUPILD="0.00596" LPUPILV="1" REYEX="0.03289" REYEY="-0.03821" REYEZ="0.58022" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.58265" FPOGY="1.20898" FPOGS="3230.15454" FPOGD="0.16089" FPOGID="7921" FPOGV="1" LPOGX="0.62728" LPOGY="1.16269" LPOGV="1" RPOGX="0.53617" RPOGY="1.28339" RPOGV="1" BPOGX="0.58173" BPOGY="1.22304" BPOGV="1" LPCX="0.39967" LPCY="0.67064" LPD="26.89891" LPS="0.83590" LPV="1" RPCX="0.64910" RPCY="0.71571" RPD="27.63987" RPS="0.82590" RPV="1" LEYEX="-0.02262" LEYEY="-0.03090" LEYEZ="0.59271" LPUPILD="0.00596" LPUPILV="1" REYEX="0.03289" REYEY="-0.03821" REYEZ="0.58022" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
