2025-05-27 15:37:55.719821
477" REYEZ="0.68364" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.53063" FPOGY="0.23283" FPOGS="7186.08545" FPOGD="0.05371" FPOGID="16808" FPOGV="1" LPOGX="0.65706" LPOGY="0.27293" LPOGV="1" RPOGX="0.40265" RPOGY="0.27445" RPOGV="1" BPOGX="0.52986" BPOGY="0.27369" BPOGV="1" LPCX="0.24080" LPCY="0.54914" LPD="24.50324" LPS="1.05800" LPV="1" RPCX="0.46841" RPCY="0.56414" RPD="23.22770" RPS="1.05800" RPV="1" LEYEX="-0.06570" LEYEY="-0.01129" LEYEZ="0.66026" LPUPILD="0.00535" LPUPILV="1" REYEX="-0.00820" REYEY="-0.01477" REYEZ="0.68364" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53390" FPOGY="0.29896" FPOGS="7187.03711" FPOGD="0.01953" FPOGID="16811" FPOGV="1" LPOGX="0.65789" LPOGY="0.29569" LPOGV="1" RPOGX="0.41063" RPOGY="0.30714" RPOGV="1" BPOGX="0.53426" BPOGY="0.30142" BPOGV="1" LPCX="0.24347" LPCY="0.54947" LPD="25.38010" LPS="1.08171" LPV="1" RPCX="0.47196" RPCY="0.56355" RPD="23.47479" RPS="1.08171" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00555" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53341" FPOGY="0.29938" FPOGS="7187.03711" FPOGD="0.02637" FPOGID="16811" FPOGV="1" LPOGX="0.65051" LPOGY="0.29234" LPOGV="1" RPOGX="0.41244" RPOGY="0.30978" RPOGV="1" BPOGX="0.53147" BPOGY="0.30106" BPOGV="1" LPCX="0.24345" LPCY="0.54953" LPD="25.19384" LPS="1.07381" LPV="1" RPCX="0.47200" RPCY="0.56353" RPD="23.50818" RPS="1.07381" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00557" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53316" FPOGY="0.30025" FPOGS="7187.03711" FPOGD="0.03320" FPOGID="16811" FPOGV="1" LPOGX="0.65657" LPOGY="0.29601" LPOGV="1" RPOGX="0.40718" RPOGY="0.31322" RPOGV="1" BPOGX="0.53188" BPOGY="0.30462" BPOGV="1" LPCX="0.24346" LPCY="0.54956" LPD="25.22085" LPS="1.06590" LPV="1" RPCX="0.47196" RPCY="0.56354" RPD="23.47212" RPS="1.06590" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00554" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53300" FPOGY="0.30170" FPOGS="7187.03711" FPOGD="0.03955" FPOGID="16811" FPOGV="1" LPOGX="0.65675" LPOGY="0.30177" LPOGV="1" RPOGX="0.40739" RPOGY="0.31902" RPOGV="1" BPOGX="0.53207" BPOGY="0.31039" BPOGV="1" LPCX="0.24346" LPCY="0.54956" LPD="25.22085" LPS="1.05800" LPV="1" RPCX="0.47195" RPCY="0.56358" RPD="23.31103" RPS="1.05800" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00554" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53258" FPOGY="0.30500" FPOGS="7187.03711" FPOGD="0.04639" FPOGID="16811" FPOGV="1" LPOGX="0.65395" LPOGY="0.31974" LPOGV="1" RPOGX="0.40536" RPOGY="0.33645" RPOGV="1" BPOGX="0.52965" BPOGY="0.32810" BPOGV="1" LPCX="0.24343" LPCY="0.54959" LPD="25.30224" LPS="1.05800" LPV="1" RPCX="0.47194" RPCY="0.56362" RPD="23.36400" RPS="1.05800" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00556" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53234" FPOGY="0.30690" FPOGS="7187.03711" FPOGD="0.05273" FPOGID="16811" FPOGV="1" LPOGX="0.65015" LPOGY="0.31157" LPOGV="1" RPOGX="0.41060" RPOGY="0.33268" RPOGV="1" BPOGX="0.53038" BPOGY="0.32212" BPOGV="1" LPCX="0.24347" LPCY="0.54958" LPD="25.32890" LPS="1.05800" LPV="1" RPCX="0.47188" RPCY="0.56362" RPD="23.21611" RPS="1.05800" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00551" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53214" FPOGY="0.30842" FPOGS="7187.03711" FPOGD="0.05957" FPOGID="16811" FPOGV="1" LPOGX="0.65015" LPOGY="0.31157" LPOGV="1" RPOGX="0.41060" RPOGY="0.33268" RPOGV="1" BPOGX="0.53038" BPOGY="0.32212" BPOGV="1" LPCX="0.24349" LPCY="0.54959" LPD="25.32476" LPS="1.05800" LPV="1" RPCX="0.47189" RPCY="0.56363" RPD="23.17003" RPS="1.05800" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00553" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00508" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.53191" FPOGY="0.30773" FPOGS="7187.03711" FPOGD="0.06689" FPOGID="16811" FPOGV="1" LPOGX="0.65303" LPOGY="0.32172" LPOGV="1" RPOGX="0.40616" RPOGY="0.27996" RPOGV="1" BPOGX="0.52959" BPOGY="0.30084" BPOGV="1" LPCX="0.24343" LPCY="0.54957" LPD="25.26697" LPS="1.05800" LPV="1" RPCX="0.47186" RPCY="0.56367" RPD="23.30240" RPS="1.05800" RPV="1" LEYEX="-0.06457" LEYEY="-0.01122" LEYEZ="0.65587" LPUPILD="0.00557" LPUPILV="1" REYEX="-0.00706" REYEY="-0.01422" REYEZ="0.66314" RPUPILD="0.00508" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
